band,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound
0.15,-0.0360381044447422,0.04551292583346367,-0.17261070013046265,-0.11810621619224548,-0.15819190442562103,-0.01711275242269039,0.004486719146370888,0.8370044052863436,-0.03554999828338623,-0.00040668429573997855,8.141930447891355e-05,0.010168594308197498,0.49223199486732483,0.1985207051038742,0.49223199486732483,0.0,0.0,0.0,0.0
0.1,-0.03610033541917801,0.04602574184536934,-0.17226092517375946,-0.1175546646118164,-0.15955886244773865,-0.01720046065747738,0.005429210606962442,0.8370044052863436,-0.03554999828338623,-0.00045891295303590596,9.14250485948287e-05,0.01141928881406784,0.5422319769859314,0.22351378202438354,0.5422319769859314,0.0,0.0,0.0,0.0
0.05,-0.036208074539899826,0.046637147665023804,-0.17191113531589508,-0.11679643392562866,-0.16107387840747833,-0.016996853053569794,0.005933400709182024,0.8370044052863436,-0.03554999828338623,-0.0005528689944185317,0.00010520466457819566,0.013128970749676228,0.5922319889068604,0.24731191992759705,0.5922319889068604,0.0,0.0,0.0,0.0
0.02,-0.03628823161125183,0.04708389192819595,-0.17230777442455292,-0.11662675440311432,-0.16251294314861298,-0.017471401020884514,0.00634763715788722,0.8303964757709251,-0.03554999828338623,-0.0006063726614229381,0.00013185860007070005,0.01641121506690979,0.6222320199012756,0.25732675194740295,0.6222320199012756,0.0,0.0,0.0,0.0
0.01,-0.03634701669216156,0.04725325107574463,-0.1724945455789566,-0.11693017184734344,-0.16307316720485687,-0.01788395456969738,0.006476978305727243,0.8259911894273128,-0.03554999828338623,-0.000641696504317224,0.00015532031829934567,0.0193063635379076,0.6322320103645325,0.25854697823524475,0.6322320103645325,0.0,0.0,0.0,0.0
0.0,-0.03636729344725609,0.04742928594350815,-0.17224760353565216,-0.1168118342757225,-0.16355253756046295,-0.018168054521083832,0.006858999375253916,0.8281938325991189,-0.03554999828338623,-0.0006199436611495912,0.00019734876696020365,0.024537721648812294,0.6422320008277893,0.25885817408561707,0.6422320008277893,0.0,0.0,0.0,0.0
