band,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound
0.0,-0.009729467332363129,0.012546299956738949,-0.046545475125312805,-0.03263024017214775,-0.04331708326935768,-0.0061315076891332865,0.004053361224941905,0.8113207547169812,-0.010103856213390827,0.0005532752838917077,0.00017888614092953503,0.022304166108369827,0.5982080101966858,0.2575494349002838,0.60760897397995,0.0,0.0,0.0,0.0
0.01,-0.009731486439704895,0.012538804672658443,-0.0465770759806037,-0.032493137568235395,-0.04347984865307808,-0.005858579650521278,0.003803780616726718,0.8207547169811321,-0.010103856213390827,0.0005113946390338242,0.00013902503997087479,0.017343247309327126,0.588208019733429,0.2573116421699524,0.5976089835166931,0.0,0.0,0.0,0.0
0.02,-0.00976415816694498,0.012537437491118908,-0.04660709168761969,-0.03233732935041189,-0.043587151914834976,-0.006269495701417327,0.003465894213877617,0.8207547169811321,-0.010103856213390827,0.0004576727806124836,0.00011797440674854442,0.014728620648384094,0.5782080292701721,0.25617101788520813,0.5876089930534363,0.0,0.0,0.0,0.0
0.05,-0.009788814932107925,0.012551240622997284,-0.047064744047820566,-0.032501062378287315,-0.0437239333987236,-0.006142002530395985,0.003097221627831458,0.8136792452830188,-0.010103856213390827,0.0004151306638959795,0.00010008881508838385,0.012508345767855644,0.5482079982757568,0.24499298632144928,0.557608962059021,0.0,0.0,0.0,0.0
0.1,-0.009820879437029362,0.012614823877811432,-0.04739090379327535,-0.032895399443805214,-0.04414460062980652,-0.005712712183594704,0.0027365551679395107,0.8254716981132075,-0.010103856213390827,0.0003726055147126317,8.962952415458858e-05,0.01120165828615427,0.49820801615715027,0.22020088136196136,0.507608950138092,0.0,0.0,0.0,0.0
0.15,-0.009854267351329327,0.012697385624051094,-0.04750785227864981,-0.03283474519848823,-0.044653039425611496,-0.0053116783965379,0.002368048741482197,0.8278301886792453,-0.010103856213390827,0.0003292189503554255,7.962952076923102e-05,0.009951657615602016,0.4482080042362213,0.1952008605003357,0.4576089680194855,0.0,0.0,0.0,0.0
