model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
spot_delta,baseline,,,,,,3,-0.010394863784313202,0.0010225146521987444,-0.03311135961363713,-0.0511834571758906,0.797339593114241,0.60760897397995,0.02214949515958627,0.0,0.0,0.0,0.0,,,,,,True,True,True,-3.536231815814972e-06,0.0,-8.628082772096576e-06,-6.633127729097944e-05,0.003702264279127121,0.0,2.2189070781074294e-05,0.0010215342044830322,-0.22848200312989042,0.0,0.0007824726134585402,0.14710485133020335
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.010448101907968521,0.000834341391346109,-0.034956056314210095,-0.05403216307361921,0.9593114241001565,0.7489361564318339,0.008586922970910868,0.001036776212832551,0.0,0.001036776212832551,0.002347417840375587,4.0,0.042902782440988003,0.00029481132075471697,0.0007861635220125786,,True,True,True,-5.6774355471134186e-05,-5.3238123655319214e-05,-6.186620642741579e-05,-0.00011956940094629866,0.0008535583813985143,-0.0028487058977286067,-0.0028265168269475324,-0.0018271716932455745,-0.3904538341158059,-0.1619718309859155,-0.16118935837245696,-0.014866979655712154
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,3,-0.01046565423409144,0.0008134018008665128,-0.035508040649195514,-0.05373304088910421,0.8998435054773083,0.3967068096001943,0.010017919509361187,0.0,0.0,0.0,0.0,50.666666666666664,0.04316485020564869,0.0,0.0,,True,True,True,-7.432668159405333e-05,-7.079044977823835e-05,-7.941853255033493e-05,-0.0001371217270692178,0.0011526805659135136,-0.0025495837132136073,-0.002527394642432533,-0.001528049508730575,-0.33098591549295775,-0.10250391236306733,-0.10172143974960879,0.04460093896713602
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,vanilla,50.0,False,False,cvar,3,-0.010470152522126833,0.0008552989109650961,-0.034356808910767235,-0.05272973825534185,0.9131455399061034,0.834228495756785,0.021293309206763904,9.780907668231612e-05,9.780907668231612e-05,0.0,0.000782472613458529,74.0,0.04374689537545654,0.00013757861635220125,0.001572327044025157,,True,True,True,-7.882496962944609e-05,-7.528873781363112e-05,-8.391682058572769e-05,-0.00014162001510461056,0.0021559831996758733,-0.0015462810794512477,-0.0015240920086701734,-0.0005247468749682155,-0.3442879499217528,-0.1158059467918624,-0.11502347417840386,0.031298904538340944
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,3,-0.010567538440227509,0.0008048886114227282,-0.03581324157615503,-0.05464131012558937,0.8849765258215961,0.2904026657342911,0.010875641523549954,0.0,0.0,0.0,0.0,2.3333333333333335,0.043203215447720135,0.0,0.0,,True,True,True,-0.0001762108877301216,-0.00017267465591430664,-0.00018130273868640322,-0.00023900593320528608,0.0002444113294283526,-0.0034578529496987684,-0.003435663878917694,-0.002436318745215736,-0.3161189358372456,-0.08763693270735518,-0.08685446009389663,0.05946791862284817
proto_source=vanilla_k=100_weighted=0_learnw=0,proto,vanilla,100.0,False,False,cvar,3,-0.010598157842954,0.0009008852644091303,-0.03522433682034413,-0.05302514756719271,0.9209702660406885,0.6279726525147756,0.02055254392325878,1.9561815336463222e-05,1.9561815336463222e-05,0.0,0.000782472613458529,33.0,0.04397938201783822,0.001316823899371069,0.051100628930817606,,True,True,True,-0.00020683029045661348,-0.0002032940586407985,-0.0002119221414128951,-0.00026962533593177795,0.0018605738878250122,-0.0018416903913021088,-0.0018195013205210345,-0.0008201561868190765,-0.352112676056338,-0.12363067292644758,-0.12284820031298904,0.023474178403755763
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,3,-0.0105998320505023,0.0008200577756417379,-0.03496229493369659,-0.0539591982960701,0.905320813771518,0.5326264699300131,0.016284284181892872,0.0,0.0,0.0,0.0,65.66666666666667,0.043568887819225584,0.0,0.0,,True,True,True,-0.00020850449800491333,-0.00020496826618909836,-0.00021359634896119493,-0.0002712995434800778,0.0009265231589476244,-0.0027757411201794965,-0.0027535520493984222,-0.0017542069156964643,-0.3364632237871674,-0.107981220657277,-0.10719874804381846,0.039123630672926346
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,-0.01062024850398302,0.0005935256683856151,-0.03524966568996509,-0.05466368421912193,0.92018779342723,0.576319028933843,0.01345117793728908,0.00021517996870109546,0.0,0.00021517996870109546,0.001564945226917058,2.6666666666666665,0.04311301030994704,0.0,0.0,,True,True,True,-0.00022892095148563385,-0.00022538471966981888,-0.00023401280244191545,-0.0002917159969607983,0.00022203723589579033,-0.0034802270432313306,-0.0034580379724502563,-0.0024586928387482984,-0.35133020344287946,-0.12284820031298904,-0.1220657276995305,0.024256651017214304
proto_source=vanilla_k=10_weighted=1_learnw=0,proto,vanilla,10.0,True,False,cvar,3,-0.010976667515933514,0.001398799740938003,-0.03576763315747181,-0.05418499683340391,0.9147104851330203,0.5370913445949554,0.02203866218527158,0.0,0.0,0.0,0.0,4.0,0.044627136125539736,0.0,0.0,,True,True,True,-0.0005853399634361267,-0.0005818037316203117,-0.0005904318143924083,-0.0006481350089112912,0.0007007246216138158,-0.003001539657513305,-0.002979350586732231,-0.001980005453030273,-0.3458528951486698,-0.11737089201877937,-0.11658841940532083,0.029733959311423974
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,3,-0.011041861027479172,0.0012575366437726629,-0.03579511493444443,-0.054129086434841156,0.9014084507042254,0.9369712273279825,0.025556643803914387,0.004362284820031298,0.004186228482003129,0.000176056338028169,0.033646322378716745,244.0,0.04434230029577119,0.0010809748427672956,0.008647798742138365,,True,True,True,-0.0006505334749817848,-0.0006469972431659698,-0.0006556253259380664,-0.0007133285204569493,0.0007566350201765673,-0.0029456292589505537,-0.0029234401881694794,-0.0019240950544675214,-0.33255086071987483,-0.10406885758998441,-0.10328638497652587,0.043035993740218936
