selection,model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
best_mean,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.03637564182281494,0.0021262469808738258,-0.12550418923298517,-0.17724084854125977,0.8422688422688424,0.937448263168335,0.054350320249795914,0.16754079254079254,0.1165889665889666,0.05095182595182596,0.5625485625485626,285.3333333333333,0.15952351588085642,0.0998442367601246,0.573208722741433,,True,True,True,0.0018753694991270678,0.0007292578617731707,0.000621634225050606,0.0011679728825887067,0.002877990404764802,-0.00666781763235727,-0.007118393977483123,-0.010087847709655762,-0.21134421134421144,-0.017094017094017255,-0.015540015540015606,0.10722610722610715
best_cvar05,proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,3,-0.037490307042996086,0.001886482769914123,-0.12151372184356053,-0.1635487824678421,0.9572649572649573,1.0,0.03344366513192654,0.19487179487179485,0.1676961926961927,0.027175602175602175,0.9945609945609947,109.0,0.1712171437434643,0.15718457943925232,0.7180685358255451,,True,True,True,0.0007607042789459229,-0.00038540735840797424,-0.0004930309951305389,5.3307662407561796e-05,0.016570056478182466,0.007024248441060393,0.006573672095934541,0.003604218363761902,-0.3263403263403264,-0.1320901320901322,-0.13053613053613056,-0.007770007770007803
best_shortfall,unhedged,baseline,,,,,,3,-0.03825101132194201,0.0030710388460735575,-0.13356463114420572,-0.18011883894602457,0.6309246309246309,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.001146111637353897,-0.0012537352740764618,-0.0007073966165383611,0.0,-0.009545808037122072,-0.009996384382247925,-0.012965838114420564,0.0,0.19425019425019419,0.19580419580419584,0.3185703185703186
best_proto_mean,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.03637564182281494,0.0021262469808738258,-0.12550418923298517,-0.17724084854125977,0.8422688422688424,0.937448263168335,0.054350320249795914,0.16754079254079254,0.1165889665889666,0.05095182595182596,0.5625485625485626,285.3333333333333,0.15952351588085642,0.0998442367601246,0.573208722741433,,True,True,True,0.0018753694991270678,0.0007292578617731707,0.000621634225050606,0.0011679728825887067,0.002877990404764802,-0.00666781763235727,-0.007118393977483123,-0.010087847709655762,-0.21134421134421144,-0.017094017094017255,-0.015540015540015606,0.10722610722610715
best_proto_cvar05,proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,3,-0.037490307042996086,0.001886482769914123,-0.12151372184356053,-0.1635487824678421,0.9572649572649573,1.0,0.03344366513192654,0.19487179487179485,0.1676961926961927,0.027175602175602175,0.9945609945609947,109.0,0.1712171437434643,0.15718457943925232,0.7180685358255451,,True,True,True,0.0007607042789459229,-0.00038540735840797424,-0.0004930309951305389,5.3307662407561796e-05,0.016570056478182466,0.007024248441060393,0.006573672095934541,0.003604218363761902,-0.3263403263403264,-0.1320901320901322,-0.13053613053613056,-0.007770007770007803
best_proto_shortfall,proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.03944934904575348,0.0031035703540024605,-0.13886894086996715,-0.1814392606417338,0.7995337995337994,1.0,0.0291362510373195,0.04623154623154624,0.001379176379176379,0.04485236985236985,0.30303030303030304,62.666666666666664,0.15463592941895984,0.02225467289719626,0.21339563862928346,,True,True,True,-0.0011983377238114698,-0.002344449361165367,-0.0024520729978879316,-0.0019057343403498309,-0.0013204216957092285,-0.0108662297328313,-0.011316806077957153,-0.014286259810129792,-0.16860916860916852,0.02564102564102566,0.02719502719502731,0.14996114996115006
best_screened_proto_mean,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.03637564182281494,0.0021262469808738258,-0.12550418923298517,-0.17724084854125977,0.8422688422688424,0.937448263168335,0.054350320249795914,0.16754079254079254,0.1165889665889666,0.05095182595182596,0.5625485625485626,285.3333333333333,0.15952351588085642,0.0998442367601246,0.573208722741433,,True,True,True,0.0018753694991270678,0.0007292578617731707,0.000621634225050606,0.0011679728825887067,0.002877990404764802,-0.00666781763235727,-0.007118393977483123,-0.010087847709655762,-0.21134421134421144,-0.017094017094017255,-0.015540015540015606,0.10722610722610715
best_screened_proto_cvar05,proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,3,-0.037490307042996086,0.001886482769914123,-0.12151372184356053,-0.1635487824678421,0.9572649572649573,1.0,0.03344366513192654,0.19487179487179485,0.1676961926961927,0.027175602175602175,0.9945609945609947,109.0,0.1712171437434643,0.15718457943925232,0.7180685358255451,,True,True,True,0.0007607042789459229,-0.00038540735840797424,-0.0004930309951305389,5.3307662407561796e-05,0.016570056478182466,0.007024248441060393,0.006573672095934541,0.003604218363761902,-0.3263403263403264,-0.1320901320901322,-0.13053613053613056,-0.007770007770007803
best_screened_proto_shortfall,proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.03944934904575348,0.0031035703540024605,-0.13886894086996715,-0.1814392606417338,0.7995337995337994,1.0,0.0291362510373195,0.04623154623154624,0.001379176379176379,0.04485236985236985,0.30303030303030304,62.666666666666664,0.15463592941895984,0.02225467289719626,0.21339563862928346,,True,True,True,-0.0011983377238114698,-0.002344449361165367,-0.0024520729978879316,-0.0019057343403498309,-0.0013204216957092285,-0.0108662297328313,-0.011316806077957153,-0.014286259810129792,-0.16860916860916852,0.02564102564102566,0.02719502719502731,0.14996114996115006
