model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir
unhedged,baseline,,,,,,3,-0.0390228306253751,0.0017610023770476,-0.1294522484143575,-0.1539828826983769,0.6169590643274854,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0002548905710379,-0.0002589176098505,0.000604843099912,0.0,-0.0047285507122675,-0.0041675368944804,-0.0060561895370483,0.0,0.1951754385964912,0.2017543859649123,0.3830409356725146,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.03903620565931,0.0017259240592119,-0.1236481604476769,-0.147941251595815,0.956140350877193,0.9051714738210044,0.0237565500040849,0.004422514619883,0.0038011695906432,0.0006213450292397,0.097953216374269,25.0,0.1500253934509609,0.0004588839941262,0.0044052863436123,,True,True,True,-1.3375033934906466e-05,-0.0002682656049728,-0.0002722926437854,0.000591468065977,0.0060416311025619,0.0013130803902943,0.0018740942080815,-1.455843448638916e-05,-0.3391812865497076,-0.1440058479532163,-0.1374269005847952,0.043859649122807,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.039085862537225,0.0018698538290069,-0.1257984098047018,-0.1511758069197336,0.915204678362573,0.913515547911326,0.0214015633488694,0.0287097953216374,0.0287097953216374,0.0,0.2478070175438596,65.0,0.1500985300190002,0.0012848751835535,0.026431718061674,,True,True,True,-6.303191184997559e-05,-0.0003179224828879,-0.0003219495217005,0.000541811188062,0.0028070757786433,-0.0019214749336242,-0.001360461115837,-0.003249113758405,-0.2982456140350876,-0.1030701754385964,-0.0964912280701753,0.0847953216374269,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.0391867396732171,0.001690994580486,-0.1238492919752995,-0.149303858478864,0.8691520467836257,0.9742626349131266,0.0275854840874671,0.0111476608187134,0.0106542397660818,0.0004934210526315,0.1023391812865497,57.333333333333336,0.1498907047243058,0.0006791483113069,0.0058737151248164,,True,True,True,-0.000163909047842,-0.0004187996188799,-0.0004228266576925,0.0004409340520699,0.0046790242195129,-4.952649275463683e-05,0.0005114873250325,-0.0013771653175354,-0.2521929824561403,-0.057017543859649,-0.0504385964912279,0.1308479532163743,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,3,-0.0392138933142026,0.0015352012718224,-0.1250383698691924,-0.1491518914699554,0.9751461988304094,0.7603841125965118,0.020628091879189,0.0150036549707602,0.0150036549707602,0.0,0.2945906432748538,80.0,0.1505223734879376,1.8355359765051395e-05,0.000734214390602,,True,True,True,-0.0001910626888275,-0.0004459532598654,-0.000449980298678,0.0004137804110844,0.0048309912284215,0.0001024405161539,0.0006634543339411,-0.0012251983086268,-0.358187134502924,-0.1630116959064328,-0.1564327485380117,0.0248538011695905,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,3,-0.0393154037495454,0.002190110006515,-0.1246624502042929,-0.1489292581876119,0.9451754385964912,0.8926205436388651,0.0256837178021669,0.0641995614035087,0.0641995614035087,0.0,0.3326023391812865,132.66666666666666,0.1521296815412111,0.015363436123348,0.3002936857562408,,True,True,True,-0.0002925731241703,-0.0005474636952082,-0.0005514907340208,0.0003122699757416,0.005053624510765,0.0003250737984974,0.0008860876162846,-0.0010025650262832,-0.3282163742690057,-0.1330409356725145,-0.1264619883040934,0.0548245614035088,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,-0.0393500241140524,0.0021832719731349,-0.127247588088115,-0.1523969074090322,0.8391812865497076,1.0,0.0266659446060657,0.0341008771929824,0.016703216374269,0.0173976608187134,0.581140350877193,30.0,0.1499573683281594,0.0005873715124816,0.0095447870778267,,True,True,True,-0.0003271934886773,-0.0005820840597152,-0.0005861110985279,0.0002776496112346,0.0015859752893447,-0.0031425754229227,-0.0025815616051356,-0.0044702142477035,-0.2222222222222222,-0.0270467836257309,-0.0204678362573098,0.1608187134502924,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.0394064846138159,0.0026048706479538,-0.129405861099561,-0.15377872188886,0.8406432748538012,0.8947405020395914,0.0230246785407265,0.0792763157894736,0.0060307017543859,0.0732456140350877,0.3969298245614035,70.66666666666667,0.1501136220604176,0.0019089574155653,0.0550660792951541,,True,True,True,-0.0003836539884408,-0.0006385445594787,-0.0006425715982913,0.0002211891114711,0.0002041608095169,-0.0045243899027506,-0.0039633760849634,-0.0058520287275314,-0.2236842105263158,-0.0285087719298245,-0.0219298245614034,0.1593567251461988,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
vanilla,vanilla,,,,,cvar,3,-0.0396276737252871,0.0021370210862994,-0.1246225163340568,-0.1479266931613286,1.0,0.9471570452054342,0.030568620810906,0.1250365497076023,3.654970760233918e-05,0.125,0.3347953216374268,141.0,0.1652240714803338,0.125,0.3333333333333333,,True,True,True,-0.000604843099912,-0.0008597336709499,-0.0008637607097625,0.0,0.0060561895370483,0.0013276388247807,0.0018886526425679,0.0,-0.3830409356725146,-0.1878654970760234,-0.1812865497076022,0.0,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.039674745251735,0.0026138810846143,-0.128015503908197,-0.1667018930117289,0.8552631578947368,0.8555658459663391,0.0338014895096421,0.0041666666666666,0.0002741228070175,0.0038925438596491,0.0270467836257309,91.66666666666669,0.1496830629932361,0.0034691629955947,0.0198237885462555,,True,True,True,-0.0006519146263599,-0.0009068051973978,-0.0009108322362105,-4.707152644793655e-05,-0.0127190103133519,-0.0174475610256195,-0.0168865472078323,-0.0187751998504002,-0.2383040935672514,-0.0431286549707602,-0.0365497076023391,0.1447368421052631,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust
