model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir,paper_label,selection,vanilla_mean,vanilla_cvar,vanilla_bound,mean_gap_vs_vanilla,cvar_gap_vs_vanilla,bound_gap_vs_vanilla
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,vanilla,50.0,False,False,cvar,3,-0.0378743124504884,0.0028281800429852,-0.127182778591911,-0.150609423716863,0.9437134502923976,0.970511774222056,0.0315710448970397,0.064875730994152,0.064875730994152,0.0,0.2792397660818713,161.0,0.1527257204627845,0.0166116005873715,0.1659324522760646,,True,True,True,0.0011485181748867,0.0008936276038487,0.0008896005650361,0.0017533612747987,0.0033734589815139,-0.0013550917307535,-0.0007940779129664,-0.0026827305555343,-0.3267543859649123,-0.1315789473684211,-0.125,0.0562865497076022,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,-0.0396276737252871,-0.1479266931613286,0.1250365497076023,0.0017533612747987065,-0.0026827305555344183,-0.060160818713450304
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,-0.0390173569321632,0.001715553400737,-0.1240849252790212,-0.14637091755867,0.9722222222222222,1.0,0.0257360649605592,0.009594298245614,0.0083516081871345,0.0012426900584795,0.1410818713450292,446.0,0.1511511663577236,0.0029552129221732,0.0543318649045521,,True,True,True,5.473693211875685e-06,-0.000249416877826,-0.0002534439166386,0.0006103167931238,0.0076119651397069,0.0028834144274393,0.0034444282452265,0.0015557756026585,-0.3552631578947368,-0.1600877192982456,-0.1535087719298244,0.0277777777777777,AAPL,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/AAPL_full_paper_grid_800_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,-0.0396276737252871,-0.1479266931613286,0.1250365497076023,0.0006103167931239065,0.001555775602658599,-0.1154422514619883
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.0269900653511285,0.0004974629118461,-0.0935913314421971,-0.1247269958257675,0.9286182056319582,0.9436107476552328,0.0201027154301603,0.1002292075965946,0.1002292075965946,0.0,0.3313686967910936,454.0,0.099231561317986,0.0002794214332675,0.0111768573307034,,True,True,True,0.0006004534661769,0.000592378899455,0.0005622655153274,0.0001224999626477,0.0058800081411997,0.0057594974835713,0.0051394601662953,-0.0007457211613655,-0.3097576948264572,-0.1159135559921414,-0.1139489194499019,0.0170268500327438,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,-0.0271125653137763,-0.123981274664402,0.0907007203667321,0.0001224999626477999,-0.000745721161365509,0.009528487229862492
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.0271917786449193,0.0003969407229053,-0.0931245004137357,-0.1225073412060737,0.8932547478716438,0.92140797773997,0.0307835210114717,0.0027504911591355,0.0027504911591355,0.0,0.0648330058939096,17.0,0.0992475038750267,8.21827744904668e-05,0.0019723865877712,,True,True,True,0.0003987401723861,0.0003906656056642,0.0003605522215366,-7.921333114306248e-05,0.0080996627608934,0.0079791521032651,0.0073591147859891,0.0014739334583282,-0.2743942370661428,-0.0805500982318271,-0.0785854616895875,0.0523903077930582,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/IWM_full_paper_grid_800_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,-0.0271125653137763,-0.123981274664402,0.0907007203667321,-7.921333114300003e-05,0.0014739334583282887,-0.0879502292075966
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.0698797876636187,0.0009629975677378,-0.2590915004412333,-0.3243991235891978,0.8313908313908315,1.0,0.0451811552047729,0.2754467754467755,0.2753302253302254,0.0001165501165501,0.93006993006993,313.3333333333333,0.2892715881726591,0.0650895638629283,0.795171339563863,,True,True,True,0.003289150695006,0.0021430402994155,0.0020354191462198,0.002494936188062,0.0183314780394235,0.0083196461200714,0.0082541406154632,0.0021343926588693,-0.198912198912199,-0.0101010101010102,-0.0116550116550117,0.1592851592851591,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/NVDA_full_paper_grid_800_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,-0.0723747238516807,-0.3265335162480672,0.1743978243978244,0.0024949361880619997,0.0021343926588693884,0.10104895104895109
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,3,-0.0713093827168146,0.0032997612855606,-0.2557662109533945,-0.3203637699286143,0.975135975135975,0.9464661876360576,0.0257621401300032,0.0115967365967365,0.0115773115773115,1.9425019425019425e-05,0.3838383838383838,358.3333333333333,0.2905076827895697,0.0110007788161993,0.366043613707165,,True,True,True,0.00185955564181,0.0007134452462196,0.0006058240930239,0.001065341134866,0.022366831700007,0.0123549997806549,0.0122894942760467,0.0061697463194528,-0.3426573426573426,-0.1538461538461538,-0.1554001554001552,0.0155400155400156,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/NVDA_full_paper_grid_800_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,-0.0723747238516807,-0.3265335162480672,0.1743978243978244,0.0010653411348661018,0.0061697463194528845,-0.1628010878010879
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0286310681452353,0.0006055719182645,-0.0879481986165046,-0.1068647727370262,0.902423051735429,1.0,0.0273061779638131,0.0304354944335297,0.0302390307793058,0.0001964636542239,0.3215455140798952,30.666666666666668,0.0986811631039289,0.0007232084155161,0.0243261012491781,,True,True,True,0.0009298846125602,0.0006210673600435,0.0006215634445349,0.0001756213605403,0.0091281657417615,0.0059134811162948,0.0059582342704137,0.0035389165083567,-0.1899148657498363,-0.0406024885396202,-0.0419122462344466,0.0386378519973803,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/QQQ_full_paper_grid_800_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,-0.0288066895057757,-0.1104036892453829,0.1659626719056974,0.00017562136054040042,0.003538916508356693,-0.13552717747216772
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0286310681452353,0.0006055719182645,-0.0879481986165046,-0.1068647727370262,0.902423051735429,1.0,0.0273061779638131,0.0304354944335297,0.0302390307793058,0.0001964636542239,0.3215455140798952,30.666666666666668,0.0986811631039289,0.0007232084155161,0.0243261012491781,,True,True,True,0.0009298846125602,0.0006210673600435,0.0006215634445349,0.0001756213605403,0.0091281657417615,0.0059134811162948,0.0059582342704137,0.0035389165083567,-0.1899148657498363,-0.0406024885396202,-0.0419122462344466,0.0386378519973803,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/QQQ_full_paper_grid_800_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,-0.0288066895057757,-0.1104036892453829,0.1659626719056974,0.00017562136054040042,0.003538916508356693,-0.13552717747216772
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0216196663677692,0.0007009694890137,-0.0646470233798027,-0.0839708894491195,0.8899803536345776,0.9085225860277812,0.0233427124718825,0.0001473477406679,9.823182711198428e-05,4.911591355599214e-05,0.0026195153896529,93.0,0.0761061217990948,0.0001479289940828,0.0019723865877712,,True,True,True,0.000545114899675,0.0003870632499456,0.000407887622714,6.0891732573509216e-05,0.0067509561777114,0.0062363147735595,0.0061480502287546,0.0019306764006614,-0.1820563195808775,-0.0320890635232481,-0.0320890635232481,0.0379829731499672,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/SPY_full_paper_grid_800_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,-0.0216805581003427,-0.085901565849781,0.1926653569089718,6.089173257349881e-05,0.0019306764006614963,-0.1925180091683039
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0216196663677692,0.0007009694890137,-0.0646470233798027,-0.0839708894491195,0.8899803536345776,0.9085225860277812,0.0233427124718825,0.0001473477406679,9.823182711198428e-05,4.911591355599214e-05,0.0026195153896529,93.0,0.0761061217990948,0.0001479289940828,0.0019723865877712,,True,True,True,0.000545114899675,0.0003870632499456,0.000407887622714,6.0891732573509216e-05,0.0067509561777114,0.0062363147735595,0.0061480502287546,0.0019306764006614,-0.1820563195808775,-0.0320890635232481,-0.0320890635232481,0.0379829731499672,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_notebook/panel_sweeps/SPY_full_paper_grid_800_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,-0.0216805581003427,-0.085901565849781,0.1926653569089718,6.089173257349881e-05,0.0019306764006614963,-0.1925180091683039
