liability,nominal_k,top1_mass,top3_mass,top5_mass,top10_mass,entropy_effective_k,inverse_concentration_effective_k
European,10,0.2444214584465033,0.5819151646235481,0.831396899704839,1.0,7.309614445838502,6.32295536429033
Asian,50,0.5848351948727745,0.6960142973655077,0.7381046266189987,0.807349386647816,14.026784265186269,11.090495493757594
