model,seed,selected_epoch,frozen_oce_cvar50_utility,liability_offset_mean,empirical_cvar50,liability_offset_cvar05,bound_occupancy,path_bound_touch,elapsed_seconds,paper_label
deep_hedging,2345,180,-0.0287714975394465,-0.0144520289332011,-0.0285492117175276,-0.0935235073169072,0.5,1.0,592.3775327205658,Deep Hedging
tfp_exact,2345,532,-0.0270269890936277,-0.0156612204236999,-0.0253122264795861,-0.0567979495972394,0.170406732117812,0.8106591865357644,2145.564649820328,ProtoHedge exact TFP
legacy_approx,2345,356,-0.0290203150753637,-0.0200965384786019,-0.0283983948455304,-0.0531251596079932,0.0727910238429172,0.5525946704067322,1995.9795899391177,ProtoHedge historical
