level,liability,selection,ticker,candidate_model,benchmark_model,metric,estimate,ci_low,ci_high,bootstrap_probability_gt_zero,n_replaced_seed_fits,n_seeds,n_observations,block_length,n_bootstrap,confidence
ticker,european_call,best_screened_proto_cvar05,NVDA,proto_source=spot_delta_k=25_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0124133809095568,-0.034368576997516,0.0138912233941359,0.1545,0,3,644.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,QQQ,proto_source=spot_delta_k=25_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0011078279697538,-0.0096021976496222,0.0086243949872694,0.3785,1,3,692.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,QQQ,proto_source=spot_delta_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0005980480176265,-0.015979824902547,0.0166362482816255,0.44,1,3,692.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,SPY,proto_source=spot_delta_k=10_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0008932723938634,-0.0083123192723156,0.0109228958708911,0.554,1,3,713.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,SPY,proto_source=vanilla_k=50_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0016700170015354,-0.0116283713366786,0.0102738778122945,0.387,1,3,713.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,TLT,proto_source=vanilla_k=50_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0093191251516135,0.002798908625794,0.0163832376432853,0.998,2,3,712.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,TLT,proto_source=vanilla_k=10_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0174079294578786,0.0082844110751854,0.0267475072491101,1.0,2,3,712.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,XLE,proto_source=spot_delta_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0007012559343654,-0.0079208779112548,0.0105081720550505,0.5505,1,3,710.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,XLE,proto_source=spot_delta_k=10_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0004836840095969,-0.0069163623820015,0.0069454446525046,0.422,1,3,710.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,XLF,proto_source=vanilla_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0047142312650615,-0.0007562698824903,0.0108695119274698,0.9465,2,3,705.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,XLF,proto_source=spot_delta_k=50_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0018278348709877,-0.0071884932803782,0.0036407461035451,0.256,2,3,705.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,XLK,proto_source=vanilla_k=100_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.000782592816837,-0.0116805148604516,0.0110494808861876,0.4475,1,3,697.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,XLK,proto_source=vanilla_k=25_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0015734237598033,-0.0053319294634364,0.0091676897895267,0.6545,1,3,697.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,XLV,proto_source=vanilla_k=50_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0007253609805119,-0.006885367346502,0.0081550047536032,0.569,1,3,680.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,XLV,proto_source=spot_delta_k=10_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0033261427240087,-0.0103240247783676,0.004199277882883,0.197,1,3,680.0,20,2000,0.95
