prototype_index,usage_mean,top1_frequency,delta_0,delta_1,price_0,price_1,time_left,proto_action_0,proto_action_1
8,0.20830853283405304,0.30893909626719057,0.5152599811553955,0.0,1.0440618991851807,0.01602543331682682,0.06000000238418579,0.17941027879714966,-5.817413330078125e-05
21,0.20138263702392578,0.20225933202357563,0.5339549779891968,0.0,0.8581147193908691,0.05979105830192566,0.14000000059604645,0.0940253734588623,-0.0002554655075073242
16,0.17436723411083221,0.2649312377210216,0.5220810174942017,0.0,1.0200228691101074,0.023449337109923363,0.07999999821186066,-0.05237102508544922,7.134675979614258e-05
11,0.08377192169427872,0.028290766208251474,0.5292270183563232,0.0,1.017349362373352,0.06396178901195526,0.23999999463558197,0.01880025863647461,0.0002339482307434082
18,0.07931654155254364,0.08005893909626718,0.5223479866981506,0.0,0.975985586643219,0.021212726831436157,0.07999999821186066,-0.01683032512664795,-0.0008705854415893555
10,0.07546252757310867,0.049901768172888016,0.5050129890441895,0.0,1.0091692209243774,0.01535851787775755,0.06000000238418579,0.30391573905944824,0.00015467405319213867
4,0.06907954066991806,0.00068762278978389,0.5201089978218079,0.0,1.0174224376678467,0.036324642598629,0.09999999403953552,-0.09434723854064941,0.00011587142944335938
17,0.050199877470731735,0.02819253438113949,0.5227649807929993,0.0,1.0706924200057983,0.02393709123134613,0.07999999821186066,-0.2379622459411621,-0.00042068958282470703
23,0.030476288869976997,0.02013752455795678,0.5163679718971252,0.0,0.9479075074195862,0.02856212668120861,0.07999999821186066,0.024322509765625,0.000587165355682373
3,0.02358524687588215,0.016404715127701374,0.5209370255470276,0.0,0.8975560665130615,0.03447895497083664,0.09999999403953552,0.07519257068634033,-0.0002092123031616211
