paper_label,mean_gains_avg,mean_gains_std_across_tickers,cvar05_avg,shortfall_avg,bound_occupancy_avg,n_tickers
Unhedged,-0.03050167060767605,0.01560363746592213,-0.14029143229126928,0.6159408486793254,0.0,10
Spot-Delta,-0.030331200485428134,0.015262724809566962,-0.13723540753126143,0.8157917798739674,0.0,10
Spot-Delta Band,-0.030294711111734263,0.015246317550150726,-0.13724722216526664,0.8158061469605652,0.0,10
Vanilla DH,-0.030276839621365043,0.015464276149558228,-0.13479274983207382,0.9792105401468639,0.0775145522040722,10
ProtoHedge (Mean frontier),-0.029651423792044274,0.014813233114165096,-0.1337631963193416,0.8969369784576855,0.04861609092510867,10
ProtoHedge (Tail frontier),-0.030144925446559938,0.015121384238580067,-0.13212082013487814,0.9186021327882414,0.03043385372113855,10
