model,model_family,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,3,-0.0154198696836829,0.000101417146666,-0.0532742743690808,-0.0728133246302604,0.9489194499017682,0.6932896773020426,0.0157402930781245,0.0,0.0,0.0,0.0,9.666666666666666,0.056818770399938,0.0,0.0,,True,True,True,0.000101619400084,9.354514380296128e-05,6.34308283527698e-05,1.5965042014917316e-05,0.0044655998547871,0.0026718253890673,0.0023671090602874,0.0022436877091725,-0.3529796987557303,-0.1427635887360838,-0.1335952848722986,0.0242305173542894,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,spot_delta,100.0,False,False,cvar
vanilla,vanilla,3,-0.0154358347256978,0.0001002540917936,-0.0554183828334013,-0.075057012339433,0.9731499672560576,0.3688454131285349,0.0096364139268795,0.0,0.0,0.0,0.0,77.66666666666667,0.056840909513024,0.0,0.0,,True,True,True,8.565435806910139e-05,7.758010178804398e-05,4.746578633785248e-05,0.0,0.0022219121456146,0.0004281376798947,0.0001234213511149,0.0,-0.3772102161100198,-0.1669941060903733,-0.1578258022265881,0.0,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,,,,,cvar
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,3,-0.0154565420622626,0.0001326098117483,-0.0535354656477769,-0.0730927313367525,0.922724296005239,0.8636828660964966,0.0242552862813075,0.0415520628683693,0.0415520628683693,0.0,0.3248199083169613,157.66666666666666,0.0645724896498742,0.0641354372123603,0.5825115055884287,,True,True,True,6.494702150424379e-05,5.687276522318638e-05,2.675844977299488e-05,-2.07073365648576e-05,0.004186193148295,0.0023924186825752,0.0020877023537953,0.0019642810026804,-0.326784544859201,-0.1165684348395545,-0.1074001309757693,0.0504256712508187,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,vanilla,50.0,True,False,cvar
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,3,-0.0154597948615749,0.0002047575474878,-0.0538476802408695,-0.0722183510661125,0.9266535690897184,0.7412887215614319,0.0208142561217149,3.2743942370661426e-05,0.0,3.2743942370661426e-05,0.0006548788474132,37.0,0.0568374572057897,0.0,0.0,,True,True,True,6.169422219196898e-05,5.361996591091156e-05,2.3505650460720066e-05,-2.3960135877132416e-05,0.0050605734189351,0.0032667989532152,0.0029620826244354,0.0028386612733205,-0.3307138179436805,-0.120497707924034,-0.1113294040602488,0.0464963981663393,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,spot_delta,50.0,True,False,cvar
spot_delta_band,baseline,3,-0.0154833005120356,0.0001610868509344,-0.0537938925127188,-0.0751804336905479,0.8153241650294696,0.5076263050238291,0.0113904997706413,0.0,0.0,0.0,0.0,,,,,0.0833333333333333,True,True,True,3.818857173124891e-05,3.0114315450191494e-05,0.0,-4.746578633785248e-05,0.0020984907944997,0.0003047163287798,0.0,-0.0001234213511149,-0.2193844138834316,-0.0091683038637851,0.0,0.1578258022265881,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,,,,,
spot_delta,baseline,3,-0.0155134148274858,0.0001890591080137,-0.0538096052904923,-0.0754851500193278,0.8061558611656844,0.5909596482912699,0.0193859878927469,0.0,0.0,0.0,0.0,,,,,,True,True,True,8.074256281057415e-06,0.0,-3.0114315450191494e-05,-7.758010178804398e-05,0.0017937744657198,0.0,-0.0003047163287798,-0.0004281376798947,-0.2102161100196464,0.0,0.0091683038637851,0.1669941060903733,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,,,,,
unhedged,baseline,3,-0.0155214890837669,0.0001008794895626,-0.0568685452143351,-0.0772789244850476,0.5959397511460379,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-8.074256281057415e-06,-3.818857173124891e-05,-8.565435806910139e-05,0.0,-0.0017937744657198,-0.0020984907944997,-0.0022219121456146,0.0,0.2102161100196464,0.2193844138834316,0.3772102161100198,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,,,,,
proto_source=vanilla_k=10_weighted=1_learnw=0,proto,3,-0.0155348839859167,0.0001358727188175,-0.0559326390425364,-0.0754407445589701,0.920104780615586,0.5342240134874979,0.0124673570195833,0.0,0.0,0.0,0.0,41.666666666666664,0.0572530608405625,9.861932938856015e-05,0.0006574621959237,,True,True,True,-1.3394902149835644e-05,-2.146915843089306e-05,-5.158347388108456e-05,-9.904926021893704e-05,0.0018381799260775,4.4405460357666016e-05,-0.0002603108684221,-0.0003837322195371,-0.3241650294695481,-0.1139489194499017,-0.1047806155861165,0.0530451866404716,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,vanilla,10.0,True,False,cvar
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,3,-0.0155727167924245,0.000375990079395,-0.0548411918183167,-0.0743783687551816,0.8840864440078585,0.617387721935908,0.0130723193287849,0.0049607072691552,0.0049607072691552,0.0,0.051735428945645,8.666666666666666,0.0579286308584546,0.0096811308349769,0.0834976988823142,,True,True,True,-5.122770865758318e-05,-5.9301964938640594e-05,-8.941628038883209e-05,-0.0001368820667266,0.002900555729866,0.0011067812641461,0.0008020649353663,0.0006786435842514,-0.2881466928618206,-0.0779305828421741,-0.0687622789783889,0.0890635232481992,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,spot_delta,50.0,False,False,cvar
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,3,-0.015630646298329,0.0003570891776244,-0.0536422466238339,-0.0728256503740946,0.9187950229207598,0.7682724197705587,0.0275050783529877,0.028912901113294,0.028912901113294,0.0,0.2554027504911591,577.6666666666666,0.0588749654341689,0.0060322156476002,0.0545693622616699,,True,True,True,-0.000109157214562,-0.0001172314708431,-0.0001473457862933,-0.0001948115726312,0.004453274110953,0.0026594996452331,0.0023547833164532,0.0022313619653383,-0.3228552717747218,-0.1126391617550753,-0.1034708578912901,0.0543549443352979,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,vanilla,100.0,True,False,cvar
