selection,model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,paper_label,output_dir
best_screened_proto_cvar05,proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,-0.0125825526192784,0.0009393071299075,-0.0376296346386273,-0.0518734268844127,0.9698755730189914,0.8186924954255422,0.0283888587728142,0.0572855271774721,0.0572855271774721,0.0,0.6666666666666666,238.33333333333337,0.0528349442334317,0.0710880999342537,0.6666666666666666,,True,True,True,-0.0003849345569809,-0.0005429865171511,-0.000522163696587,-0.0006005981316169,0.0035200578471024,0.0023164215187231,0.0022719403107961,0.0013400005797545,-0.2842174197773411,-0.1172233136869677,-0.1132940406024883,-0.0170268500327438,SPY,ProtoHedge (Tail frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/SPY_full_paper_grid_800_asian_call_step_robust
best_screened_proto_shortfall,proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,-0.0122042810544371,0.000291233028095,-0.0389399074018001,-0.0541327719887097,0.914210870988867,0.5674161911010742,0.0087621559699376,0.0,0.0,0.0,0.0,248.0,0.0435404523345641,0.0,0.0,,True,True,True,-6.662992139657917e-06,-0.0001647149523099,-0.0001438921317458,-0.0002223265667756,0.0012607127428054,5.707641442616318e-05,1.2595206499099731e-05,-0.0009193445245424,-0.2285527177472167,-0.0615586116568432,-0.0576293385723639,0.0386378519973805,SPY,ProtoHedge (Shortfall frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/SPY_full_paper_grid_800_asian_call_step_robust
best_screened_proto_mean,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.0073459727379182,0.0010196120752218,-0.0287844010007878,-0.0439356639981269,0.8302180685358255,1.0,0.0264808315162857,0.0024143302180685,0.0009345794392523,0.0014797507788161,0.0179127725856697,239.0,0.0301889801278042,0.000508607198748,0.0093896713615023,,True,True,True,0.0004987881208459,0.0008263727650046,0.0007238551042973,0.0006237227159241,0.0017561030884583,-0.0004493668675422,-0.0002334328989187,0.0009386005500952,-0.3387850467289718,-0.0514018691588784,-0.0366043613707165,0.1409657320872275,TLT,ProtoHedge (Mean frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust
best_screened_proto_cvar05,proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.0073858097506066,0.0006172158337388,-0.0299003802239894,-0.0427428061763445,0.8722741433021807,0.9386771519978842,0.0270111554612716,0.0068146417445482,0.0062889408099688,0.0005257009345794,0.0654205607476635,407.3333333333333,0.0300206081370396,0.0012715179968701,0.0156494522691705,,True,True,True,0.0004589511081576,0.0007865357523163,0.000684018091609,0.0005838857032358,0.0029489609102408,0.0007434909542401,0.0009594249228636,0.0021314583718776,-0.380841121495327,-0.0934579439252336,-0.0786604361370717,0.0989096573208723,TLT,ProtoHedge (Tail frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust
best_screened_proto_shortfall,proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.007733354344964,0.0007105267747025,-0.0306772588441769,-0.04507968450586,0.809190031152648,0.9834237496058146,0.007888491731137,0.0006425233644859,0.0006035825545171,3.8940809968847354e-05,0.0085669781931464,122.66666666666669,0.0306377179558055,0.000254303599374,0.0070422535211267,,True,True,True,0.0001114065138002,0.0004389911579589,0.0003364734972516,0.0002363411088784,0.0006120825807253,-0.0015933873752752,-0.0013774534066518,-0.0002054199576377,-0.3177570093457944,-0.0303738317757009,-0.015576323987539,0.161993769470405,TLT,ProtoHedge (Shortfall frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust
best_screened_proto_mean,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.0152629967778921,0.0006515249385059,-0.0645268037915229,-0.0906342566013336,0.8766458766458767,0.9512816468874612,0.0122414869256317,0.0022522522522522,0.0015246015246015,0.0007276507276507,0.0207900207900207,432.0,0.0658360990674959,0.0030381944444444,0.0249999999999999,,True,True,True,3.886719544729175e-06,0.0002593410511811,0.0001670951023697,0.0001186539108554,0.0021984154979387,0.0006571685274441,0.0007794871926307,-0.0023946563402811,-0.3832293832293832,-0.1198891198891199,-0.1115731115731115,0.0921690921690921,XLE,ProtoHedge (Mean frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLE_full_paper_grid_800_asian_call_step_robust
best_screened_proto_cvar05,proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,3,-0.0156828432033459,0.0004221073236738,-0.0618482455611228,-0.0855284954110781,0.9147609147609148,1.0,0.0293102202316125,0.0814275814275814,0.0814275814275814,0.0,0.9487179487179488,270.6666666666667,0.0715844448664122,0.0423263888888888,0.3472222222222222,,True,True,True,-0.000415959705909,-0.0001605053742726,-0.000252751323084,-0.0003011925145983,0.0073041766881942,0.0057629297176996,0.0058852483828862,0.0027111048499743,-0.4213444213444213,-0.1580041580041581,-0.1496881496881497,0.054054054054054,XLE,ProtoHedge (Tail frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLE_full_paper_grid_800_asian_call_step_robust
best_screened_proto_shortfall,proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.0154254951824744,0.0005710636798817,-0.0683302084604899,-0.0953271314501762,0.8295218295218295,0.6432228783766428,0.048383771131436,0.0,0.0,0.0,0.0,60.666666666666664,0.0656889446654046,0.0,0.0,,True,True,True,-0.0001586116850376,9.684264659881592e-05,4.5966977874432186e-06,-4.384449372689045e-05,-0.0024944593509038,-0.0040357063213984,-0.0039133876562118,-0.0070875311891237,-0.336105336105336,-0.0727650727650728,-0.0644490644490644,0.1392931392931393,XLE,ProtoHedge (Shortfall frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLE_full_paper_grid_800_asian_call_step_robust
best_screened_proto_mean,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.0131808584555983,0.0008266650845514,-0.0423822480564316,-0.0623896718025207,0.8808479532163743,0.7372584939002991,0.020239753027757,3.654970760233918e-05,0.0,3.654970760233918e-05,0.0014619883040935,76.0,0.0494201036698626,1.8355359765051395e-05,0.000734214390602,,True,True,True,0.0001628212630748,-9.047022710243804e-05,-0.0001218235120177,7.517853130896944e-05,0.0038717066248257,0.0001874441901842,-0.0004641177753607,0.0018658650418122,-0.2799707602339181,-0.081140350877193,-0.0767543859649122,0.0438596491228069,XLF,ProtoHedge (Mean frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLF_full_paper_grid_800_asian_call_step_robust
best_screened_proto_cvar05,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0133476083477338,0.0010956345680974,-0.0421901481846968,-0.0616465471684932,0.9247076023391811,0.983283539613088,0.0284748586515585,0.0013706140350877,0.0,0.0013706140350877,0.0241228070175438,14.0,0.0496312133203808,0.0002936857562408,0.0029368575624082,,True,True,True,-3.928629060586872e-06,-0.0002572201192378,-0.0002885734041531,-9.157136082649232e-05,0.0046148312588532,0.0009305688242117,0.0002790068586667,0.0026089896758397,-0.323830409356725,-0.125,-0.1206140350877191,0.0,XLF,ProtoHedge (Tail frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLF_full_paper_grid_800_asian_call_step_robust
best_screened_proto_shortfall,proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,3,-0.0133650644371906,0.0006122901022824,-0.0420709395160277,-0.0616771640876928,0.875,0.8977660735448202,0.0304760485887527,0.1239583333333333,0.1239583333333333,0.0,0.6023391812865496,325.0,0.0540076423861994,0.028946402349486,0.2092511013215859,,True,True,True,-2.138471851746183e-05,-0.0002746762086947,-0.00030602949361,-0.0001090274502833,0.0045842143396536,0.0008999519050121,0.0002483899394671,0.0025783727566401,-0.2741228070175437,-0.0752923976608187,-0.0709064327485379,0.0497076023391812,XLF,ProtoHedge (Shortfall frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLF_full_paper_grid_800_asian_call_step_robust
best_screened_proto_mean,proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.0147606888785958,0.0003667485209927,-0.0464247196912765,-0.0590933784842491,0.8909657320872274,0.7609031597773234,0.0297708722452322,0.000739875389408,0.0002920560747663,0.0004478193146417,0.0023364485981308,132.33333333333334,0.0590283641974107,0.000254303599374,0.001564945226917,,True,True,True,0.0005735342080394,0.0004114961872498,0.0004017887016137,0.000184611727794,0.0067515050371487,0.0018541514873504,0.0020971372723579,0.0026574830214182,-0.2461059190031151,-0.0451713395638628,-0.042834890965732,0.0677570093457944,XLK,ProtoHedge (Mean frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLK_full_paper_grid_800_asian_call_step_robust
best_screened_proto_cvar05,proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.0147606888785958,0.0003667485209927,-0.0464247196912765,-0.0590933784842491,0.8909657320872274,0.7609031597773234,0.0297708722452322,0.000739875389408,0.0002920560747663,0.0004478193146417,0.0023364485981308,132.33333333333334,0.0590283641974107,0.000254303599374,0.001564945226917,,True,True,True,0.0005735342080394,0.0004114961872498,0.0004017887016137,0.000184611727794,0.0067515050371487,0.0018541514873504,0.0020971372723579,0.0026574830214182,-0.2461059190031151,-0.0451713395638628,-0.042834890965732,0.0677570093457944,XLK,ProtoHedge (Tail frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLK_full_paper_grid_800_asian_call_step_robust
best_screened_proto_shortfall,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.014918725627164,5.285293837151671e-05,-0.0478297918414076,-0.0615937324861685,0.8901869158878505,0.8726898233095804,0.0292653975387414,1.9470404984423677e-05,0.0,1.9470404984423677e-05,0.0007788161993769,178.33333333333334,0.0587624164269318,0.0001173708920187,0.0023474178403755,,True,True,True,0.0004154974594712,0.0002534594386816,0.0002437519530455,2.657497922579563e-05,0.0042511510352293,-0.0006462025145689,-0.0004032167295614,0.0001571290194988,-0.2453271028037382,-0.0443925233644859,-0.042056074766355,0.0685358255451713,XLK,ProtoHedge (Shortfall frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLK_full_paper_grid_800_asian_call_step_robust
best_screened_proto_mean,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.010139735105137,0.0008363404411612,-0.03327399569874,-0.0492660937209924,0.8450704225352114,0.8499835332234701,0.0344406863053639,0.0011737089201877,0.0011737089201877,0.0,0.0093896713615023,395.0,0.0424248446346957,0.0004323899371069,0.0039308176100628,,True,True,True,0.0002515924473603,0.0002551286791761,0.000246500596404,0.0001887974018851,0.0056196277340253,0.0019173634548981,0.0019395525256792,0.0029388976593812,-0.2762128325508608,-0.0477308294209704,-0.0469483568075118,0.0993740219092329,XLV,ProtoHedge (Mean frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLV_full_paper_grid_800_asian_call_step_robust
best_screened_proto_cvar05,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.010139735105137,0.0008363404411612,-0.03327399569874,-0.0492660937209924,0.8450704225352114,0.8499835332234701,0.0344406863053639,0.0011737089201877,0.0011737089201877,0.0,0.0093896713615023,395.0,0.0424248446346957,0.0004323899371069,0.0039308176100628,,True,True,True,0.0002515924473603,0.0002551286791761,0.000246500596404,0.0001887974018851,0.0056196277340253,0.0019173634548981,0.0019395525256792,0.0029388976593812,-0.2762128325508608,-0.0477308294209704,-0.0469483568075118,0.0993740219092329,XLV,ProtoHedge (Tail frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLV_full_paper_grid_800_asian_call_step_robust
best_screened_proto_shortfall,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.010139735105137,0.0008363404411612,-0.03327399569874,-0.0492660937209924,0.8450704225352114,0.8499835332234701,0.0344406863053639,0.0011737089201877,0.0011737089201877,0.0,0.0093896713615023,395.0,0.0424248446346957,0.0004323899371069,0.0039308176100628,,True,True,True,0.0002515924473603,0.0002551286791761,0.000246500596404,0.0001887974018851,0.0056196277340253,0.0019173634548981,0.0019395525256792,0.0029388976593812,-0.2762128325508608,-0.0477308294209704,-0.0469483568075118,0.0993740219092329,XLV,ProtoHedge (Shortfall frontier),/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/XLV_full_paper_grid_800_asian_call_step_robust
