model,model_family,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir,paper_label,selection,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure
unhedged,baseline,3,-0.038251011321942,0.0030710388460735,-0.1335646311442057,-0.1801188389460245,0.6309246309246309,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0011461116373538,-0.0012537352740764,-0.0007073966165383,0.0,-0.009545808037122,-0.0099963843822479,-0.0129658381144205,0.0,0.1942501942501941,0.1958041958041958,0.3185703185703186,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,Unhedged,unhedged,,,,,
spot_delta,baseline,3,-0.0371048996845881,0.0032346421543229,-0.1282111992438634,-0.1705730309089025,0.8251748251748251,0.7022129893302917,0.0220250536998113,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0011461116373538,0.0,-0.0001076236367225,0.0004387150208155,0.009545808037122,0.0,-0.0004505763451258,-0.0034200300772984,-0.1942501942501941,0.0,0.0015540015540016,0.1243201243201244,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,Spot-Delta,spot_delta,,,,,
spot_delta_band,baseline,3,-0.0369972760478655,0.0032118934447361,-0.1285185853640238,-0.1701224545637766,0.8267288267288267,0.6922129988670349,0.017435498535633,0.0,0.0,0.0,0.0,,,,,0.01,True,True,True,0.0012537352740764,0.0001076236367225,0.0,0.0005463386575381,0.0099963843822479,0.0004505763451258,0.0,-0.0029694537321726,-0.1958041958041958,-0.0015540015540016,0.0,0.1227661227661227,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,Spot-Delta Band,spot_delta_band,,,,,
vanilla,vanilla,3,-0.0375436147054036,0.0014952762669646,-0.1262015784780184,-0.167153000831604,0.9494949494949496,0.9703956445058188,0.032910481095314,0.1666666666666666,0.0166666666666666,0.15,0.6666666666666666,120.33333333333331,0.1740765248953054,0.1666666666666666,0.6666666666666666,,True,True,True,0.0007073966165383,-0.0004387150208155,-0.0005463386575381,0.0,0.0129658381144205,0.0034200300772984,0.0029694537321726,0.0,-0.3185703185703186,-0.1243201243201244,-0.1227661227661227,0.0,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,Vanilla DH,vanilla,,,,,cvar
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,3,-0.0363756418228149,0.0021262469808738,-0.1255041892329851,-0.1772408485412597,0.8422688422688424,0.937448263168335,0.0543503202497959,0.1675407925407925,0.1165889665889666,0.0509518259518259,0.5625485625485626,285.3333333333333,0.1595235158808564,0.0998442367601246,0.573208722741433,,True,True,True,0.001875369499127,0.0007292578617731,0.0006216342250506,0.0011679728825887,0.0028779904047648,-0.0066678176323572,-0.0071183939774831,-0.0100878477096557,-0.2113442113442114,-0.0170940170940172,-0.0155400155400156,0.1072261072261071,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,spot_delta,25.0,False,False,cvar
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,3,-0.037490307042996,0.0018864827699141,-0.1215137218435605,-0.1635487824678421,0.9572649572649572,1.0,0.0334436651319265,0.1948717948717948,0.1676961926961927,0.0271756021756021,0.9945609945609948,109.0,0.1712171437434643,0.1571845794392523,0.7180685358255451,,True,True,True,0.0007607042789459,-0.0003854073584079,-0.0004930309951305,5.330766240756179e-05,0.0165700564781824,0.0070242484410603,0.0065736720959345,0.0036042183637619,-0.3263403263403264,-0.1320901320901322,-0.1305361305361305,-0.0077700077700078,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,vanilla,25.0,False,False,cvar
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,3,-0.0394493490457534,0.0031035703540024,-0.1388689408699671,-0.1814392606417338,0.7995337995337994,1.0,0.0291362510373195,0.0462315462315462,0.0013791763791763,0.0448523698523698,0.303030303030303,62.666666666666664,0.1546359294189598,0.0222546728971962,0.2133956386292834,,True,True,True,-0.0011983377238114,-0.0023444493611653,-0.0024520729978879,-0.0019057343403498,-0.0013204216957092,-0.0108662297328313,-0.0113168060779571,-0.0142862598101297,-0.1686091686091685,0.0256410256410256,0.0271950271950273,0.14996114996115,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Shortfall frontier),best_screened_proto_shortfall,spot_delta,100.0,False,False,cvar
unhedged,baseline,3,-0.0159919559955596,0.0001895290653449,-0.0525308926900227,-0.0676492340862751,0.676489849377865,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0003088172525167,-0.0003083214784661,-0.000625477793316,0.0,-0.0032131212453047,-0.0030859174827734,-0.0049396256605784,0.0,0.1735428945645055,0.1761624099541586,0.2514734774066798,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust,Unhedged,unhedged,,,,,
spot_delta,baseline,3,-0.0156831387430429,0.0003824450709017,-0.0499091573059558,-0.0644361128409703,0.8500327439423706,0.6425193349520365,0.0204287202407916,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0003088172525167,0.0,4.957740505524832e-07,-0.0003166605407992,0.0032131212453047,0.0,0.0001272037625312,-0.0017265044152736,-0.1735428945645055,0.0,0.0026195153896531,0.0779305828421742,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust,Spot-Delta,spot_delta,,,,,
spot_delta_band,baseline,3,-0.0156836345170935,0.0003361479261538,-0.0498513296246528,-0.0645633166035016,0.8526522593320237,0.575852652390798,0.0142712754507859,0.0,0.0,0.0,0.0,,,,,0.0666666666666666,True,True,True,0.0003083214784661,-4.957740505524832e-07,0.0,-0.0003171563148498,0.0030859174827734,-0.0001272037625312,0.0,-0.0018537081778049,-0.1761624099541586,-0.0026195153896531,0.0,0.0753110674525211,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust,Spot-Delta Band,spot_delta_band,,,,,
vanilla,vanilla,3,-0.0153664782022436,0.0001091401945979,-0.0486060857772827,-0.0627096084256966,0.9279633267845449,0.9187817374865214,0.0232053597768147,0.0,0.0,0.0,0.0,66.66666666666667,0.0571107432742913,0.0,0.0,,True,True,True,0.000625477793316,0.0003166605407992,0.0003171563148498,0.0,0.0049396256605784,0.0017265044152736,0.0018537081778049,0.0,-0.2514734774066798,-0.0779305828421742,-0.0753110674525211,0.0,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust,Vanilla DH,vanilla,,,,,cvar
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,2,-0.0155747225508093,0.0002403542574345,-0.0479778986424207,-0.0583347491919994,0.918467583497053,0.7581852674484253,0.0219471091404557,0.0,0.0,0.0,0.0,14.5,0.0575156556116417,0.0,0.0,,True,True,True,0.0004172334447503,0.0001084161922335,0.0001089119662841,-0.0002082443485657,0.0093144848942756,0.0061013636489709,0.0062285674115021,0.0043748592336972,-0.241977734119188,-0.0684348395546824,-0.0658153241650293,0.0094957432874918,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,spot_delta,50.0,False,False,cvar
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,2,-0.0155747225508093,0.0002403542574345,-0.0479778986424207,-0.0583347491919994,0.918467583497053,0.7581852674484253,0.0219471091404557,0.0,0.0,0.0,0.0,14.5,0.0575156556116417,0.0,0.0,,True,True,True,0.0004172334447503,0.0001084161922335,0.0001089119662841,-0.0002082443485657,0.0093144848942756,0.0061013636489709,0.0062285674115021,0.0043748592336972,-0.241977734119188,-0.0684348395546824,-0.0658153241650293,0.0094957432874918,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,spot_delta,50.0,False,False,cvar
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,2,-0.0157633353956043,0.0002025781688231,-0.0501857981085777,-0.0617254134267568,0.8939096267190569,0.6492115259170532,0.0128483711741864,0.0,0.0,0.0,0.0,39.0,0.0575287170195952,0.0,0.0,,True,True,True,0.0002286205999553,-8.019665256142616e-05,-7.970087851087368e-05,-0.0003968571933607,0.0059238206595182,0.0027106994142134,0.0028379031767447,0.0009841949989398,-0.2174197773411919,-0.0438768827766863,-0.0412573673870332,0.0340537000654879,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Shortfall frontier),best_screened_proto_shortfall,spot_delta,100.0,True,False,cvar
unhedged,baseline,3,-0.0121976180622975,0.000217637950691,-0.0395159641901652,-0.0553934847315152,0.6856581532416502,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0001580519601702,-0.0001372291396061,-0.0002156635746359,0.0,-0.0012036363283793,-0.0012481175363063,-0.0021800572673479,0.0,0.1669941060903734,0.1709233791748527,0.2671905697445973,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/SPY_full_paper_grid_800_asian_call_step_robust,Unhedged,unhedged,,,,,
spot_delta,baseline,3,-0.0120395661021272,0.000131296221659,-0.0387073881924152,-0.0541898484031359,0.8526522593320237,0.6168549855550131,0.0184921603649854,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0001580519601702,0.0,2.0822820564111652e-05,-5.76116144657135e-05,0.0012036363283793,0.0,-4.448120792706345e-05,-0.0009764209389686,-0.1669941060903734,0.0,0.0039292730844793,0.1001964636542238,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/SPY_full_paper_grid_800_asian_call_step_robust,Spot-Delta,spot_delta,,,,,
spot_delta_band,baseline,3,-0.0120603889226913,0.0001507603637461,-0.0384966733554999,-0.0541453671952088,0.856581532416503,0.5935216546058655,0.0146709845090905,0.0,0.0,0.0,0.0,,,,,0.0233333333333333,True,True,True,0.0001372291396061,-2.0822820564111652e-05,0.0,-7.843443502982515e-05,0.0012481175363063,4.448120792706345e-05,0.0,-0.0009319397310415,-0.1709233791748527,-0.0039292730844793,0.0,0.0962671905697445,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/SPY_full_paper_grid_800_asian_call_step_robust,Spot-Delta Band,spot_delta_band,,,,,
vanilla,vanilla,3,-0.0119819544876615,0.0002707643951997,-0.038073731213808,-0.0532134274641672,0.9528487229862476,0.5258069833119711,0.0132479649037122,0.0,0.0,0.0,0.0,51.0,0.0438073049734036,0.0,0.0,,True,True,True,0.0002156635746359,5.76116144657135e-05,7.843443502982515e-05,0.0,0.0021800572673479,0.0009764209389686,0.0009319397310415,0.0,-0.2671905697445973,-0.1001964636542238,-0.0962671905697445,0.0,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/SPY_full_paper_grid_800_asian_call_step_robust,Vanilla DH,vanilla,,,,,cvar
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,3,-0.0120151673133174,0.0001503121322053,-0.0382748012741406,-0.0522225586076577,0.9194499017681728,0.60810653368632,0.016639328872164,0.0022920759659463,0.0,0.0022920759659463,0.0045841519318926,39.333333333333336,0.0435946744106609,0.0011505588428665,0.0026298487836949,,True,True,True,0.00018245074898,2.4398788809776303e-05,4.522160937388796e-05,-3.3212825655937195e-05,0.0031709261238574,0.0019672897954781,0.0019228085875511,0.0009908688565095,-0.2337917485265226,-0.0667976424361491,-0.0628683693516698,0.0333988212180746,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/SPY_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,spot_delta,100.0,False,False,cvar
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,3,-0.0125825526192784,0.0009393071299075,-0.0376296346386273,-0.0518734268844127,0.9698755730189914,0.8186924954255422,0.0283888587728142,0.0572855271774721,0.0572855271774721,0.0,0.6666666666666666,238.33333333333337,0.0528349442334317,0.0710880999342537,0.6666666666666666,,True,True,True,-0.0003849345569809,-0.0005429865171511,-0.000522163696587,-0.0006005981316169,0.0035200578471024,0.0023164215187231,0.0022719403107961,0.0013400005797545,-0.2842174197773411,-0.1172233136869677,-0.1132940406024883,-0.0170268500327438,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/SPY_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,vanilla,10.0,False,False,cvar
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,3,-0.0122042810544371,0.000291233028095,-0.0389399074018001,-0.0541327719887097,0.914210870988867,0.5674161911010742,0.0087621559699376,0.0,0.0,0.0,0.0,248.0,0.0435404523345641,0.0,0.0,,True,True,True,-6.662992139657917e-06,-0.0001647149523099,-0.0001438921317458,-0.0002223265667756,0.0012607127428054,5.707641442616318e-05,1.2595206499099731e-05,-0.0009193445245424,-0.2285527177472167,-0.0615586116568432,-0.0576293385723639,0.0386378519973805,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/SPY_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Shortfall frontier),best_screened_proto_shortfall,spot_delta,50.0,False,False,cvar
unhedged,baseline,3,-0.0078447608587642,0.0009254539577509,-0.0326710164546966,-0.0456917670865853,0.4914330218068536,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,0.0003275846441586,0.0002250669834514,0.0001249345950782,0.0,-0.0022054699560006,-0.0019895359873771,-0.0008175025383631,0.0,0.2873831775700934,0.3021806853582553,0.4797507788161994,TLT,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust,Unhedged,unhedged,,,,,
spot_delta,baseline,3,-0.0081723455029229,0.0011152861218729,-0.030094918080916,-0.0434862971305847,0.778816199376947,0.582252025604248,0.0204588156193494,0.0,0.0,0.0,0.0,,,,,,True,True,True,-0.0003275846441586,0.0,-0.0001025176607072,-0.0002026500490804,0.0022054699560006,0.0,0.0002159339686234,0.0013879674176375,-0.2873831775700934,0.0,0.0147975077881619,0.1923676012461059,TLT,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust,Spot-Delta,spot_delta,,,,,
