model,model_family,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir,paper_label,selection,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,vanilla_mean,vanilla_cvar,vanilla_bound,mean_gap_vs_vanilla,cvar_gap_vs_vanilla,bound_gap_vs_vanilla
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,3,-0.0151121482873956,0.0004158107617449,-0.0520756607254346,-0.0714764768878618,0.9345121152586772,0.6635453303654989,0.0178421400487422,0.0,0.0,0.0,0.0,22.333333333333332,0.0566481555361921,0.0,0.0,,True,True,True,0.0004093407963713,0.0004012665400902,0.00037115222464,0.0003236864383022,0.0058024475971857,0.0040086731314659,0.003703956802686,0.0035805354515711,-0.3385723641126391,-0.1283562540929926,-0.1191879502292074,0.0386378519973806,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,spot_delta,100.0,True,False,cvar,-0.0154358347256978,-0.075057012339433,0.0,0.0003236864383022002,0.003580535451571207,0.0
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,3,-0.0151121482873956,0.0004158107617449,-0.0520756607254346,-0.0714764768878618,0.9345121152586772,0.6635453303654989,0.0178421400487422,0.0,0.0,0.0,0.0,22.333333333333332,0.0566481555361921,0.0,0.0,,True,True,True,0.0004093407963713,0.0004012665400902,0.00037115222464,0.0003236864383022,0.0058024475971857,0.0040086731314659,0.003703956802686,0.0035805354515711,-0.3385723641126391,-0.1283562540929926,-0.1191879502292074,0.0386378519973806,IWM,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/IWM_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,spot_delta,100.0,True,False,cvar,-0.0154358347256978,-0.075057012339433,0.0,0.0003236864383022002,0.003580535451571207,0.0
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,3,-0.0363756418228149,0.0021262469808738,-0.1255041892329851,-0.1772408485412597,0.8422688422688424,0.937448263168335,0.0543503202497959,0.1675407925407925,0.1165889665889666,0.0509518259518259,0.5625485625485626,285.3333333333333,0.1595235158808564,0.0998442367601246,0.573208722741433,,True,True,True,0.001875369499127,0.0007292578617731,0.0006216342250506,0.0011679728825887,0.0028779904047648,-0.0066678176323572,-0.0071183939774831,-0.0100878477096557,-0.2113442113442114,-0.0170940170940172,-0.0155400155400156,0.1072261072261071,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,spot_delta,25.0,False,False,cvar,-0.0375436147054036,-0.167153000831604,0.1666666666666666,0.0011679728825886998,-0.010087847709655706,0.0008741258741258862
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,3,-0.037490307042996,0.0018864827699141,-0.1215137218435605,-0.1635487824678421,0.9572649572649572,1.0,0.0334436651319265,0.1948717948717948,0.1676961926961927,0.0271756021756021,0.9945609945609948,109.0,0.1712171437434643,0.1571845794392523,0.7180685358255451,,True,True,True,0.0007607042789459,-0.0003854073584079,-0.0004930309951305,5.330766240756179e-05,0.0165700564781824,0.0070242484410603,0.0065736720959345,0.0036042183637619,-0.3263403263403264,-0.1320901320901322,-0.1305361305361305,-0.0077700077700078,NVDA,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/NVDA_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,vanilla,25.0,False,False,cvar,-0.0375436147054036,-0.167153000831604,0.1666666666666666,5.330766240759649e-05,0.003604218363761902,0.028205128205128188
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,2,-0.0155747225508093,0.0002403542574345,-0.0479778986424207,-0.0583347491919994,0.918467583497053,0.7581852674484253,0.0219471091404557,0.0,0.0,0.0,0.0,14.5,0.0575156556116417,0.0,0.0,,True,True,True,0.0004172334447503,0.0001084161922335,0.0001089119662841,-0.0002082443485657,0.0093144848942756,0.0061013636489709,0.0062285674115021,0.0043748592336972,-0.241977734119188,-0.0684348395546824,-0.0658153241650293,0.0094957432874918,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,spot_delta,50.0,False,False,cvar,-0.0153664782022436,-0.0627096084256966,0.0,-0.0002082443485657004,0.004374859233697202,0.0
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,2,-0.0155747225508093,0.0002403542574345,-0.0479778986424207,-0.0583347491919994,0.918467583497053,0.7581852674484253,0.0219471091404557,0.0,0.0,0.0,0.0,14.5,0.0575156556116417,0.0,0.0,,True,True,True,0.0004172334447503,0.0001084161922335,0.0001089119662841,-0.0002082443485657,0.0093144848942756,0.0061013636489709,0.0062285674115021,0.0043748592336972,-0.241977734119188,-0.0684348395546824,-0.0658153241650293,0.0094957432874918,QQQ,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/QQQ_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,spot_delta,50.0,False,False,cvar,-0.0153664782022436,-0.0627096084256966,0.0,-0.0002082443485657004,0.004374859233697202,0.0
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,3,-0.0120151673133174,0.0001503121322053,-0.0382748012741406,-0.0522225586076577,0.9194499017681728,0.60810653368632,0.016639328872164,0.0022920759659463,0.0,0.0022920759659463,0.0045841519318926,39.333333333333336,0.0435946744106609,0.0011505588428665,0.0026298487836949,,True,True,True,0.00018245074898,2.4398788809776303e-05,4.522160937388796e-05,-3.3212825655937195e-05,0.0031709261238574,0.0019672897954781,0.0019228085875511,0.0009908688565095,-0.2337917485265226,-0.0667976424361491,-0.0628683693516698,0.0333988212180746,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/SPY_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,spot_delta,100.0,False,False,cvar,-0.0119819544876615,-0.0532134274641672,0.0,-3.3212825655900766e-05,0.0009908688565095011,0.0022920759659463
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,3,-0.0125825526192784,0.0009393071299075,-0.0376296346386273,-0.0518734268844127,0.9698755730189914,0.8186924954255422,0.0283888587728142,0.0572855271774721,0.0572855271774721,0.0,0.6666666666666666,238.33333333333337,0.0528349442334317,0.0710880999342537,0.6666666666666666,,True,True,True,-0.0003849345569809,-0.0005429865171511,-0.000522163696587,-0.0006005981316169,0.0035200578471024,0.0023164215187231,0.0022719403107961,0.0013400005797545,-0.2842174197773411,-0.1172233136869677,-0.1132940406024883,-0.0170268500327438,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/SPY_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,vanilla,10.0,False,False,cvar,-0.0119819544876615,-0.0532134274641672,0.0,-0.0006005981316169005,0.0013400005797544953,0.0572855271774721
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,3,-0.0073459727379182,0.0010196120752218,-0.0287844010007878,-0.0439356639981269,0.8302180685358255,1.0,0.0264808315162857,0.0024143302180685,0.0009345794392523,0.0014797507788161,0.0179127725856697,239.0,0.0301889801278042,0.000508607198748,0.0093896713615023,,True,True,True,0.0004987881208459,0.0008263727650046,0.0007238551042973,0.0006237227159241,0.0017561030884583,-0.0004493668675422,-0.0002334328989187,0.0009386005500952,-0.3387850467289718,-0.0514018691588784,-0.0366043613707165,0.1409657320872275,TLT,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,spot_delta,10.0,False,False,cvar,-0.0079696954538424,-0.0448742645482222,0.0,0.0006237227159242003,0.0009386005500953004,0.0024143302180685
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,3,-0.0073858097506066,0.0006172158337388,-0.0299003802239894,-0.0427428061763445,0.8722741433021807,0.9386771519978842,0.0270111554612716,0.0068146417445482,0.0062889408099688,0.0005257009345794,0.0654205607476635,407.3333333333333,0.0300206081370396,0.0012715179968701,0.0156494522691705,,True,True,True,0.0004589511081576,0.0007865357523163,0.000684018091609,0.0005838857032358,0.0029489609102408,0.0007434909542401,0.0009594249228636,0.0021314583718776,-0.380841121495327,-0.0934579439252336,-0.0786604361370717,0.0989096573208723,TLT,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel/panel_sweeps/TLT_full_paper_grid_800_asian_call_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,spot_delta,100.0,False,False,cvar,-0.0079696954538424,-0.0448742645482222,0.0,0.0005838857032358005,0.002131458371877698,0.0068146417445482
