model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,risk_measure,selected_epoch,selected_score,selection_metric,selected_val_action_abs_mean,selected_val_delta_abs_mean,selected_val_pct_at_any_position_bound,selected_val_pct_paths_touch_any_position_bound,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
proto_source=spot_delta_k=100_weighted=0_learnw=0,test,1234,proto,1.6497273445129395,1.2583420276641846,-0.18795469403266907,0.0171879343688488,-0.10578101873397827,1.389695167541504,4.279933929443359,0.04154302670623145,-0.020197231322526932,1.6758391857147217,0.005914562381803989,0.3199042081832886,1.126819372177124,0.8532077074050903,1.0000001192092896,0.7501112759643916,0.10879080118694362,0.641320474777448,1.0,cvar,794.0,-0.7070498359771001,val_loss,0.3276258707046509,0.8449389338493347,0.7326636904761905,1.0,674.0,20.0,2.0,spot_delta,100.0,False,False,0.5261654257774353,1.5128189325332642
proto_source=vanilla_k=10_weighted=1_learnw=0,train,1234,proto,1.6380255222320557,1.2926119565963745,-0.5121564269065857,0.004532405640929937,-0.2717401087284088,1.4233394861221313,4.153623580932617,0.04969735584581077,-0.021356062963604927,1.6666147708892822,0.007233195938169956,0.4213291108608246,1.126819372177124,0.5607075691223145,1.0000001192092896,0.24709302325581395,0.07992991398534566,0.1671631092704683,1.0,cvar,533.0,-0.7648965479362578,val_loss,0.3719449043273926,0.6670741438865662,0.3425967261904762,1.0,3139.0,20.0,2.0,vanilla,10.0,True,False,0.771793007850647,1.1337578296661377
proto_source=vanilla_k=10_weighted=1_learnw=0,val,1234,proto,1.6817891597747803,1.2828764915466309,-0.45254912972450256,0.019355032593011856,-0.2269323766231537,1.4255268573760986,4.078042030334473,0.047619047619047616,-0.021169060841202736,1.7101991176605225,0.007240613456815481,0.42321446537971497,1.126819372177124,0.5615885853767395,1.0000001192092896,0.24110863095238094,0.08151041666666667,0.15959821428571427,1.0,cvar,533.0,-0.7648965479362578,val_loss,0.3719449043273926,0.6670741438865662,0.3425967261904762,1.0,672.0,20.0,2.0,vanilla,10.0,True,False,0.771793007850647,1.1337578296661377
proto_source=vanilla_k=10_weighted=1_learnw=0,test,1234,proto,1.5844659805297852,1.2755199670791626,-0.4900516867637634,-0.00154669932089746,-0.2846681773662567,1.3803454637527466,4.131814002990723,0.050445103857566766,-0.020197231322526932,1.611802101135254,0.007138941437005997,0.4170592725276947,1.126819372177124,0.563159704208374,1.0000001192092896,0.25077893175074184,0.08186201780415431,0.16891691394658753,1.0,cvar,533.0,-0.7648965479362578,val_loss,0.3719449043273926,0.6670741438865662,0.3425967261904762,1.0,674.0,20.0,2.0,vanilla,10.0,True,False,0.771793007850647,1.1337578296661377
proto_source=vanilla_k=10_weighted=0_learnw=0,train,1234,proto,1.6030088663101196,1.269892692565918,-0.35505521297454834,-0.010119611397385597,-0.23436233401298523,1.3675768375396729,4.180816650390625,0.05256451099076139,-0.021356062963604927,1.6313475370407104,0.006982589606195688,0.4071006178855896,1.1260395050048828,0.6843745708465576,1.0000001192092896,0.36632685568652434,0.07741318891366678,0.2889136667728576,1.0,cvar,743.0,-0.7569960642854373,val_loss,0.41781145334243774,0.6593097448348999,0.3567708333333333,1.0,3139.0,20.0,2.0,vanilla,10.0,False,False,0.7990117073059082,1.2958052158355713
proto_source=vanilla_k=10_weighted=0_learnw=0,val,1234,proto,1.676471471786499,1.2540900707244873,-0.21255970001220703,0.05582689493894577,-0.1238725334405899,1.469098687171936,4.1312713623046875,0.03869047619047619,-0.021169060841202736,1.7046995162963867,0.007059137802571058,0.41353723406791687,1.1260393857955933,0.6853469014167786,1.0000001192092896,0.3640997023809524,0.07730654761904762,0.28679315476190476,1.0,cvar,743.0,-0.7569960642854373,val_loss,0.41781145334243774,0.6593097448348999,0.3567708333333333,1.0,672.0,20.0,2.0,vanilla,10.0,False,False,0.7990117073059082,1.2958052158355713
proto_source=vanilla_k=10_weighted=0_learnw=0,test,1234,proto,1.5661932229995728,1.2803046703338623,-0.5030216574668884,-0.041108954697847366,-0.2894584834575653,1.3153443336486816,4.0945539474487305,0.0712166172106825,-0.020197231322526932,1.5932917594909668,0.006901197601109743,0.40230855345726013,1.1260393857955933,0.688173770904541,1.0000001192092896,0.37340504451038575,0.0803412462908012,0.29306379821958456,1.0,cvar,743.0,-0.7569960642854373,val_loss,0.41781145334243774,0.6593097448348999,0.3567708333333333,1.0,674.0,20.0,2.0,vanilla,10.0,False,False,0.7990117073059082,1.2958052158355713
proto_source=vanilla_k=25_weighted=1_learnw=0,train,1234,proto,1.6670945882797241,1.2520155906677246,-0.17572422325611115,0.09431637823581696,-0.10305165499448776,1.4322282075881958,4.219390869140625,0.034087288945524055,-0.021356062963604927,1.6950256824493408,0.0065751452930271626,0.37825456261634827,1.1268194913864136,0.7244118452072144,1.0000001192092896,0.4711691621535521,0.07645747053201657,0.3947116916215355,1.0,cvar,707.0,-0.7041482353565238,val_loss,0.37184545397758484,0.7141510248184204,0.43467261904761906,1.0,3139.0,20.0,2.0,vanilla,25.0,True,False,0.7796940803527832,1.2335395812988281
proto_source=vanilla_k=25_weighted=1_learnw=0,val,1234,proto,1.696234941482544,1.2256766557693481,-0.1275894194841385,0.12103299796581268,-0.0225668977946043,1.425931692123413,4.076082229614258,0.026785714285714284,-0.021169060841202736,1.7240211963653564,0.006617081817239523,0.38179996609687805,1.1268194913864136,0.7244938611984253,1.0000001192092896,0.4674479166666667,0.0800595238095238,0.3873883928571429,1.0,cvar,707.0,-0.7041482353565238,val_loss,0.37184545397758484,0.7141510248184204,0.43467261904761906,1.0,672.0,20.0,2.0,vanilla,25.0,True,False,0.7796940803527832,1.2335395812988281
proto_source=vanilla_k=25_weighted=1_learnw=0,test,1234,proto,1.599062204360962,1.2377334833145142,-0.22228924930095673,0.06779105216264725,-0.1214689239859581,1.353763222694397,4.1306915283203125,0.03412462908011869,-0.020197231322526932,1.625745415687561,0.006486173719167709,0.37382468581199646,1.1268194913864136,0.7288532257080078,1.0000001192092896,0.4741097922848665,0.08100890207715133,0.39310089020771516,1.0,cvar,707.0,-0.7041482353565238,val_loss,0.37184545397758484,0.7141510248184204,0.43467261904761906,1.0,674.0,20.0,2.0,vanilla,25.0,True,False,0.7796940803527832,1.2335395812988281
proto_source=vanilla_k=25_weighted=0_learnw=0,train,1234,proto,1.671608328819275,1.2221641540527344,-0.11354483664035797,0.12875118851661682,-0.02868284471333027,1.4381588697433472,4.154138088226318,0.02293724115960497,-0.021356062963604927,1.6991606950759888,0.0061961570754647255,0.3482218384742737,1.1266595125198364,0.604283332824707,1.0000001192092896,0.26984708505893595,0.09550812360624403,0.17433896145269193,0.9993628544122332,cvar,525.0,-0.7900175830579939,val_loss,0.34957122802734375,0.577847421169281,0.24534970238095238,1.0,3139.0,20.0,2.0,vanilla,25.0,False,False,0.7548159956932068,1.1755708456039429
proto_source=vanilla_k=25_weighted=0_learnw=0,val,1234,proto,1.7142497301101685,1.1926918029785156,-0.11740515381097794,0.20124593377113342,-0.001519003533758223,1.5133349895477295,4.063811779022217,0.019345238095238096,-0.021169060841202736,1.7416621446609497,0.0062432787381112576,0.3510136604309082,1.1266593933105469,0.6096827387809753,1.0000001192092896,0.2683779761904762,0.0984375,0.1699404761904762,1.0,cvar,525.0,-0.7900175830579939,val_loss,0.34957122802734375,0.577847421169281,0.24534970238095238,1.0,672.0,20.0,2.0,vanilla,25.0,False,False,0.7548159956932068,1.1755708456039429
proto_source=vanilla_k=25_weighted=0_learnw=0,test,1234,proto,1.6245993375778198,1.224374532699585,-0.15283814072608948,0.07261745631694794,-0.08691848814487457,1.420677661895752,3.992619514465332,0.02967359050445104,-0.020197231322526932,1.6509002447128296,0.006103632505983114,0.3433611989021301,1.1266593933105469,0.6094563603401184,1.0000001192092896,0.27288575667655784,0.0974406528189911,0.17544510385756676,1.0,cvar,525.0,-0.7900175830579939,val_loss,0.34957122802734375,0.577847421169281,0.24534970238095238,1.0,674.0,20.0,2.0,vanilla,25.0,False,False,0.7548159956932068,1.1755708456039429
proto_source=vanilla_k=50_weighted=1_learnw=0,train,1234,proto,1.4922797679901123,1.077520489692688,-0.11432832479476929,0.08925315737724304,-0.05672942474484444,1.283758521080017,3.5928070545196533,0.03185727938834024,-0.021356062963604927,1.5191476345062256,0.005511775612831116,0.3142959177494049,1.1268194913864136,0.6707645654678345,1.0000001192092896,0.40498566422427523,0.08085377508760752,0.32413188913666774,1.0,cvar,580.0,-0.7486702308129697,val_loss,0.3376055061817169,0.6595906615257263,0.3566220238095238,1.0,3139.0,20.0,2.0,vanilla,50.0,True,False,0.6766282916069031,1.2374134063720703
