selection,model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
best_mean,spot_delta,baseline,,,,,,1,-0.013530326075851917,,-0.04104941859841347,-0.05292815342545509,0.7333333333333333,0.9999619722366333,0.027084751054644585,0.006666666666666667,0.006666666666666667,0.0,0.2,,,,,,True,True,True,0.0037177717313170433,0.0,0.0,0.05249978136271238,-0.001246873289346695,0.0,0.0,0.2796691618859768,-0.19999999999999996,0.0,0.0,-0.19999999999999996
best_cvar05,unhedged,baseline,,,,,,1,-0.01724809780716896,,-0.050012266635894774,-0.0516812801361084,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0037177717313170433,-0.0037177717313170433,0.04878200963139534,0.0,0.001246873289346695,0.001246873289346695,0.2809160351753235,0.0,0.19999999999999996,0.19999999999999996,0.0
best_shortfall,unhedged,baseline,,,,,,1,-0.01724809780716896,,-0.050012266635894774,-0.0516812801361084,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0037177717313170433,-0.0037177717313170433,0.04878200963139534,0.0,0.001246873289346695,0.001246873289346695,0.2809160351753235,0.0,0.19999999999999996,0.19999999999999996,0.0
best_proto_mean,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,1,-0.024725735187530518,,-0.07663702294230461,-0.09523316472768784,0.7333333333333333,1.0,0.05000000074505806,0.5,0.0,0.5,1.0,-1.0,0.15638541590688484,0.4785714285714286,1.0,,True,True,True,-0.007477637380361557,-0.0111954091116786,-0.0111954091116786,0.04130437225103378,-0.04355188459157944,-0.04230501130223274,-0.04230501130223274,0.23736415058374405,-0.19999999999999996,0.0,0.0,-0.19999999999999996
best_proto_cvar05,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,1,-0.024725735187530518,,-0.07663702294230461,-0.09523316472768784,0.7333333333333333,1.0,0.05000000074505806,0.5,0.0,0.5,1.0,-1.0,0.15638541590688484,0.4785714285714286,1.0,,True,True,True,-0.007477637380361557,-0.0111954091116786,-0.0111954091116786,0.04130437225103378,-0.04355188459157944,-0.04230501130223274,-0.04230501130223274,0.23736415058374405,-0.19999999999999996,0.0,0.0,-0.19999999999999996
best_proto_shortfall,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,1,-0.024725735187530518,,-0.07663702294230461,-0.09523316472768784,0.7333333333333333,1.0,0.05000000074505806,0.5,0.0,0.5,1.0,-1.0,0.15638541590688484,0.4785714285714286,1.0,,True,True,True,-0.007477637380361557,-0.0111954091116786,-0.0111954091116786,0.04130437225103378,-0.04355188459157944,-0.04230501130223274,-0.04230501130223274,0.23736415058374405,-0.19999999999999996,0.0,0.0,-0.19999999999999996
best_screened_proto_mean,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,1,-0.024725735187530518,,-0.07663702294230461,-0.09523316472768784,0.7333333333333333,1.0,0.05000000074505806,0.5,0.0,0.5,1.0,-1.0,0.15638541590688484,0.4785714285714286,1.0,,True,True,True,-0.007477637380361557,-0.0111954091116786,-0.0111954091116786,0.04130437225103378,-0.04355188459157944,-0.04230501130223274,-0.04230501130223274,0.23736415058374405,-0.19999999999999996,0.0,0.0,-0.19999999999999996
best_screened_proto_cvar05,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,1,-0.024725735187530518,,-0.07663702294230461,-0.09523316472768784,0.7333333333333333,1.0,0.05000000074505806,0.5,0.0,0.5,1.0,-1.0,0.15638541590688484,0.4785714285714286,1.0,,True,True,True,-0.007477637380361557,-0.0111954091116786,-0.0111954091116786,0.04130437225103378,-0.04355188459157944,-0.04230501130223274,-0.04230501130223274,0.23736415058374405,-0.19999999999999996,0.0,0.0,-0.19999999999999996
best_screened_proto_shortfall,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,1,-0.024725735187530518,,-0.07663702294230461,-0.09523316472768784,0.7333333333333333,1.0,0.05000000074505806,0.5,0.0,0.5,1.0,-1.0,0.15638541590688484,0.4785714285714286,1.0,,True,True,True,-0.007477637380361557,-0.0111954091116786,-0.0111954091116786,0.04130437225103378,-0.04355188459157944,-0.04230501130223274,-0.04230501130223274,0.23736415058374405,-0.19999999999999996,0.0,0.0,-0.19999999999999996
