band,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound
0.15,-0.014399104751646519,0.02334502898156643,-0.10334408856928348,-0.06292853020131588,-0.08968343585729599,-0.005673078121617436,0.0044440206605941,0.7833333333333333,-0.014174163341522217,-0.0001460900530219078,7.885163358878344e-05,0.009859895333647728,0.41725000739097595,0.1937509924173355,0.4413039982318878,0.0,0.0,0.0,0.0
0.1,-0.014426329173147678,0.02335086651146412,-0.10326731182634831,-0.06242951042950153,-0.08964532613754272,-0.00631571956910193,0.005023335502482943,0.7791666666666667,-0.014174163341522217,-0.00016331505321431905,8.8851636974141e-05,0.011109895072877407,0.4672500193119049,0.2187509983778,0.4913040101528168,0.0,0.0,0.0,0.0
0.05,-0.014455360360443592,0.023384295403957367,-0.10319053784012794,-0.06244320385158062,-0.08961677551269531,-0.006999288452789187,0.005594619410112496,0.7729166666666667,-0.014174163341522217,-0.00018194279982708395,9.925508493324742e-05,0.012409520335495472,0.5172500014305115,0.24358782172203064,0.5413039922714233,0.0,0.0,0.0,0.0
0.02,-0.014473331160843372,0.023443810641765594,-0.10309172324836254,-0.0626520834863186,-0.08959279209375381,-0.0070236679166555405,0.0058751740492880315,0.7666666666666667,-0.014174163341522217,-0.00018509685469325632,0.00011407253623474389,0.01425761729478836,0.5472500324249268,0.25546225905418396,0.5713040232658386,0.0,0.0,0.0,0.0
0.01,-0.014520764350891113,0.023576892912387848,-0.10293007761240006,-0.06260603815317153,-0.08972328156232834,-0.006852884078398347,0.006295038224197921,0.76875,-0.014174163341522217,-0.00021387809829320759,0.0001327243953710422,0.016588617116212845,0.5572500228881836,0.25670334696769714,0.5813040137290955,0.0,0.0,0.0,0.0
0.0,-0.014586781151592731,0.023703306913375854,-0.10220088519155979,-0.06277907602488994,-0.08949152380228043,-0.007077898597344756,0.006679479428566991,0.7666666666666667,-0.014174163341522217,-0.000239828324993141,0.00017279101302847266,0.021601980552077293,0.5672500133514404,0.25696486234664917,0.5913040041923523,0.0,0.0,0.0,0.0
