level,liability,selection,ticker,candidate_model,benchmark_model,metric,estimate,ci_low,ci_high,bootstrap_probability_gt_zero,n_replaced_seed_fits,n_seeds,n_observations,block_length,n_bootstrap,confidence
ticker,european_call,best_screened_proto_mean,NVDA,proto_source=spot_delta_k=50_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.014810650825392508,-0.040734719814912,0.016661822075695724,0.167,0,3,644.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,NVDA,proto_source=spot_delta_k=25_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.012413380909556867,-0.03436857699751602,0.013891223394135978,0.1545,0,3,644.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,QQQ,proto_source=spot_delta_k=25_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0011078279697538569,-0.009602197649622217,0.008624394987269473,0.3785,1,3,692.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,QQQ,proto_source=spot_delta_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0005980480176265221,-0.015979824902547034,0.01663624828162553,0.44,1,3,692.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,SPY,proto_source=spot_delta_k=10_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0008932723938634956,-0.008312319272315669,0.010922895870891186,0.554,1,3,713.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,SPY,proto_source=vanilla_k=50_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.0016700170015354655,-0.011628371336678643,0.010273877812294567,0.387,1,3,713.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,TLT,proto_source=vanilla_k=50_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.009319125151613547,0.0027989086257940213,0.01638323764328537,0.998,2,3,712.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,TLT,proto_source=vanilla_k=10_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.01740792945787866,0.008284411075185471,0.026747507249110146,1.0,2,3,712.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,XLE,proto_source=spot_delta_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0007012559343654093,-0.007920877911254846,0.010508172055050504,0.5505,1,3,710.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,XLE,proto_source=spot_delta_k=10_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.000483684009596914,-0.006916362382001526,0.006945444652504623,0.422,1,3,710.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,XLF,proto_source=vanilla_k=10_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.004714231265061504,-0.0007562698824903548,0.01086951192746989,0.9465,2,3,705.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,XLF,proto_source=spot_delta_k=50_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.001827834870987713,-0.007188493280378296,0.003640746103545176,0.256,2,3,705.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,XLK,proto_source=vanilla_k=100_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.000782592816837085,-0.01168051486045169,0.011049480886187688,0.4475,1,3,697.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,XLK,proto_source=vanilla_k=25_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0015734237598033472,-0.005331929463436419,0.009167689789526798,0.6545,1,3,697.0,20,2000,0.95
ticker,european_call,best_screened_proto_mean,XLV,proto_source=vanilla_k=50_weighted=0_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,0.0007253609805119079,-0.006885367346502094,0.008155004753603218,0.569,1,3,680.0,20,2000,0.95
ticker,european_call,best_screened_proto_cvar05,XLV,proto_source=spot_delta_k=10_weighted=1_learnw=0,vanilla,frozen_oce_cvar50_utility_difference,-0.003326142724008783,-0.010324024778367628,0.0041992778828830925,0.197,1,3,680.0,20,2000,0.95
panel,asian_call,best_screened_proto_cvar05,ALL_EQUAL_WEIGHT,validation-selected ProtoHedge,vanilla,frozen_oce_cvar50_utility_difference,0.004015209777569434,0.001925158136897585,0.0060378644602674504,1.0,1,3,,20,2000,0.95
panel,asian_call,best_screened_proto_mean,ALL_EQUAL_WEIGHT,validation-selected ProtoHedge,vanilla,frozen_oce_cvar50_utility_difference,0.0018593179106598037,-0.00030884723761303147,0.0038629701193123884,0.961,1,3,,20,2000,0.95
panel,european_call,best_screened_proto_cvar05,ALL_EQUAL_WEIGHT,validation-selected ProtoHedge,vanilla,frozen_oce_cvar50_utility_difference,0.0005141749406285315,-0.0034183635152328913,0.004734300812440999,0.602,11,3,,20,2000,0.95
panel,european_call,best_screened_proto_mean,ALL_EQUAL_WEIGHT,validation-selected ProtoHedge,vanilla,frozen_oce_cvar50_utility_difference,0.0010086802253019397,-0.0027768003901967398,0.005363762674931976,0.696,11,3,,20,2000,0.95
