liability,ticker,selection,candidate_model,benchmark_model,liability_offset_mean_difference,liability_offset_cvar50_difference,liability_offset_rmse_improvement,liability_offset_downside_deviation_improvement,n_paths,n_seeds,tail_probability,outcome_definition
european_call,IWM,best_screened_proto_cvar05,proto_source=spot_delta_k=10_weighted=1_learnw=0,spot_delta,0.006712590510137954,-0.003386114558325014,-0.0032717832308037874,-0.0018799692744340794,713,3,0.5,liability-offset-excluding-premium-v1
european_call,NVDA,best_screened_proto_mean,proto_source=spot_delta_k=50_weighted=1_learnw=0,spot_delta,0.01037646420886904,-0.012407718222457184,-0.010095918838533419,-0.008034364811775616,644,3,0.5,liability-offset-excluding-premium-v1
european_call,NVDA,best_screened_proto_cvar05,proto_source=spot_delta_k=25_weighted=0_learnw=0,spot_delta,0.007585078074473177,-0.00663428143916293,-0.006418349681114872,-0.005777585333333839,644,3,0.5,liability-offset-excluding-premium-v1
european_call,QQQ,best_screened_proto_mean,proto_source=spot_delta_k=25_weighted=0_learnw=0,spot_delta,0.006601943821494416,-0.0016747325544850301,-0.0038857430576531987,-0.0036378582582449214,692,3,0.5,liability-offset-excluding-premium-v1
european_call,QQQ,best_screened_proto_cvar05,proto_source=spot_delta_k=10_weighted=0_learnw=0,spot_delta,0.005052159756979668,0.0030105566006577273,0.0019938119795035515,0.00228539479599838,692,3,0.5,liability-offset-excluding-premium-v1
european_call,SPY,best_screened_proto_mean,proto_source=spot_delta_k=10_weighted=1_learnw=0,spot_delta,0.0032456747326890406,0.0033077648027785254,0.0027772098779801566,0.002799895867768304,713,3,0.5,liability-offset-excluding-premium-v1
european_call,SPY,best_screened_proto_cvar05,proto_source=vanilla_k=50_weighted=1_learnw=0,spot_delta,0.001671035797434534,-0.00013519571459287677,-0.00015229115685418704,-5.775258663553532e-05,713,3,0.5,liability-offset-excluding-premium-v1
european_call,TLT,best_screened_proto_mean,proto_source=vanilla_k=50_weighted=0_learnw=0,spot_delta,0.015822418323977277,0.008649765564809916,0.001832327050594203,0.003470584142634712,712,3,0.5,liability-offset-excluding-premium-v1
european_call,TLT,best_screened_proto_cvar05,proto_source=vanilla_k=10_weighted=1_learnw=0,spot_delta,0.007053832874010638,0.0013779577771236597,0.0021430042993853767,0.0028762397828280017,712,3,0.5,liability-offset-excluding-premium-v1
european_call,XLE,best_screened_proto_mean,proto_source=spot_delta_k=10_weighted=0_learnw=0,spot_delta,0.005034772060213594,-0.0027261823415756247,-0.008478993853658889,-0.007837187969393741,710,3,0.5,liability-offset-excluding-premium-v1
european_call,XLE,best_screened_proto_cvar05,proto_source=spot_delta_k=10_weighted=1_learnw=0,spot_delta,0.00366135846258867,-0.0050693147986287795,-0.006521492944501171,-0.006235105903285382,710,3,0.5,liability-offset-excluding-premium-v1
european_call,XLF,best_screened_proto_mean,proto_source=vanilla_k=10_weighted=0_learnw=0,spot_delta,0.008324217797564147,0.0029822976097140914,0.0009940451703714936,0.001357316568979236,705,3,0.5,liability-offset-excluding-premium-v1
european_call,XLF,best_screened_proto_cvar05,proto_source=spot_delta_k=50_weighted=1_learnw=0,spot_delta,0.002771609050734191,0.002622791352251771,0.002667523196413815,0.0026693986653022624,705,3,0.5,liability-offset-excluding-premium-v1
european_call,XLK,best_screened_proto_mean,proto_source=vanilla_k=100_weighted=0_learnw=0,spot_delta,0.015602117499962606,0.007315697454880306,0.0005511264973408411,0.0022052313119204775,697,3,0.5,liability-offset-excluding-premium-v1
european_call,XLK,best_screened_proto_cvar05,proto_source=vanilla_k=25_weighted=0_learnw=0,spot_delta,0.014189682564562206,0.007884470940724997,0.004755575525606762,0.005906311377031854,697,3,0.5,liability-offset-excluding-premium-v1
european_call,XLV,best_screened_proto_mean,proto_source=vanilla_k=50_weighted=0_learnw=0,spot_delta,0.006250576804065048,0.0015827391616196607,0.0003403332656441253,0.0011306311702597566,680,3,0.5,liability-offset-excluding-premium-v1
european_call,XLV,best_screened_proto_cvar05,proto_source=spot_delta_k=10_weighted=1_learnw=0,spot_delta,0.0017517567500095407,-0.0024005865760366716,-0.0019221760856131694,-0.0019049191060628717,680,3,0.5,liability-offset-excluding-premium-v1
