model,seed,selected_epoch,frozen_oce_cvar50_utility,liability_offset_mean,empirical_cvar50,liability_offset_cvar05,bound_occupancy,path_bound_touch,elapsed_seconds
deep_hedging,2345,180,-0.028771497539446564,-0.014452028933201124,-0.028549211717527674,-0.09352350731690724,0.5,1.0,592.3775327205658
tfp_exact,2345,532,-0.0270269890936277,-0.015661220423699922,-0.0253122264795861,-0.056797949597239494,0.17040673211781207,0.8106591865357644,2145.5646498203278
legacy_approx,2345,356,-0.029020315075363717,-0.020096538478601985,-0.02839839484553043,-0.05312515960799323,0.07279102384291725,0.5525946704067322,1995.9795899391174
