model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
unhedged,baseline,,,,,,3,-0.039022830625375114,0.0017610023770476754,-0.1294522484143575,-0.15398288269837698,0.6169590643274854,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0002548905710379329,-0.0002589176098505702,0.000604843099912003,0.0,-0.004728550712267576,-0.004167536894480406,-0.00605618953704834,0.0,0.19517543859649122,0.20175438596491235,0.3830409356725146
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.03903620565931002,0.0017259240592119778,-0.12364816044767697,-0.14794125159581503,0.956140350877193,0.9051714738210043,0.023756550004084904,0.0044225146198830405,0.0038011695906432752,0.000621345029239766,0.09795321637426901,25.0,0.15002539345096091,0.0004588839941262848,0.004405286343612335,,True,True,True,-1.3375033934906466e-05,-0.00026826560497283936,-0.0002722926437854767,0.0005914680659770966,0.006041631102561951,0.0013130803902943744,0.0018740942080815448,-1.455843448638916e-05,-0.3391812865497076,-0.14400584795321636,-0.13742690058479523,0.04385964912280704
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.03908586253722509,0.0018698538290069962,-0.1257984098047018,-0.15117580691973367,0.915204678362573,0.913515547911326,0.021401563348869484,0.028709795321637425,0.028709795321637425,0.0,0.24780701754385961,65.0,0.15009853001900028,0.0012848751835535977,0.02643171806167401,,True,True,True,-6.303191184997559e-05,-0.0003179224828879085,-0.0003219495217005458,0.0005418111880620274,0.0028070757786433087,-0.0019214749336242676,-0.0013604611158370972,-0.003249113758405031,-0.29824561403508765,-0.10307017543859642,-0.0964912280701753,0.08479532163742698
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.03918673967321714,0.0016909945804860615,-0.12384929197529952,-0.14930385847886404,0.8691520467836257,0.9742626349131266,0.027585484087467194,0.01114766081871345,0.010654239766081873,0.000493421052631579,0.10233918128654972,57.333333333333336,0.14989070472430585,0.0006791483113069017,0.005873715124816447,,True,True,True,-0.00016390904784202576,-0.00041879961887995865,-0.000422826657692596,0.00044093405206997727,0.0046790242195129395,-4.952649275463683e-05,0.0005114873250325336,-0.0013771653175354004,-0.2521929824561403,-0.05701754385964908,-0.05043859649122795,0.13084795321637432
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,3,-0.03921389331420263,0.0015352012718224002,-0.12503836986919245,-0.14915189146995544,0.9751461988304094,0.7603841125965118,0.020628091879189014,0.015003654970760234,0.015003654970760234,0.0,0.2945906432748538,80.0,0.15052237348793768,1.8355359765051395e-05,0.0007342143906020559,,True,True,True,-0.00019106268882751465,-0.00044595325986544754,-0.00044998029867808487,0.0004137804110844884,0.004830991228421538,0.0001024405161539621,0.0006634543339411325,-0.0012251983086268015,-0.35818713450292405,-0.16301169590643283,-0.1564327485380117,0.024853801169590573
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,3,-0.03931540374954542,0.0021901100065150167,-0.12466245020429294,-0.1489292581876119,0.9451754385964911,0.8926205436388651,0.02568371780216694,0.06419956140350877,0.06419956140350877,0.0,0.33260233918128657,132.66666666666666,0.1521296815412111,0.015363436123348019,0.3002936857562408,,True,True,True,-0.00029257312417030334,-0.0005474636952082362,-0.0005514907340208736,0.0003122699757416997,0.005053624510765076,0.0003250737984974994,0.0008860876162846698,-0.0010025650262832642,-0.32821637426900574,-0.13304093567251452,-0.1264619883040934,0.05482456140350889
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,-0.03935002411405245,0.002183271973134915,-0.12724758808811507,-0.1523969074090322,0.8391812865497076,1.0,0.02666594460606575,0.03410087719298246,0.016703216374269008,0.01739766081871345,0.581140350877193,30.0,0.14995736832815945,0.0005873715124816446,0.009544787077826725,,True,True,True,-0.0003271934886773381,-0.000582084059715271,-0.0005861110985279083,0.0002776496112346649,0.0015859752893447876,-0.0031425754229227887,-0.0025815616051356183,-0.004470214247703552,-0.2222222222222222,-0.027046783625730986,-0.020467836257309857,0.16081871345029242
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.03940648461381594,0.0026048706479538633,-0.12940586109956106,-0.15377872188886008,0.8406432748538012,0.8947405020395914,0.0230246785407265,0.07927631578947368,0.0060307017543859654,0.07324561403508771,0.3969298245614035,70.66666666666667,0.1501136220604176,0.0019089574155653451,0.05506607929515419,,True,True,True,-0.0003836539884408269,-0.0006385445594787598,-0.0006425715982913971,0.00022118911147117615,0.00020416080951690674,-0.0045243899027506695,-0.003963376084963499,-0.005852028727531433,-0.22368421052631582,-0.028508771929824595,-0.021929824561403466,0.1593567251461988
vanilla,vanilla,,,,,cvar,3,-0.03962767372528712,0.002137021086299465,-0.12462251633405685,-0.14792669316132864,1.0,0.9471570452054342,0.030568620810906093,0.12503654970760233,3.654970760233918e-05,0.125,0.33479532163742687,141.0,0.1652240714803338,0.125,0.3333333333333333,,True,True,True,-0.000604843099912003,-0.0008597336709499359,-0.0008637607097625732,0.0,0.00605618953704834,0.0013276388247807636,0.001888652642567934,0.0,-0.3830409356725146,-0.1878654970760234,-0.18128654970760227,0.0
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.039674745251735054,0.0026138810846143817,-0.12801550390819708,-0.1667018930117289,0.8552631578947368,0.8555658459663391,0.033801489509642124,0.004166666666666667,0.00027412280701754384,0.0038925438596491228,0.027046783625730996,91.66666666666667,0.14968306299323617,0.003469162995594714,0.019823788546255505,,True,True,True,-0.0006519146263599396,-0.0009068051973978725,-0.0009108322362105098,-4.707152644793655e-05,-0.01271901031335193,-0.017447561025619507,-0.016886547207832336,-0.01877519985040027,-0.23830409356725146,-0.04312865497076024,-0.03654970760233911,0.14473684210526316
