model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,risk_measure,n_paths,n_steps,n_inst,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,proto_action_norm_mean,proto_action_norm_max
proto_source=spot_delta_k=10_weighted=0_learnw=0,val,1234,proto,0.031282104551792145,0.04515652358531952,-0.037794845178723335,-0.027576990891247988,-0.035693373531103134,0.01840569358319044,0.11622176691889763,0.23684210526315788,-0.02062208577990532,0.052233025431632996,0.00032883696258068085,0.02997061051428318,0.09946784377098083,0.36901766061782837,1.0034246444702148,cvar,76.0,20.0,2.0,spot_delta,10.0,False,False,0.09173525869846344,0.13691137731075287
proto_source=spot_delta_k=10_weighted=0_learnw=0,test,1234,proto,0.032495081424713135,0.05762432515621185,-0.06561575915664435,-0.03773186970502138,-0.05966866761445999,0.022205900400877,0.1412950605154036,0.32051282051282054,-0.02270488254725933,0.05554521456360817,0.00034524424700066447,0.030596399679780006,0.09935960918664932,0.37766918540000916,1.0274085998535156,cvar,78.0,20.0,2.0,spot_delta,10.0,False,False,0.09173525869846344,0.13691137731075287
proto_source=spot_delta_k=25_weighted=1_learnw=0,train,1234,proto,-0.029070192947983742,0.024280209094285965,-0.10608783766627311,-0.06777323447167874,-0.09182652831077576,-0.023452872410416603,0.0006121470563812074,0.9385474860335196,-0.023125624284148216,-0.005876864772289991,6.770352774765342e-05,0.0057310317642986774,0.043586283922195435,0.051623567938804626,0.7329960465431213,cvar,358.0,20.0,2.0,spot_delta,25.0,True,False,0.0740753561258316,0.14019478857517242
proto_source=spot_delta_k=25_weighted=1_learnw=0,val,1234,proto,-0.0258956216275692,0.019852517172694206,-0.07474585063755512,-0.06715370528399944,-0.07318922132253647,-0.01990495715290308,-0.004080720187630504,0.9868421052631579,-0.02062208577990532,-0.005207151640206575,6.638677587034181e-05,0.005889975465834141,0.03241047263145447,0.05409441888332367,0.37745746970176697,cvar,76.0,20.0,2.0,spot_delta,25.0,True,False,0.0740753561258316,0.14019478857517242
proto_source=spot_delta_k=25_weighted=1_learnw=0,test,1234,proto,-0.028938671573996544,0.021640505641698837,-0.0880319582670927,-0.07612898014485836,-0.08758771419525146,-0.023895484395325184,-0.004343580361455683,1.0,-0.02270488254725933,-0.006162615958601236,7.117560744518414e-05,0.006090696435421705,0.03567230701446533,0.05431855469942093,0.3528301417827606,cvar,78.0,20.0,2.0,spot_delta,25.0,True,False,0.0740753561258316,0.14019478857517242
proto_source=spot_delta_k=25_weighted=0_learnw=0,train,1234,proto,0.01708892732858658,0.035169221460819244,-0.05687203556299209,-0.03447141945362091,-0.05274613946676254,0.013355706818401814,0.08046317249536512,0.29608938547486036,-0.023125624284148216,0.04047490283846855,0.0002603500324767083,0.024760594591498375,0.07319965213537216,0.2614833414554596,0.9071817398071289,cvar,358.0,20.0,2.0,spot_delta,25.0,False,False,0.07630985975265503,0.145052969455719
proto_source=spot_delta_k=25_weighted=0_learnw=0,val,1234,proto,0.021257465705275536,0.03301587328314781,-0.03225418645888567,-0.024658280424773693,-0.03045651689171791,0.01341779250651598,0.08236166648566723,0.25,-0.02062208577990532,0.04213988035917282,0.0002603300381451845,0.025045104324817657,0.072580486536026,0.2720772922039032,0.8832718729972839,cvar,76.0,20.0,2.0,spot_delta,25.0,False,False,0.07630985975265503,0.145052969455719
proto_source=spot_delta_k=25_weighted=0_learnw=0,test,1234,proto,0.018852869048714638,0.03994948789477348,-0.049578008018434046,-0.029960784874856473,-0.04835900664329529,0.009770881850272417,0.0853228572756051,0.3717948717948718,-0.02270488254725933,0.04182639718055725,0.0002686516963876784,0.02547227218747139,0.07250162214040756,0.2776358425617218,0.8867396116256714,cvar,78.0,20.0,2.0,spot_delta,25.0,False,False,0.07630985975265503,0.145052969455719
proto_source=spot_delta_k=50_weighted=1_learnw=0,train,1234,proto,-0.0157218798995018,0.06638429313898087,-0.13443541243672372,-0.10667061023414134,-0.12584085762500763,-0.02265090122818947,0.10790652669966214,0.6061452513966481,-0.023125624284148216,0.0076941256411373615,0.00029038090724498034,0.025086306035518646,0.04548555612564087,0.2639879882335663,0.7855899930000305,cvar,358.0,20.0,2.0,spot_delta,50.0,True,False,0.07112222909927368,0.1504976600408554
proto_source=spot_delta_k=50_weighted=1_learnw=0,val,1234,proto,-0.008895548060536385,0.06928163021802902,-0.13942057639360428,-0.10216793045401573,-0.129782572388649,-0.015289857517927885,0.10978448018431664,0.6052631578947368,-0.02062208577990532,0.012013924308121204,0.000287387752905488,0.025118175894021988,0.04165369272232056,0.2645278573036194,0.7695480585098267,cvar,76.0,20.0,2.0,spot_delta,50.0,True,False,0.07112222909927368,0.1504976600408554
proto_source=spot_delta_k=50_weighted=1_learnw=0,test,1234,proto,-0.0072751459665596485,0.0726543441414833,-0.13742945447564126,-0.10857918821275234,-0.13065125048160553,-0.01628980739042163,0.11884187236428256,0.5512820512820513,-0.02270488254725933,0.015723425894975662,0.000293687975499779,0.025150714442133904,0.042113423347473145,0.26495423913002014,0.7601189017295837,cvar,78.0,20.0,2.0,spot_delta,50.0,True,False,0.07112222909927368,0.1504976600408554
proto_source=spot_delta_k=50_weighted=0_learnw=0,train,1234,proto,-0.008305652998387814,0.02478470467031002,-0.07250858820974826,-0.04578627813607454,-0.0622880794107914,-0.008673040196299553,0.03201856333762407,0.6703910614525139,-0.023125624284148216,0.015021510422229767,0.00020153899095021188,0.02216969057917595,0.0430985689163208,0.2329690307378769,0.8195834755897522,cvar,358.0,20.0,2.0,spot_delta,50.0,False,False,0.07027948647737503,0.14988131821155548
proto_source=spot_delta_k=50_weighted=0_learnw=0,val,1234,proto,-0.003913985565304756,0.023152802139520645,-0.046709269285202026,-0.04151949193328619,-0.046594228595495224,-0.003921302850358188,0.034225087612867355,0.5657894736842105,-0.02062208577990532,0.016909413039684296,0.0002013120538322255,0.022301914170384407,0.041165947914123535,0.23542658984661102,0.8115168213844299,cvar,76.0,20.0,2.0,spot_delta,50.0,False,False,0.07027948647737503,0.14988131821155548
proto_source=spot_delta_k=50_weighted=0_learnw=0,test,1234,proto,-0.00544080650433898,0.028181375935673714,-0.06579661838710309,-0.04546948224306106,-0.061488352715969086,-0.009083646815270185,0.04633368141949177,0.6025641025641025,-0.02270488254725933,0.01746920682489872,0.00020512919581960887,0.022393951192498207,0.04184935986995697,0.2364644706249237,0.8209198713302612,cvar,78.0,20.0,2.0,spot_delta,50.0,False,False,0.07027948647737503,0.14988131821155548
proto_source=zero_k=10_weighted=1_learnw=0,train,1234,proto,-0.014168132096529007,0.04939758777618408,-0.15569436818361282,-0.09932764582335948,-0.13150456547737122,-0.006545138545334339,0.05293431133031842,0.5391061452513967,-0.023125624284148216,0.009232225827872753,0.0002747323305811733,0.026664763689041138,0.10607051849365234,0.2766662538051605,1.7979298830032349,cvar,358.0,20.0,2.0,zero,10.0,True,False,0.09789101034402847,0.14599967002868652
proto_source=zero_k=10_weighted=1_learnw=0,val,1234,proto,-0.012687631882727146,0.0482453852891922,-0.12400020472705364,-0.10258705541491508,-0.1217968612909317,-0.009099106770008802,0.055575257167220116,0.6052631578947368,-0.02062208577990532,0.008201150223612785,0.00026669810176827013,0.026470234617590904,0.07369434833526611,0.275516152381897,1.1013636589050293,cvar,76.0,20.0,2.0,zero,10.0,True,False,0.09789101034402847,0.14599967002868652
proto_source=zero_k=10_weighted=1_learnw=0,test,1234,proto,-0.017144283279776573,0.049365200102329254,-0.1507151807844639,-0.09669317193329334,-0.1350061297416687,-0.011197704821825027,0.048346075043082186,0.6153846153846154,-0.02270488254725933,0.005829712375998497,0.0002691149420570582,0.026424437761306763,0.08108532428741455,0.27438580989837646,1.086029052734375,cvar,78.0,20.0,2.0,zero,10.0,True,False,0.09789101034402847,0.14599967002868652
proto_source=zero_k=10_weighted=0_learnw=0,train,1234,proto,-0.011412105523049831,0.027166517451405525,-0.08526156447827815,-0.055170340463519096,-0.0729207694530487,-0.012270048260688782,0.03128554802387949,0.7039106145251397,-0.023125624284148216,0.011943770572543144,0.0002302502398379147,0.02460072562098503,0.10829305648803711,0.25469475984573364,1.9557989835739136,cvar,358.0,20.0,2.0,zero,10.0,False,False,0.09689061343669891,0.1455133557319641
proto_source=zero_k=10_weighted=0_learnw=0,val,1234,proto,-0.009863201528787613,0.023717030882835388,-0.05357492994517088,-0.0482242600992322,-0.05287034064531326,-0.012310386169701815,0.034362892620265484,0.6973684210526315,-0.02062208577990532,0.010984843596816063,0.0002259594912175089,0.024412501603364944,0.05106884241104126,0.25427788496017456,0.9141130447387695,cvar,76.0,20.0,2.0,zero,10.0,False,False,0.09689061343669891,0.1455133557319641
proto_source=zero_k=10_weighted=0_learnw=0,test,1234,proto,-0.014742417261004448,0.022953949868679047,-0.0620876369997859,-0.054394788853824136,-0.061062853783369064,-0.015688441693782806,0.023940858710557216,0.7435897435897436,-0.02270488254725933,0.008188188076019287,0.00022572267334908247,0.024275677278637886,0.0656786859035492,0.2518821060657501,0.9569200873374939,cvar,78.0,20.0,2.0,zero,10.0,False,False,0.09689061343669891,0.1455133557319641
proto_source=zero_k=25_weighted=1_learnw=0,train,1234,proto,-0.01277386024594307,0.060517508536577225,-0.12377805985510348,-0.09884420521557331,-0.11712051928043365,-0.020163001492619514,0.09572446681559076,0.5949720670391061,-0.023125624284148216,0.01052000466734171,0.00016823910118546337,0.01123619545251131,0.060826510190963745,0.11078999191522598,0.9261196255683899,cvar,358.0,20.0,2.0,zero,25.0,True,False,0.07318119704723358,0.14144133031368256
proto_source=zero_k=25_weighted=1_learnw=0,val,1234,proto,-0.008068433031439781,0.060612305998802185,-0.1129948552697897,-0.09735879488289356,-0.10709812492132187,-0.012112671975046396,0.09005105122923851,0.5789473684210527,-0.02062208577990532,0.012717675417661667,0.0001640213158680126,0.011071635410189629,0.027419179677963257,0.1090019941329956,0.3827190697193146,cvar,76.0,20.0,2.0,zero,25.0,True,False,0.07318119704723358,0.14144133031368256
