selection,model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_vanilla
best_mean,proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,1,0.0716140493750572,,-0.0889743398874998,-0.1277636587619781,0.3717948717948718,1.2764827013015747,0.0461415722966194,0.09431893192231651,0.0829363195225596,0.059656498022377505,-0.023870289325714097,-0.04902129620313639,0.055672660470008906,0.33333333333333337,0.6153846153846154,0.03846153846153838
best_cvar05,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,1,0.0188528690487146,,-0.0299607848748564,-0.0483590066432952,0.3717948717948718,0.8867396116256714,0.0254722721874713,0.0415577515959739,0.030175139196216998,0.0068953176960349,0.0555343627929688,0.030383355915546507,0.1350773125886918,0.33333333333333337,0.6153846153846154,0.03846153846153838
best_shortfall,proto_source=vanilla_k=10_weighted=1_learnw=0,proto,vanilla,10.0,True,False,cvar,1,0.0325693152844905,,-0.0375491514801979,-0.0825471207499504,0.1538461538461538,1.3678841590881348,0.0395229123532772,0.055274197831749805,0.043891585431992904,0.0206117639318108,0.0213462486863136,-0.0038047581911086897,0.1008891984820366,0.5512820512820513,0.8333333333333335,0.2564102564102564
best_proto_mean,proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,1,0.0716140493750572,,-0.0889743398874998,-0.1277636587619781,0.3717948717948718,1.2764827013015747,0.0461415722966194,0.09431893192231651,0.0829363195225596,0.059656498022377505,-0.023870289325714097,-0.04902129620313639,0.055672660470008906,0.33333333333333337,0.6153846153846154,0.03846153846153838
best_proto_cvar05,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,1,0.0188528690487146,,-0.0299607848748564,-0.0483590066432952,0.3717948717948718,0.8867396116256714,0.0254722721874713,0.0415577515959739,0.030175139196216998,0.0068953176960349,0.0555343627929688,0.030383355915546507,0.1350773125886918,0.33333333333333337,0.6153846153846154,0.03846153846153838
best_proto_shortfall,proto_source=vanilla_k=10_weighted=1_learnw=0,proto,vanilla,10.0,True,False,cvar,1,0.0325693152844905,,-0.0375491514801979,-0.0825471207499504,0.1538461538461538,1.3678841590881348,0.0395229123532772,0.055274197831749805,0.043891585431992904,0.0206117639318108,0.0213462486863136,-0.0038047581911086897,0.1008891984820366,0.5512820512820513,0.8333333333333335,0.2564102564102564
