model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.02871856838464737,0.0016170901481226598,-0.1122378334403038,-0.17198912302652994,0.8579348579348579,0.9094367424647013,0.0328705379118522,0.006981981981981983,0.006964656964656965,1.7325017325017327e-05,0.08454608454608455,130.66666666666666,0.11659866298238436,0.00026041666666666666,0.002777777777777778,,True,True,True,-0.0002420066545406989,1.344829797744751e-05,-7.87973403930664e-05,-0.00015848875045776367,0.0047958294550577985,0.0035865555206934796,0.003649383783340454,-0.0014684299627939768,-0.3513513513513513,-0.0942480942480941,-0.09216909216909208,0.1420651420651421
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,-0.02872653864324093,0.0015818632993501033,-0.11150038987398148,-0.16881381471951803,0.9743589743589745,0.9923661549886068,0.026921020199855168,0.015072765072765074,0.015072765072765074,0.0,0.325017325017325,228.33333333333334,0.11754820112625346,0.0002951388888888889,0.011805555555555555,,True,True,True,-0.00024997691313425816,5.478039383888245e-06,-8.676759898662567e-05,-0.00016645900905132294,0.007971137762069702,0.006761863827705383,0.006824692090352358,0.001706878344217927,-0.46777546777546786,-0.21067221067221065,-0.20859320859320862,0.02564102564102555
spot_delta,baseline,,,,,,3,-0.028732016682624817,0.0018155281398119286,-0.11906104286511739,-0.17557567854722342,0.7636867636867638,0.590568999449412,0.02155592789252599,0.0,0.0,0.0,0.0,,,,,,True,True,True,-0.0002554549525181464,0.0,-9.224563837051392e-05,-0.00017193704843521118,0.0012092739343643188,0.0,6.28282626469745e-05,-0.005054985483487456,-0.2571032571032572,0.0,0.0020790020790020236,0.2363132363132362
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.02874026633799076,0.002112868881151178,-0.11493879308303197,-0.17499451835950217,0.893970893970894,0.8868536551793417,0.0190097459902366,0.09043659043659043,0.0900900900900901,0.0003465003465003465,0.322938322938323,287.3333333333333,0.11661542153244632,0.009809027777777778,0.18125,,True,True,True,-0.0002637046078840903,-8.249655365943909e-06,-0.00010049529373645782,-0.0001801867038011551,0.0017904341220855713,0.0005811601877212524,0.0006439884503682269,-0.004473825295766204,-0.3873873873873874,-0.13028413028413022,-0.1282051282051282,0.10602910602910598
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,3,-0.028790894895792007,0.001699764387228786,-0.11638846745093663,-0.1738579124212265,0.8773388773388774,0.6836500366528829,0.01682444599767526,0.00017325017325017325,0.0,0.00017325017325017325,0.000693000693000693,115.33333333333333,0.11756257486141597,0.0,0.0,,True,True,True,-0.00031433316568533695,-5.887821316719055e-05,-0.00015112385153770447,-0.00023081526160240173,0.0029270400603612357,0.0017177661259969168,0.0017805943886438913,-0.0033372193574905396,-0.3707553707553708,-0.11365211365211358,-0.11157311157311156,0.12266112266112261
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.02880146789054076,0.001378086376376558,-0.11693867295980453,-0.18128853042920431,0.7782397782397782,0.8842563231786092,0.027660226449370384,0.02136174636174636,0.02118849618849619,0.00017325017325017325,0.16978516978516978,161.33333333333334,0.11672011987306179,0.004166666666666667,0.07708333333333334,,True,True,True,-0.00032490616043408943,-6.945120791594303e-05,-0.00016169684628645695,-0.0002413882563511542,-0.004503577947616577,-0.005712851881980896,-0.0056500236193339215,-0.010767837365468352,-0.2716562716562716,-0.014553014553014387,-0.012474012474012364,0.2217602217602218
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,3,-0.028802736351887386,0.0015430591247121406,-0.11436162392298381,-0.17250884572664896,0.9286209286209286,0.6155411303043365,0.01790916205694278,0.029625779625779627,0.029625779625779627,0.0,0.3305613305613306,16.0,0.11722751299659202,6.944444444444444e-05,0.0020833333333333333,,True,True,True,-0.0003261746217807157,-7.071966926256931e-05,-0.00016296530763308323,-0.0002426567176977805,0.00427610675493878,0.003066832820574461,0.0031296610832214355,-0.0019881526629129953,-0.422037422037422,-0.1649341649341648,-0.16285516285516277,0.0713790713790714
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,vanilla,50.0,False,False,cvar,3,-0.028836136683821678,0.0019972552781345487,-0.11415753016869228,-0.17041640480359396,0.9584199584199585,0.978820264339447,0.022570002203186352,0.0018711018711018712,0.0018711018711018712,0.0,0.009702009702009703,481.3333333333333,0.1173893584649389,0.00020833333333333335,0.0006944444444444445,,True,True,True,-0.00035957495371500767,-0.00010412000119686127,-0.00019636563956737518,-0.00027605704963207245,0.006368547677993774,0.005159273743629456,0.00522210200627643,0.00010428826014199921,-0.45183645183645194,-0.19473319473319473,-0.1926541926541927,0.04158004158004147
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,3,-0.028842547287543614,0.0017449635986043772,-0.11495768030484517,-0.17090443770090738,0.9133749133749133,0.8205168942610422,0.02516266020635764,0.026923076923076925,0.02688842688842689,3.4650034650034654e-05,0.29036729036729036,255.0,0.11751238078810274,0.0010416666666666667,0.020833333333333332,,True,True,True,-0.00036598555743694305,-0.00011053060491879665,-0.00020277624328931057,-0.00028246765335400784,0.005880514780680357,0.004671240846316038,0.004734069108963013,-0.00038374463717141816,-0.4067914067914067,-0.14968814968814947,-0.14760914760914745,0.08662508662508672
proto_source=vanilla_k=10_weighted=1_learnw=0,proto,vanilla,10.0,True,False,cvar,3,-0.029441284636656444,0.0021754301998430994,-0.11404577642679214,-0.1708552340666453,0.9611919611919612,0.8885185718536377,0.028174504016836483,0.06451836451836451,0.06451836451836451,0.0,0.6541926541926543,144.66666666666666,0.11725359957303023,0.00017361111111111112,0.006944444444444444,,True,True,True,-0.0009647229065497739,-0.0007092679540316275,-0.0008015135924021415,-0.0008812050024668387,0.005929718414942442,0.004720444480578123,0.004783272743225098,-0.0003345410029093332,-0.45460845460845456,-0.19750519750519735,-0.19542619542619533,0.03880803880803885
