model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
vanilla,vanilla,,,,,cvar,3,1.6598809162775676,0.02975867369036298,0.12483709305524826,-0.0449033575860085,0.027200791295746787,1.0,0.42798999945322674,0.6029673590504451,0.32832591493570723,0.27464144411473784,1.0,778.0,-0.7036905105956017,0.5880084325396825,1.0,,False,True,False,1.681109856814146,1.6808106830964487,1.6807788293808699,0.0,0.0503045322887677,0.045533744235096194,0.04548563831970871,0.0,0.6241345202769535,0.791295746785361,0.791295746785361,0.0
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,1.6465935309727986,0.03934243895601992,0.11596894202133019,-0.056544468427697815,0.027695351137487636,1.0000000794728596,0.36782418688138324,0.3170994065281899,0.09134520276953512,0.22575420375865482,1.0,747.0,-0.7497988589297212,0.2970858134920635,0.9990079365079364,,True,True,True,1.667822471509377,1.6675232977916796,1.6674914440761008,-0.013287385304769028,0.038663421447078385,0.033892633393406875,0.033844527478019394,-0.011641110841689319,0.6236399604352126,0.7908011869436201,0.7908011869436201,-0.0004945598417408492
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,1.6385148366292317,0.04814338195051251,0.0540759057427446,-0.07495810091495514,0.03560830860534125,1.0000000794728596,0.33743010958035785,0.5835311572700297,0.10379574678536102,0.47973541048466856,1.0,654.6666666666666,-0.7024770034707729,0.578422619047619,1.0,,False,True,False,1.6597437771658101,1.6594446034481127,1.659412749732534,-0.021366079648335923,0.02024978895982106,0.015479000906149551,0.01543089499076207,-0.030054743328946643,0.615727002967359,0.7828882294757665,0.7828882294757665,-0.008407517309594461
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,1.6382937828699748,0.012455713399313192,0.13603227585554123,-0.029351690784096718,0.02225519287833828,1.00000003973643,0.37834827105204266,0.3551063303659743,0.10479723046488626,0.250309099901088,1.0,527.3333333333334,-0.7453684917163281,0.3508928571428571,1.0,,True,True,True,1.6595227234065533,1.6592235496888559,1.659191695973277,-0.021587133407592773,0.06585619909067948,0.06108541103700797,0.06103730512162049,0.015551666801911779,0.629080118694362,0.7962413452027695,0.7962413452027695,0.004945598417408506
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,1.6241106192270915,0.02578929422084359,0.10474486524860065,-0.0561656312396129,0.030662710187932738,1.0,0.32177727421124774,0.42195845697329376,0.1026211671612265,0.31933728981206727,1.0,667.6666666666666,-0.7196126721823027,0.39309275793650794,1.0,,True,True,True,1.64533955976367,1.6450403860459726,1.6450085323303938,-0.035770297050476074,0.0390422586351633,0.03427147058149179,0.03422336466610431,-0.011262273653604403,0.6206726013847675,0.787833827893175,0.787833827893175,-0.0034619188921859514
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,1.607576052347819,0.011540697248070532,0.10780198623736699,-0.09692251930634181,0.030662710187932738,1.0000000794728596,0.3586014012495677,0.3538575667655786,0.08935459940652819,0.26450296735905043,0.9990108803165182,449.3333333333333,-0.7264164174383595,0.3457589285714286,1.0,,True,True,True,1.6288049928843975,1.6285058191667001,1.6284739654511213,-0.052304863929748535,-0.0017146294315656119,-0.006485417485237122,-0.006533523400624602,-0.052019161720333315,0.6206726013847675,0.787833827893175,0.787833827893175,-0.0034619188921859514
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,1.6060543060302734,0.06159095497266498,0.09943407773971558,-0.08662578960259755,0.03165182987141444,1.00000003973643,0.3525577783584595,0.3622527200791296,0.11074431256181998,0.2515084075173096,1.0,656.3333333333334,-0.7505926159804776,0.3608630952380952,1.0,,True,True,True,1.6272832465668519,1.6269840728491545,1.6269522191335757,-0.05382661024729418,0.00858210027217865,0.00381131221850714,0.0037632063031196594,-0.04172243201658905,0.6196834817012858,0.7868447082096933,0.7868447082096933,-0.004451038575667653
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,1.6038496494293213,0.03345293142829203,0.08430887137850125,-0.12439560145139694,0.03857566765578635,1.0000001192092896,0.35961367686589557,0.43456973293768547,0.08119436201780415,0.35337537091988125,1.0,737.3333333333334,-0.7263111465696305,0.4225198412698412,0.9995039682539683,,True,True,True,1.6250785899658997,1.6247794162482023,1.6247475625326235,-0.05603126684824633,-0.029187711576620742,-0.03395849963029225,-0.03400660554567973,-0.07949224386538845,0.612759643916914,0.7799208704253214,0.7799208704253214,-0.011374876360039563
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,1.5951671600341797,0.0730906324263694,0.062350710233052574,-0.13861284404993057,0.036597428288822946,1.0000001192092896,0.3458147446314494,0.5376360039564788,0.09637734915924827,0.4412586547972304,1.0,669.6666666666666,-0.7034529275269734,0.5339657738095238,1.0,,False,True,False,1.616396100570758,1.6160969268530607,1.616065073137482,-0.06471375624338793,-0.04340495417515437,-0.04817574222882588,-0.04822384814421336,-0.09370948646392208,0.6147378832838774,0.7818991097922848,0.7818991097922848,-0.00939663699307616
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,3,1.5947260061899822,0.039618176777199504,0.1249103049437205,-0.07412108158071835,0.029673590504451036,1.0000000794728596,0.35655009746551514,0.29777448071216617,0.08916913946587539,0.2086053412462908,0.9995054401582592,668.3333333333334,-0.7618999508827451,0.26749751984126985,0.9995039682539683,,True,True,True,1.6159549467265606,1.6156557730088632,1.6156239192932844,-0.06515491008758545,0.021086808294057846,0.016316020240386336,0.016267914324998856,-0.029217723994709857,0.6216617210682492,0.7888229475766567,0.7888229475766567,-0.0024727992087042495
