prototype_index,nearest_rank,distance_scaled,path_index,step_index,delta_0,delta_1,price_0,price_1,time_left
8,1,0.10795631259679794,235,4,0.5097079873085022,0.0001656462554819882,1.042972207069397,0.019152777269482613,0.0634920671582222
8,2,0.20733343064785004,301,4,0.5194941759109497,0.0004913375014439225,1.043953776359558,0.017912693321704865,0.0634920671582222
8,3,0.21173757314682007,219,8,0.5260672569274902,0.0011277998564764857,1.0450760126113892,0.021053876727819443,0.0476190522313118
10,1,0.09617985039949417,54,4,0.5196884870529175,0.0012880255235359073,1.0040123462677002,0.01674908958375454,0.0634920671582222
10,2,0.10423780977725983,383,4,0.5144585371017456,0.0018430568743497133,1.0065667629241943,0.017064372077584267,0.0634920671582222
10,3,0.11053912341594696,482,4,0.5202853083610535,0.0012039287248626351,1.0065923929214478,0.016607504338026047,0.0634920671582222
32,1,0.25004783272743225,119,6,0.5249897241592407,0.003649927442893386,1.0103152990341187,0.03684055432677269,0.055555559694767
32,2,0.28759679198265076,462,5,0.5308505296707153,0.0015858013648539782,1.0051984786987305,0.03675585240125656,0.0595238134264946
32,3,0.2912866175174713,90,5,0.5263720750808716,0.0065225884318351746,1.0044652223587036,0.036312300711870193,0.0595238134264946
34,1,1.1940584182739258,440,4,0.5175469517707825,0.0015096976421773434,0.9961223006248474,0.015704631805419922,0.0634920671582222
34,2,1.1992608308792114,500,4,0.522363543510437,0.0009976811707019806,0.9959803819656372,0.015706416219472885,0.0634920671582222
34,3,1.1995582580566406,3,4,0.5235893726348877,0.0008572761435061693,1.00223970413208,0.01505599357187748,0.0634920671582222
