paper_label,mean_gains_avg,mean_gains_std_across_tickers,cvar05_avg,shortfall_avg,bound_occupancy_avg,n_tickers
Unhedged,-0.01647930677669739,0.007969459152927141,-0.07868089141945041,0.594766702228024,0.0,10
Spot-Delta,-0.01626490877630806,0.007605627901645044,-0.0749994630614916,0.8117254795128904,0.0,10
Spot-Delta Band,-0.01624018279835576,0.007594966346559047,-0.07489327862858766,0.8176109203529565,0.0,10
Vanilla DH,-0.01580101092932397,0.008071284498583044,-0.0743842559556166,0.9523700582418299,0.01851851851851851,9
ProtoHedge (Mean frontier),-0.015529770214386514,0.007812285806390564,-0.07384374420400014,0.8820496106459178,0.01960550944380639,9
ProtoHedge (Tail frontier),-0.015786268420655378,0.008105477534355986,-0.07150119515480816,0.9142110048960439,0.03818708261845332,9
