ticker,paper_label,gains_mean_avg,gains_mean_std,gains_cvar05_avg,shortfall_prob_avg,pct_at_any_position_bound_avg,passes_robust_screen
AAPL,Unhedged,-0.0206501185894012,,-0.0808520093560218,0.5592105263157895,0.0,True
AAPL,Spot-Delta,-0.0199559479951858,,-0.0758246630430221,0.8048245614035088,0.0,True
AAPL,Spot-Delta Band,-0.0200695600360631,,-0.0754835233092308,0.8157894736842105,0.0,True
IWM,Unhedged,-0.0155214890837669,0.0001008794895626,-0.0772789244850476,0.5959397511460379,0.0,True
IWM,Spot-Delta,-0.0155134148274858,0.0001890591080137,-0.0754851500193278,0.8061558611656844,0.0,True
IWM,Spot-Delta Band,-0.0154833005120356,0.0001610868509344,-0.0751804336905479,0.8153241650294696,0.0,True
IWM,Vanilla DH,-0.0154358347256978,0.0001002540917936,-0.075057012339433,0.9731499672560576,0.0,True
IWM,ProtoHedge (Mean frontier),-0.0151121482873956,0.0004158107617449,-0.0714764768878618,0.9345121152586772,0.0,True
IWM,ProtoHedge (Tail frontier),-0.0151121482873956,0.0004158107617449,-0.0714764768878618,0.9345121152586772,0.0,True
NVDA,Unhedged,-0.038251011321942,0.0030710388460735,-0.1801188389460245,0.6309246309246309,0.0,True
NVDA,Spot-Delta,-0.0371048996845881,0.0032346421543229,-0.1705730309089025,0.8251748251748251,0.0,True
NVDA,Spot-Delta Band,-0.0369972760478655,0.0032118934447361,-0.1701224545637766,0.8267288267288267,0.0,True
NVDA,Vanilla DH,-0.0375436147054036,0.0014952762669646,-0.167153000831604,0.9494949494949496,0.1666666666666666,True
NVDA,ProtoHedge (Mean frontier),-0.0363756418228149,0.0021262469808738,-0.1772408485412597,0.8422688422688424,0.1675407925407925,True
NVDA,ProtoHedge (Tail frontier),-0.037490307042996,0.0018864827699141,-0.1635487824678421,0.9572649572649572,0.1948717948717948,True
QQQ,Unhedged,-0.0159919559955596,0.0001895290653449,-0.0676492340862751,0.676489849377865,0.0,True
QQQ,Spot-Delta,-0.0156831387430429,0.0003824450709017,-0.0644361128409703,0.8500327439423706,0.0,True
QQQ,Spot-Delta Band,-0.0156836345170935,0.0003361479261538,-0.0645633166035016,0.8526522593320237,0.0,True
QQQ,Vanilla DH,-0.0153664782022436,0.0001091401945979,-0.0627096084256966,0.9279633267845449,0.0,True
QQQ,ProtoHedge (Mean frontier),-0.0155747225508093,0.0002403542574345,-0.0583347491919994,0.918467583497053,0.0,True
QQQ,ProtoHedge (Tail frontier),-0.0155747225508093,0.0002403542574345,-0.0583347491919994,0.918467583497053,0.0,True
SPY,Unhedged,-0.0121976180622975,0.000217637950691,-0.0553934847315152,0.6856581532416502,0.0,True
SPY,Spot-Delta,-0.0120395661021272,0.000131296221659,-0.0541898484031359,0.8526522593320237,0.0,True
SPY,Spot-Delta Band,-0.0120603889226913,0.0001507603637461,-0.0541453671952088,0.856581532416503,0.0,True
SPY,Vanilla DH,-0.0119819544876615,0.0002707643951997,-0.0532134274641672,0.9528487229862476,0.0,True
SPY,ProtoHedge (Mean frontier),-0.0120151673133174,0.0001503121322053,-0.0522225586076577,0.9194499017681728,0.0022920759659463,True
SPY,ProtoHedge (Tail frontier),-0.0125825526192784,0.0009393071299075,-0.0518734268844127,0.9698755730189914,0.0572855271774721,True
TLT,Unhedged,-0.0078447608587642,0.0009254539577509,-0.0456917670865853,0.4914330218068536,0.0,True
TLT,Spot-Delta,-0.0081723455029229,0.0011152861218729,-0.0434862971305847,0.778816199376947,0.0,True
TLT,Spot-Delta Band,-0.0080698278422156,0.001021341890041,-0.0437022310992082,0.7936137071651089,0.0,True
TLT,Vanilla DH,-0.0079696954538424,0.0008237312134074,-0.0448742645482222,0.971183800623053,0.0,True
TLT,ProtoHedge (Mean frontier),-0.0073459727379182,0.0010196120752218,-0.0439356639981269,0.8302180685358255,0.0024143302180685,True
TLT,ProtoHedge (Tail frontier),-0.0073858097506066,0.0006172158337388,-0.0427428061763445,0.8722741433021807,0.0068146417445482,True
XLE,Unhedged,-0.0152668834974368,0.0006830323107328,-0.0928326720992724,0.4934164934164934,0.0,True
XLE,Spot-Delta,-0.0155223378290732,0.0008130682071907,-0.0912914251287778,0.7567567567567567,0.0,True
XLE,Spot-Delta Band,-0.0154300918802618,0.0007515276467368,-0.0914137437939643,0.7650727650727651,0.0,True
XLE,Vanilla DH,-0.0153816506887475,0.0006641069962158,-0.0882396002610524,0.9688149688149688,0.0,True
XLE,ProtoHedge (Mean frontier),-0.0152629967778921,0.0006515249385059,-0.0906342566013336,0.8766458766458767,0.0022522522522522,True
XLE,ProtoHedge (Tail frontier),-0.0156828432033459,0.0004221073236738,-0.0855284954110781,0.9147609147609148,0.0814275814275814,True
XLF,Unhedged,-0.0133436797186732,0.0007800196184028,-0.0662613784273465,0.6008771929824562,0.0,True
XLF,Spot-Delta,-0.0130903882284959,0.0008413003912232,-0.062577115992705,0.7997076023391813,0.0,True
XLF,Spot-Delta Band,-0.0130590349435806,0.0008347695344203,-0.06192555402716,0.8040935672514621,0.0,True
XLF,Vanilla DH,-0.0132560369869073,0.0007296368614859,-0.064255536844333,0.9247076023391811,0.0,True
XLF,ProtoHedge (Mean frontier),-0.0131808584555983,0.0008266650845514,-0.0623896718025207,0.8808479532163743,3.654970760233918e-05,True
XLF,ProtoHedge (Tail frontier),-0.0133476083477338,0.0010956345680974,-0.0616465471684932,0.9247076023391811,0.0013706140350877,True
XLK,Unhedged,-0.0153342230866352,0.0002129871513216,-0.0658448835213979,0.6448598130841122,0.0,True
XLK,Spot-Delta,-0.0151721850658456,0.0001258725450553,-0.0609475299715995,0.8457943925233645,0.0,True
XLK,Spot-Delta Band,-0.0151624775802095,0.0001632422545448,-0.061190515756607,0.8481308411214954,0.0,True
XLK,Vanilla DH,-0.0149453006063898,0.000188286546082,-0.0617508615056673,0.9587227414330218,0.0,True
XLK,ProtoHedge (Mean frontier),-0.0147606888785958,0.0003667485209927,-0.0590933784842491,0.8909657320872274,0.000739875389408,True
XLK,ProtoHedge (Tail frontier),-0.0147606888785958,0.0003667485209927,-0.0590933784842491,0.8909657320872274,0.000739875389408,True
XLV,Unhedged,-0.0103913275524973,0.0008373539293764,-0.0548857214550177,0.5688575899843505,0.0,True
XLV,Spot-Delta,-0.0103948637843132,0.0010225146521987,-0.0511834571758906,0.797339593114241,0.0,True
XLV,Spot-Delta Band,-0.0103862357015411,0.0010499810787182,-0.0512056462466716,0.7981220657276995,0.0,True
XLV,Vanilla DH,-0.0103285325070222,0.0008239944846684,-0.0522049913803736,0.9444444444444444,0.0,True
XLV,ProtoHedge (Mean frontier),-0.010139735105137,0.0008363404411612,-0.0492660937209924,0.8450704225352114,0.0011737089201877,True
XLV,ProtoHedge (Tail frontier),-0.010139735105137,0.0008363404411612,-0.0492660937209924,0.8450704225352114,0.0011737089201877,True
