prototype_index,usage_mean,top1_frequency,delta_0,delta_1,price_0,price_1,time_left,proto_action_0,proto_action_1
3,0.8763473033905029,0.9990176817288802,-2.9802322387695312e-08,0.0,1.0,0.01735827885568142,0.3999999761581421,-0.057189345359802246,-0.11068117618560791
2,0.02850494347512722,0.00029469548133595285,0.5087550282478333,0.0,0.9443325400352478,0.027352072298526764,0.14000000059604645,-0.024255037307739258,-0.08659803867340088
9,0.02436278760433197,0.0,0.5093960165977478,0.0,1.0144233703613281,0.013009356334805489,0.11999999731779099,-0.03372478485107422,-0.050130486488342285
7,0.01996096596121788,0.0,0.5151969790458679,0.0,0.9832766652107239,0.018323080614209175,0.11999999731779099,-0.12295246124267578,-0.03575336933135986
0,0.01964534819126129,0.0,0.5253069996833801,0.0,1.0468659400939941,0.017502034083008766,0.07999999821186066,-0.0344315767288208,-0.07476544380187988
6,0.007848120294511318,0.0,0.5154730081558228,0.0,1.0300586223602295,0.02651011012494564,0.19999998807907104,-0.07740044593811035,-0.13618862628936768
5,0.0074920752085745335,0.0,0.5159839987754822,0.0,0.9869531989097595,0.02281913533806801,0.3199999928474426,-0.12142050266265869,-0.08184218406677246
1,0.0071848607622087,0.0,0.5104129910469055,0.0,1.0061776638031006,0.012992743402719498,0.29999998211860657,-0.044896721839904785,-0.07988083362579346
4,0.00514790415763855,0.0,0.5165479779243469,0.0,1.062339425086975,0.05428437888622284,0.23999999463558197,-0.08340179920196533,-0.12780261039733887
8,0.0035074043553322554,0.00068762278978389,0.5339769721031189,0.0,0.8430413603782654,0.05403577536344528,0.19999998807907104,-0.11126947402954102,-0.10618114471435547
