prototype_index,usage_mean,top1_frequency,delta_0,delta_1,price_0,price_1,time_left,proto_action_0,proto_action_1
10,0.19870877265930176,0.2087426326129666,0.5101990103721619,0.0,1.0045450925827026,0.016447115689516068,0.06000000238418579,0.13325804471969604,-5.1975250244140625e-05
34,0.0775279849767685,0.17170923379174852,0.5040259957313538,0.0,0.9998540282249451,0.015618158504366875,0.19999998807907104,-0.005608677864074707,0.000883638858795166
32,0.07533981651067734,0.04695481335952849,0.5301240086555481,0.0,1.0125250816345215,0.03592885658144951,0.07999999821186066,-0.022542476654052734,0.0031335949897766113
8,0.06647220999002457,0.12829076620825147,0.5189329981803894,0.0,1.0441299676895142,0.019631698727607727,0.06000000238418579,0.039634108543395996,-0.0038628578186035156
16,0.0622008852660656,0.07003929273084479,0.5334060192108154,0.0,1.0096368789672852,0.023887999355793,0.06000000238418579,0.02073901891708374,-0.0022279024124145508
6,0.060543738305568695,0.09557956777996071,0.5156540274620056,0.0,0.9797804951667786,0.02691122703254223,0.09999999403953552,0.0110321044921875,0.024943530559539795
0,0.05045158043503761,0.022102161100196464,0.504052996635437,0.0,1.0143297910690308,0.013020031154155731,0.14000000059604645,0.10403221845626831,0.002950429916381836
41,0.05022920295596123,0.05255402750491159,0.5285090208053589,0.0,1.025699496269226,0.01916947029531002,0.14000000059604645,-0.019884586334228516,0.005708754062652588
38,0.03578576818108559,0.0206286836935167,0.5131679773330688,0.0,1.0412532091140747,0.027114931493997574,0.09999999403953552,-0.03871023654937744,0.015427112579345703
23,0.03547833859920502,0.04214145383104126,0.5287700295448303,0.0,0.9450393915176392,0.036567240953445435,0.07999999821186066,-0.04155099391937256,-0.008901715278625488
