model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,output_dir,paper_label,selection,vanilla_mean,vanilla_cvar,vanilla_bound,mean_gap_vs_vanilla,cvar_gap_vs_vanilla,bound_gap_vs_vanilla
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,1,-0.0154367303475737,,-0.0437021948397159,-0.0565279982984066,0.93713163064833,1.0,0.050000000745058,0.3254420432220039,0.0,0.3254420432220039,1.0,0.0,0.0874007055301153,0.3251479289940828,1.0,,True,True,True,-0.0032726433128118,-0.0033102976158261,-0.0033144075423479,-0.0014245063066482,-0.0069836005568504,-0.0067958272993564,-0.0069577358663082,-0.0106435865163803,-0.2357563850687623,-0.0667976424361492,-0.0648330058939096,0.0569744597249508,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel_smoke4/panel_sweeps/SPY_frontier_only_1_asian_call_step_robust,ProtoHedge (Mean frontier),best_screened_proto_mean,-0.0140122240409255,-0.0458844117820262,0.725,-0.0014245063066482006,-0.0106435865163804,-0.3995579567779961
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,1,-0.0154372490942478,,-0.0434228092432022,-0.056350152939558,0.93713163064833,1.0,0.050000000745058,0.349459724950884,0.0,0.349459724950884,1.0,0.0,0.0893662773091088,0.3450197238658777,1.0,,True,True,True,-0.0032731620594859,-0.0033108163625001,-0.0033149262890219,-0.0014250250533223,-0.0068057551980018,-0.0066179819405078,-0.0067798905074596,-0.0104657411575317,-0.2357563850687623,-0.0667976424361492,-0.0648330058939096,0.0569744597249508,SPY,/Users/yaniszaim/deephedging/.deephedging_real_runs/final_paper_asian_panel_smoke4/panel_sweeps/SPY_frontier_only_1_asian_call_step_robust,ProtoHedge (Tail frontier),best_screened_proto_cvar05,-0.0140122240409255,-0.0458844117820262,0.725,-0.0014250250533223013,-0.0104657411575318,-0.37554027504911597
