model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla,ticker,paper_label
unhedged,baseline,,,,,,3,-0.0275905188173055,0.0004892693194098,-0.1001339058081309,-0.1306070039669672,0.618860510805501,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-8.074566721916199e-06,-3.818795084953308e-05,-0.0004594288766384,0.0,-0.0001205106576283,-0.0007405479749043,-0.0067515149712562,0.0,0.1938441388343157,0.1958087753765552,0.3241650294695481,IWM,Unhedged
vanilla,vanilla,,,,,cvar,3,-0.0271310899406671,0.0003878703933543,-0.0940534944335619,-0.123855488995711,0.9430255402750491,1.0,0.025052639345328,0.1004256712508186,0.1004256712508186,0.0,1.0,546.3333333333334,0.0998917167132351,0.000361604207758,0.0138067061143984,,True,True,True,0.0004594288766384,0.0004513543099164,0.0004212409257888,0.0,0.0067515149712562,0.0066310043136278,0.0060109669963518,0.0,-0.3241650294695481,-0.1303208906352324,-0.1283562540929929,0.0,IWM,Vanilla DH
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.0695469950636227,0.0026351639286455,-0.2545255521933238,-0.339599351088206,0.818958818958819,1.0,0.0456458373616139,0.324009324009324,0.3221250971250971,0.0018842268842268,0.9844599844599844,674.0,0.2898765547755769,0.0938668224299065,0.9221183800623052,,True,True,True,0.0036219432950019,0.0024758328994115,0.0023682117462158,0.0036194895704587,0.0031312505404154,-0.0068805813789367,-0.0069460868835449,-0.0118280351161956,-0.1864801864801865,0.0023310023310022,0.0007770007770008,0.163947163947164,NVDA,ProtoHedge (Mean frontier)
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0719322636723518,0.0032307407383533,-0.2558122326930364,-0.3483052353064219,0.7902097902097903,1.0,0.0461033955216407,0.3518648018648018,0.2633061383061383,0.0885586635586635,0.9992229992229992,524.6666666666666,0.3043769281137027,0.1691394080996885,0.9672897196261682,,True,True,True,0.0012366746862729,9.05642906824794e-05,-1.705686251322891e-05,0.0012342209617296,-0.0055746336778005,-0.0155864655971527,-0.0156519711017608,-0.0205339193344116,-0.1577311577311578,0.0310800310800308,0.0295260295260294,0.1926961926961926,NVDA,ProtoHedge (Tail frontier)
spot_delta,baseline,,,,,,3,-0.0720228279630343,0.0026193855689001,-0.2591034968694051,-0.3327187697092692,0.8212898212898212,0.7022129893302917,0.0220250536998113,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0011461103955904,0.0,-0.0001076211531957,0.0011436566710472,0.0100118319193521,0.0,-6.55055046081543e-05,-0.0049474537372589,-0.1888111888111887,0.0,-0.0015540015540014,0.1616161616161617,NVDA,Spot-Delta
spot_delta_band,baseline,,,,,,3,-0.0719152068098386,0.0026119691429269,-0.2597801983356476,-0.332653264204661,0.8197358197358198,0.6922129988670349,0.017435498535633,0.0,0.0,0.0,0.0,,,,,0.01,True,True,True,0.0012537315487861,0.0001076211531957,0.0,0.0012512778242429,0.0100773374239603,6.55055046081543e-05,0.0,-0.0048819482326507,-0.1872571872571873,0.0015540015540014,0.0,0.1631701631701632,NVDA,Spot-Delta Band
unhedged,baseline,,,,,,3,-0.0731689383586247,0.0025483685683093,-0.2701599597930908,-0.3427306016286214,0.6324786324786325,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0011461103955904,-0.0012537315487861,-2.453724543244329e-06,0.0,-0.0100118319193521,-0.0100773374239603,-0.014959285656611,0.0,0.1888111888111887,0.1872571872571873,0.3504273504273505,NVDA,Unhedged
vanilla,vanilla,,,,,cvar,3,-0.0731664846340815,0.0028949537321825,-0.258385494351387,-0.3277713159720103,0.982905982905983,1.0,0.0417270381003618,0.3335664335664335,0.0335664335664335,0.3,1.0,130.66666666666666,0.3246744932667744,0.3003309968847352,0.677570093457944,,True,True,True,2.453724543244329e-06,-0.0011436566710472,-0.0012512778242429,0.0,0.014959285656611,0.0049474537372589,0.0048819482326507,0.0,-0.3504273504273505,-0.1616161616161617,-0.1631701631701632,0.0,NVDA,Vanilla DH
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.0291359977175792,0.0006684055792552,-0.0922389427820841,-0.1131393834948539,0.9449901768172888,0.8220094243685404,0.0147772061948974,0.0109528487229862,0.0109528487229862,0.0,0.0884086444007858,165.66666666666666,0.0992489902873815,0.0014299802761341,0.0348454963839579,,True,True,True,0.0004249550402164,0.0001161377876996,0.0001166338721911,-0.0003534493347009,0.0028535549839337,-0.0003611296415328,-0.000316376487414,-0.0028698643048604,-0.2324819908316959,-0.0831696136214799,-0.0844793713163063,-0.0294695481335952,QQQ,ProtoHedge (Mean frontier)
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.0288835341731707,0.0005315291327869,-0.0885618776082992,-0.1088523343205452,0.905697445972495,0.9516104062398276,0.0256791512171427,0.0038474132285527,0.0038474132285527,0.0,0.0779305828421741,32.666666666666664,0.0987328282494911,3.287310979618672e-05,0.0013149243918474,,True,True,True,0.0006774185846249,0.0003686013321081,0.0003690974165995,-0.0001009857902924,0.0071406041582425,0.0039259195327758,0.0039706726868947,0.0014171848694483,-0.1931892599869022,-0.0438768827766862,-0.0451866404715126,0.0098231827111984,QQQ,ProtoHedge (Tail frontier)
spot_delta,baseline,,,,,,3,-0.0292521355052789,0.0006919496472396,-0.0900532603263855,-0.112778253853321,0.8618205631958088,0.6425193349520365,0.0204287202407916,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0003088172525167,0.0,4.960844914130014e-07,-0.0004695871224006,0.0032146846254666,0.0,4.475315411885117e-05,-0.0025087346633275,-0.149312377210216,0.0,-0.0013097576948264,0.0537000654878846,QQQ,Spot-Delta
spot_delta_band,baseline,,,,,,3,-0.0292526315897703,0.0006663612658164,-0.0906355132659276,-0.1128230070074399,0.8605108055009824,0.575852652390798,0.0142712754507859,0.0,0.0,0.0,0.0,,,,,0.0666666666666666,True,True,True,0.0003083211680253,-4.960844914130014e-07,0.0,-0.000470083206892,0.0031699314713478,-4.475315411885117e-05,0.0,-0.0025534878174463,-0.1480026195153896,0.0013097576948264,0.0,0.055009823182711,QQQ,Spot-Delta Band
unhedged,baseline,,,,,,3,-0.0295609527577956,0.0005387357829665,-0.0937026962637901,-0.1159929384787877,0.7125081859855927,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0003088172525167,-0.0003083211680253,-0.0007784043749173,0.0,-0.0032146846254666,-0.0031699314713478,-0.0057234192887941,0.0,0.149312377210216,0.1480026195153896,0.2030124426981007,QQQ,Unhedged
vanilla,vanilla,,,,,cvar,3,-0.0287825483828783,0.0004752508007682,-0.0886256272594134,-0.1102695191899935,0.9155206286836934,1.0,0.0250932226578394,0.1861820563195808,0.1861820563195808,0.0,1.0,374.6666666666667,0.0991842362556648,0.0017587113740959,0.0683760683760683,,True,True,True,0.0007784043749173,0.0004695871224006,0.000470083206892,0.0,0.0057234192887941,0.0025087346633275,0.0025534878174463,0.0,-0.2030124426981007,-0.0537000654878846,-0.055009823182711,0.0,QQQ,Vanilla DH
