ticker,paper_label,gains_mean_avg,gains_mean_std,gains_cvar05_avg,shortfall_prob_avg,pct_at_any_position_bound_avg,passes_robust_screen
AAPL,ProtoHedge (Mean frontier),-0.0390484035015106,0.0017416652245714,-0.1494318544864654,0.929093567251462,0.0007675438596491,True
AAPL,ProtoHedge (Tail frontier),-0.038889355957508,0.0018457575075771,-0.1471765240033467,0.8932748538011696,0.0408808479532163,True
AAPL,Spot-Delta,-0.0387679400543371,0.0012394963973335,-0.1492543319861094,0.8121345029239766,0.0,True
AAPL,Spot-Delta Band,-0.0387639130155245,0.0013327061745255,-0.1498153458038965,0.8187134502923977,0.0,True
AAPL,Unhedged,-0.0390228306253751,0.0017610023770476,-0.1539828826983769,0.6169590643274854,0.0,True
AAPL,Vanilla DH,-0.0396513280769189,0.0021373931823922,-0.1485985914866129,1.0,0.125,True
IWM,ProtoHedge (Mean frontier),-0.0273292157799005,0.0005814997366612,-0.1284909049669901,0.9325474787164376,0.0021283562540929,True
IWM,ProtoHedge (Tail frontier),-0.027327075600624,0.0004760471351543,-0.1271060431996981,0.9515389652914212,0.0083005893909626,True
IWM,Spot-Delta,-0.0275824442505836,0.0004180021509198,-0.1304864933093389,0.8127046496398167,0.0,True
IWM,Spot-Delta Band,-0.027552330866456,0.0004228978660512,-0.1298664559920629,0.8146692861820563,0.0,True
IWM,Unhedged,-0.0275905188173055,0.0004892693194098,-0.1306070039669672,0.618860510805501,0.0,True
IWM,Vanilla DH,-0.0271310899406671,0.0003878703933543,-0.123855488995711,0.9430255402750491,0.1004256712508186,True
NVDA,ProtoHedge (Mean frontier),-0.0695469950636227,0.0026351639286455,-0.339599351088206,0.818958818958819,0.324009324009324,True
NVDA,ProtoHedge (Tail frontier),-0.0719322636723518,0.0032307407383533,-0.3483052353064219,0.7902097902097903,0.3518648018648018,True
NVDA,Spot-Delta,-0.0720228279630343,0.0026193855689001,-0.3327187697092692,0.8212898212898212,0.0,True
NVDA,Spot-Delta Band,-0.0719152068098386,0.0026119691429269,-0.332653264204661,0.8197358197358198,0.0,True
NVDA,Unhedged,-0.0731689383586247,0.0025483685683093,-0.3427306016286214,0.6324786324786325,0.0,True
NVDA,Vanilla DH,-0.0731664846340815,0.0028949537321825,-0.3277713159720103,0.982905982905983,0.3335664335664335,True
QQQ,ProtoHedge (Mean frontier),-0.0291359977175792,0.0006684055792552,-0.1131393834948539,0.9449901768172888,0.0109528487229862,True
QQQ,ProtoHedge (Tail frontier),-0.0288835341731707,0.0005315291327869,-0.1088523343205452,0.905697445972495,0.0038474132285527,True
QQQ,Spot-Delta,-0.0292521355052789,0.0006919496472396,-0.112778253853321,0.8618205631958088,0.0,True
QQQ,Spot-Delta Band,-0.0292526315897703,0.0006663612658164,-0.1128230070074399,0.8605108055009824,0.0,True
QQQ,Unhedged,-0.0295609527577956,0.0005387357829665,-0.1159929384787877,0.7125081859855927,0.0,True
QQQ,Vanilla DH,-0.0287825483828783,0.0004752508007682,-0.1102695191899935,0.9155206286836934,0.1861820563195808,True
SPY,ProtoHedge (Mean frontier),-0.0216652813057104,0.0008698114386446,-0.0843766008814175,0.9220694171578258,0.0377865094957432,True
SPY,ProtoHedge (Tail frontier),-0.0218910674254099,0.0007953063288186,-0.0868516812721888,0.899803536345776,0.0,True
SPY,Spot-Delta,-0.0220067296177148,0.0007144938450925,-0.0902072042226791,0.8578912901113295,0.0,True
SPY,Spot-Delta Band,-0.0220275539904832,0.0007178524322616,-0.0901189396778742,0.8578912901113295,0.0,True
SPY,Unhedged,-0.0221647812674442,0.0007100582493274,-0.090721845626831,0.7079240340537001,0.0,True
SPY,Vanilla DH,-0.0216817613691091,0.0006285592335964,-0.085947980483373,0.9299279633267844,0.1929600523903077,True
TLT,ProtoHedge (Mean frontier),-0.0136628821492195,0.0020139691131896,-0.083005907634894,0.8341121495327103,0.014154984423676,True
TLT,ProtoHedge (Tail frontier),-0.0138952151561776,0.0015784524960077,-0.0805692623058954,0.8862928348909658,0.0203855140186915,True
TLT,Spot-Delta,-0.0145206774274508,0.0020014579265184,-0.0821067740519841,0.7749221183800623,0.0,True
TLT,Spot-Delta Band,-0.0144181596115231,0.0019136131198476,-0.0823532690604527,0.77803738317757,0.0,True
TLT,Unhedged,-0.0141930930937329,0.0018154013168128,-0.0834022512038548,0.5023364485981309,0.0,True
TLT,Vanilla DH,-0.0142641067504882,0.001784285000281,-0.0823611120382944,0.9976635514018692,0.0,True
XLE,ProtoHedge (Mean frontier),-0.0287366223831971,0.0017280973966952,-0.1702885627746582,0.925848925848926,0.0675848925848925,True
XLE,ProtoHedge (Tail frontier),-0.0283240197847286,0.00157315894553,-0.1720996648073196,0.8177408177408179,0.010031185031185,True
XLE,Spot-Delta,-0.0287320166826248,0.0018155281398119,-0.1755756785472234,0.7636867636867638,0.0,True
XLE,Spot-Delta Band,-0.0286397710442543,0.0017436782784634,-0.1756385068098704,0.7657657657657658,0.0,True
XLE,Unhedged,-0.0284765617301066,0.0016721406738289,-0.1767849524815877,0.5065835065835066,0.0,True
XLE,Vanilla DH,-0.0285676618417104,0.0015359507631587,-0.1700161695480346,1.0,0.0,True
XLF,ProtoHedge (Mean frontier),-0.024107097958525,0.0002907477400642,-0.1039938355485598,0.8735380116959064,0.0004020467836257,True
XLF,ProtoHedge (Tail frontier),-0.0236836497982343,0.0009980809241864,-0.101901538670063,0.8830409356725145,0.0087719298245614,True
XLF,Spot-Delta,-0.0236771224687496,0.0012235788846538,-0.1048218856255213,0.8157894736842105,0.0,True
XLF,Spot-Delta Band,-0.0236457691838343,0.0012147378533917,-0.1042828808228174,0.8128654970760234,0.0,True
XLF,Unhedged,-0.0239304148902495,0.0011589337350663,-0.1072680080930392,0.6301169590643275,0.0,True
XLF,Vanilla DH,-0.023764532059431,0.0010960420720163,-0.1034920985500017,1.0,0.0,True
XLK,ProtoHedge (Mean frontier),-0.0283076241612434,0.0006392559027076,-0.1086323161919911,0.8683800623052959,5.8411214953271024e-05,True
XLK,ProtoHedge (Tail frontier),-0.0281059108674526,0.0005929087591739,-0.1080837522943814,0.8855140186915887,3.8940809968847354e-05,True
XLK,Spot-Delta,-0.0283014010637998,0.0003991878429536,-0.1092411379019419,0.8411214953271028,0.0,True
XLK,Spot-Delta Band,-0.0282916941990454,0.0004162685495479,-0.1097141057252883,0.8372274143302181,0.0,True
XLK,Unhedged,-0.0284634393950303,0.0002582270598795,-0.1134809032082557,0.660436137071651,0.0,True
XLK,Vanilla DH,-0.0279662385582923,0.0002757929021194,-0.1083115513126055,0.9937694704049844,0.0173481308411214,True
XLV,ProtoHedge (Mean frontier),-0.018472625563542,0.001013431422427,-0.0859795709451039,0.9663536776212832,0.0039123630672926,True
XLV,ProtoHedge (Tail frontier),-0.0183319374918937,0.0009866639624767,-0.0833980267246564,0.8794992175273865,0.1086658841940532,True
XLV,Spot-Delta,-0.0184487098207076,0.0011715618698616,-0.0851635461052258,0.7965571205007825,0.0,True
XLV,Spot-Delta Band,-0.0184400808066129,0.0011945854762736,-0.0852064465483029,0.7926447574334898,0.0,True
XLV,Unhedged,-0.0184451751410961,0.0009393993087929,-0.087942935526371,0.5712050078247262,0.0,True
XLV,Vanilla DH,-0.0183782751361529,0.0009770068756643,-0.0856519043445587,0.9796557120500784,0.032433489827856,True
