prototype_index,usage_mean,top1_frequency,delta_0,delta_1,price_0,price_1,time_left,proto_action_0,proto_action_1
8,0.2507036328315735,0.27662082514734776,0.5152599811553955,0.0,1.0440618991851807,0.01602543331682682,0.06000000238418579,0.05405616760253906,2.187490463256836e-05
16,0.22930443286895752,0.30844793713163066,0.5220810174942017,0.0,1.0200228691101074,0.023449337109923363,0.07999999821186066,-0.1089162826538086,0.00024241209030151367
10,0.18833529949188232,0.13526522593320237,0.5050129890441895,0.0,1.0091692209243774,0.01535851787775755,0.06000000238418579,0.2951319217681885,0.00017195940017700195
18,0.11207102984189987,0.11306483300589391,0.5223479866981506,0.0,0.975985586643219,0.021212726831436157,0.07999999821186066,-0.05687069892883301,-5.745887756347656e-05
23,0.05271432548761368,0.04155206286836935,0.5163679718971252,0.0,0.9479075074195862,0.02856212668120861,0.07999999821186066,-0.003832221031188965,-8.869171142578125e-05
21,0.041883908212184906,0.041846758349705304,0.5339549779891968,0.0,0.8581147193908691,0.05979105830192566,0.14000000059604645,0.1911625862121582,-0.027142763137817383
4,0.03905100375413895,0.021512770137524558,0.5201089978218079,0.0,1.0174224376678467,0.036324642598629,0.09999999403953552,-0.03855323791503906,0.00017017126083374023
3,0.03520980849862099,0.029666011787819253,0.5209370255470276,0.0,0.8975560665130615,0.03447895497083664,0.09999999403953552,0.04728126525878906,-1.1920928955078125e-07
2,0.024183589965105057,0.022789783889980354,-1.755053524732375e-08,0.0,1.0,0.033062662929296494,0.3999999761581421,0.046833038330078125,6.103515625e-05
17,0.012737521901726723,0.005599214145383104,0.5227649807929993,0.0,1.0706924200057983,0.02393709123134613,0.07999999821186066,-0.293259859085083,-7.867813110351562e-06
