model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.013391577949126562,0.0017995249820599388,-0.05734345217545827,-0.08271943529446919,0.8271028037383177,1.0,0.04113502179582914,0.0015771028037383176,0.0,0.0015771028037383176,0.024143302180685357,468.6666666666667,0.05345748618927221,0.001995305164319249,0.032081377151799685,,True,True,True,0.0008015151446064302,0.0011290994783242532,0.0010265816623965893,0.0009031910449266434,0.0006828159093856812,-0.0006126612424850464,-0.00036616623401641846,-0.0007848044236501012,-0.3247663551401868,-0.052180685358255374,-0.0490654205607477,0.17056074766355156
unhedged,baseline,,,,,,3,-0.014193093093732992,0.0018154013168128604,-0.060161727666854854,-0.08340225120385487,0.5023364485981309,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,0.00032758433371782303,0.00022506651779015917,0.0001016759003202132,0.0,-0.0012954771518707275,-0.0010489821434020996,-0.0014676203330357823,0.0,0.27258566978193144,0.2757009345794391,0.4953271028037384
vanilla,vanilla,,,,,cvar,3,-0.014294768994053205,0.001720036560154379,-0.05913925543427467,-0.08193463087081909,0.9976635514018692,0.3946618338425954,0.009589091408997774,0.0,0.0,0.0,0.0,203.66666666666666,0.055052401602345834,0.0,0.0,,True,True,True,-0.0001016759003202132,0.00022590843339760983,0.00012339061746994597,0.0,0.0014676203330357823,0.00017214318116505478,0.0004186381896336827,0.0,-0.4953271028037384,-0.22274143302180693,-0.21962616822429926,0.0
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,3,-0.014373701376219591,0.0016910692483143638,-0.05803101404259602,-0.0823167438308398,0.8115264797507789,0.6494760488470396,0.011540720510917405,0.008333333333333333,0.008333333333333333,0.0,0.14485981308411214,305.6666666666667,0.05529448671795225,0.0002347417840375587,0.001564945226917058,,True,True,True,-0.00018060828248659885,0.00014697605123122418,4.4458235303560314e-05,-7.893238216638565e-05,0.0010855073730150766,-0.00020996977885565093,3.6525229612976995e-05,-0.0003821129600207057,-0.309190031152648,-0.03660436137071654,-0.033489096573208865,0.1861370716510904
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,3,-0.014396393361190954,0.0016350000233544956,-0.058374521757165586,-0.08114918073018391,0.9213395638629284,0.7730142076810201,0.017172488383948803,0.08350856697819314,0.08350856697819314,0.0,0.47118380062305293,15.0,0.055377287202214465,0.00044992175273865417,0.01564945226917058,,True,True,True,-0.00020330026745796204,0.000124284066259861,2.1766250332197132e-05,-0.00010162436713774883,0.0022530704736709595,0.0009575933218002319,0.0012040883302688599,0.0007854501406351772,-0.4190031152647975,-0.14641744548286606,-0.14330218068535838,0.07632398753894087
spot_delta_band,baseline,,,,,,3,-0.014418159611523151,0.0019136131198476004,-0.059726500511169435,-0.08235326906045277,0.77803738317757,0.43225201964378357,0.009687432708839575,0.0,0.0,0.0,0.0,,,,,0.15,True,True,True,-0.00022506651779015917,0.00010251781592766386,0.0,-0.00012339061746994597,0.0010489821434020996,-0.00024649500846862793,0.0,-0.0004186381896336827,-0.2757009345794391,-0.0031152647975076775,0.0,0.21962616822429926
spot_delta,baseline,,,,,,3,-0.014520677427450815,0.002001457926518432,-0.05978733946879705,-0.08210677405198415,0.7749221183800623,0.582252025604248,0.02045881561934948,0.0,0.0,0.0,0.0,,,,,,True,True,True,-0.00032758433371782303,0.0,-0.00010251781592766386,-0.00022590843339760983,0.0012954771518707275,0.0,0.00024649500846862793,-0.00017214318116505478,-0.27258566978193144,0.0,0.0031152647975076775,0.22274143302180693
