prototype_index,usage_mean,top1_frequency,delta_0,delta_1,price_0,price_1,time_left,proto_action_0,proto_action_1
2,0.3058795928955078,0.33405044510385756,1.1482296002895964e-08,0.0,1.0,0.6392253637313843,0.3999999761581421,-0.841516375541687,-0.9178762435913086
9,0.242768794298172,0.24013353115727004,0.9812700152397156,0.0,0.8070642948150635,0.32492727041244507,0.14000000059604645,0.3335641622543335,0.9998766183853149
6,0.24191588163375854,0.24859050445103859,1.1482296002895964e-08,0.0,1.0,0.24501757323741913,0.3999999761581421,-0.16027116775512695,0.9998766183853149
4,0.13796839118003845,0.13991097922848664,0.9968690276145935,0.0,1.0623573064804077,0.6746419668197632,0.11999999731779099,-0.3724355697631836,-1.126819372177124
1,0.026755571365356445,0.007492581602373888,0.9998369812965393,0.0,1.006506323814392,0.6364684700965881,0.11999999731779099,-0.9439710378646851,-0.0898127555847168
8,0.023054620251059532,0.01483679525222552,0.995294988155365,0.0,1.0010558366775513,0.6414619088172913,0.29999998211860657,-0.5207630395889282,-0.6810115575790405
7,0.018486004322767258,0.012017804154302671,0.9997169971466064,0.0,0.9402735829353333,0.5002974271774292,0.14000000059604645,-0.4859902858734131,0.3607546091079712
5,0.0019176312489435077,0.002967359050445104,0.9996849894523621,0.0,0.9871015548706055,0.24342328310012817,0.11999999731779099,-0.8000521659851074,0.3566845655441284
0,0.0009122700430452824,0.0,0.9991040229797363,0.0,1.0048428773880005,0.2377367615699768,0.29999998211860657,-0.13717329502105713,0.5275014638900757
3,0.000336983532179147,0.0,0.9961550235748291,0.0,1.0309233665466309,0.23609738051891327,0.09999999403953552,-0.8612452745437622,0.002454817295074463
