analysis_label,paper_label,model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,reason,mean_gap_vs_vanilla,mean_gap_vs_vanilla_pct,cvar_gap_vs_vanilla,shortfall_gap_vs_vanilla,bound_occupancy_gap_vs_vanilla,paper_order
baseline_unhedged,Unhedged,unhedged,baseline,,,,,,1,-0.0172480978071689,,-0.0500122666358947,-0.0516812801361084,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,0.048782009631395395,73.87843443505393,0.2809160351753235,0.0,0.875,0
baseline_spot_delta,Spot-Delta,spot_delta,baseline,,,,,,1,-0.0135303260758519,,-0.0410494185984134,-0.052928153425455,0.7333333333333333,0.9999619722366332,0.0270847510546445,0.0066666666666666,0.0066666666666666,0.0,0.2,,,,,,True,True,True,,0.0524997813627124,79.50885345985424,0.2796691618859769,-0.19999999999999996,0.8683333333333334,1
baseline_spot_delta_band,Spot-Delta Band,spot_delta_band,baseline,,,,,,1,-0.0135303260758519,,-0.0410494185984134,-0.052928153425455,0.7333333333333333,0.9999619722366332,0.0270847510546445,0.0066666666666666,0.0066666666666666,0.0,0.2,,,,,0.0,True,True,True,,0.0524997813627124,79.50885345985424,0.2796691618859769,-0.19999999999999996,0.8683333333333334,2
vanilla,Vanilla DH,vanilla,vanilla,,,,,cvar,1,-0.0660301074385643,,-0.2690522193908691,-0.3325973153114319,0.5333333333333333,1.0,0.050000000745058,0.875,0.425,0.45,1.0,-1.0,0.2320231606997549,0.875,1.0,,False,True,False,,0.0,0.0,0.0,0.0,0.0,3
proto_mean,ProtoHedge (Mean frontier),proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,1,-0.0247257351875305,,-0.0766370229423046,-0.0952331647276878,0.7333333333333333,1.0,0.050000000745058,0.5,0.0,0.5,1.0,-1.0,0.1563854159068848,0.4785714285714286,1.0,,True,True,True,best_screened_mean,0.0413043722510338,62.55384680308781,0.2373641505837441,-0.19999999999999996,0.375,4
