band,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound
0.1,-0.020446080714464188,0.02554575353860855,-0.08915703348815442,-0.0721846554428339,-0.08754131942987442,-0.010701495222747326,0.005619920114986593,0.8259911894273128,-0.02067558281123638,0.0003209271817468107,9.142085036728531e-05,0.011418267153203487,0.5249049663543701,0.22347618639469147,0.5422319769859314,0.0,0.0,0.0,0.0
0.05,-0.02046262100338936,0.025472264736890793,-0.08880363635718823,-0.07238998301327229,-0.08689726889133453,-0.011441836599260569,0.006331697548739603,0.8259911894273128,-0.02067558281123638,0.000318351638270542,0.00010538584319874644,0.01315675675868988,0.5749049782752991,0.24716220796108246,0.5922319889068604,0.0,0.0,0.0,0.0
0.15,-0.020480671897530556,0.025632163509726524,-0.09106706485152244,-0.07261150442063809,-0.08827304095029831,-0.010013222694396973,0.00489334752783179,0.8325991189427313,-0.02067558281123638,0.0002763248048722744,8.141218131640926e-05,0.010167225264012814,0.47490498423576355,0.19848452508449554,0.49223199486732483,0.0,0.0,0.0,0.0
0.02,-0.020551124587655067,0.025494324043393135,-0.08915217161178589,-0.07193023487925529,-0.08669412136077881,-0.011552652344107628,0.006556595186702886,0.8259911894273128,-0.02067558281123638,0.0002570907527115196,0.0001326297497143969,0.016524212434887886,0.6049050092697144,0.25712648034095764,0.6222320199012756,0.0,0.0,0.0,0.0
0.01,-0.020596139132976532,0.02555336430668831,-0.08941750705242157,-0.07229185290634632,-0.08684931695461273,-0.011512655299156904,0.0068285019136965,0.8348017621145375,-0.02067558281123638,0.00023564968432765454,0.0001562010293127969,0.0194333977997303,0.6149049997329712,0.2583502233028412,0.6322320103645325,0.0,0.0,0.0,0.0
0.0,-0.020616896450519562,0.02558295615017414,-0.09060071855783462,-0.07309938855469227,-0.08694945275783539,-0.011477389838546515,0.006956514157354824,0.8215859030837004,-0.02067558281123638,0.00025690137408673763,0.00019821322348434478,0.024655617773532867,0.624904990196228,0.2586418688297272,0.6422320008277893,0.0,0.0,0.0,0.0
