selection,model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
best_mean,spot_delta_band,baseline,,,,,,3,-0.023645769183834393,0.0012147378533917642,-0.07824890315532684,-0.10428288082281749,0.8128654970760234,0.656938632329305,0.023184151699145634,0.0,0.0,0.0,0.0,,,,,0.03333333333333333,True,True,True,0.0002846457064151764,3.13532849152906e-05,0.0,0.00011876287559668339,0.00298512727022171,0.0005390048027038574,0.0,-0.0007907822728157043,-0.18274853801169588,0.0029239766081871066,0.0,0.1871345029239766
best_cvar05,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.023683649798234303,0.0009980809241864797,-0.0747690498828888,-0.10190153867006302,0.8830409356725145,0.9941248695055643,0.02631691222389539,0.008771929824561405,0.008278508771929824,0.000493421052631579,0.10891812865497076,72.0,0.08937663229468186,0.000697503671071953,0.011747430249632894,,True,True,True,0.0002467650920152664,-6.527329484619371e-06,-3.788061439990997e-05,8.088226119677341e-05,0.005366469422976181,0.002920346955458328,0.0023813421527544704,0.001590559879938766,-0.252923976608187,-0.067251461988304,-0.07017543859649111,0.11695906432748548
best_shortfall,unhedged,baseline,,,,,,3,-0.02393041489024957,0.0011589337350663273,-0.07856214046478271,-0.1072680080930392,0.6301169590643275,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0002532924214998858,-0.0002846457064151764,-0.000165882830818493,0.0,-0.002446122467517853,-0.00298512727022171,-0.0037759095430374146,0.0,0.185672514619883,0.18274853801169588,0.3698830409356725
best_proto_mean,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.023683649798234303,0.0009980809241864797,-0.0747690498828888,-0.10190153867006302,0.8830409356725145,0.9941248695055643,0.02631691222389539,0.008771929824561405,0.008278508771929824,0.000493421052631579,0.10891812865497076,72.0,0.08937663229468186,0.000697503671071953,0.011747430249632894,,True,True,True,0.0002467650920152664,-6.527329484619371e-06,-3.788061439990997e-05,8.088226119677341e-05,0.005366469422976181,0.002920346955458328,0.0023813421527544704,0.001590559879938766,-0.252923976608187,-0.067251461988304,-0.07017543859649111,0.11695906432748548
best_proto_cvar05,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.023683649798234303,0.0009980809241864797,-0.0747690498828888,-0.10190153867006302,0.8830409356725145,0.9941248695055643,0.02631691222389539,0.008771929824561405,0.008278508771929824,0.000493421052631579,0.10891812865497076,72.0,0.08937663229468186,0.000697503671071953,0.011747430249632894,,True,True,True,0.0002467650920152664,-6.527329484619371e-06,-3.788061439990997e-05,8.088226119677341e-05,0.005366469422976181,0.002920346955458328,0.0023813421527544704,0.001590559879938766,-0.252923976608187,-0.067251461988304,-0.07017543859649111,0.11695906432748548
best_proto_shortfall,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.02410709795852502,0.0002907477400642449,-0.07707357903321584,-0.10399383554855983,0.8735380116959064,0.8937410116195679,0.033288819094498955,0.00040204678362573096,0.0,0.00040204678362573096,0.0043859649122807015,107.0,0.08978380596620768,0.00011013215859030836,0.0022026431718061676,,True,True,True,-0.00017668306827545166,-0.00042997548977533745,-0.00046132877469062805,-0.00034256589909394466,0.00327417254447937,0.0008280500769615173,0.0002890452742576599,-0.0005017369985580444,-0.24342105263157887,-0.05774853801169588,-0.06067251461988299,0.1264619883040936
best_screened_proto_mean,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.023683649798234303,0.0009980809241864797,-0.0747690498828888,-0.10190153867006302,0.8830409356725145,0.9941248695055643,0.02631691222389539,0.008771929824561405,0.008278508771929824,0.000493421052631579,0.10891812865497076,72.0,0.08937663229468186,0.000697503671071953,0.011747430249632894,,True,True,True,0.0002467650920152664,-6.527329484619371e-06,-3.788061439990997e-05,8.088226119677341e-05,0.005366469422976181,0.002920346955458328,0.0023813421527544704,0.001590559879938766,-0.252923976608187,-0.067251461988304,-0.07017543859649111,0.11695906432748548
best_screened_proto_cvar05,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.023683649798234303,0.0009980809241864797,-0.0747690498828888,-0.10190153867006302,0.8830409356725145,0.9941248695055643,0.02631691222389539,0.008771929824561405,0.008278508771929824,0.000493421052631579,0.10891812865497076,72.0,0.08937663229468186,0.000697503671071953,0.011747430249632894,,True,True,True,0.0002467650920152664,-6.527329484619371e-06,-3.788061439990997e-05,8.088226119677341e-05,0.005366469422976181,0.002920346955458328,0.0023813421527544704,0.001590559879938766,-0.252923976608187,-0.067251461988304,-0.07017543859649111,0.11695906432748548
best_screened_proto_shortfall,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.02410709795852502,0.0002907477400642449,-0.07707357903321584,-0.10399383554855983,0.8735380116959064,0.8937410116195679,0.033288819094498955,0.00040204678362573096,0.0,0.00040204678362573096,0.0043859649122807015,107.0,0.08978380596620768,0.00011013215859030836,0.0022026431718061676,,True,True,True,-0.00017668306827545166,-0.00042997548977533745,-0.00046132877469062805,-0.00034256589909394466,0.00327417254447937,0.0008280500769615173,0.0002890452742576599,-0.0005017369985580444,-0.24342105263157887,-0.05774853801169588,-0.06067251461988299,0.1264619883040936
