model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_spot_delta_band,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_spot_delta_band,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_spot_delta_band,shortfall_prob_avg_minus_vanilla
vanilla,vanilla,,,,,cvar,3,-0.02796623855829239,0.0002757929021194964,-0.08720886707305908,-0.10831155131260554,0.9937694704049845,0.9378160834312439,0.02327631041407585,0.017348130841121495,0.017348130841121495,0.0,0.3333333333333333,269.6666666666667,0.10529715484118961,3.9123630672926444e-05,0.001564945226917058,,True,True,True,0.0004972008367379495,0.0003351625055074692,0.0003254556407531091,0.0,0.005169351895650223,0.0009295865893363953,0.0014025544126828465,0.0,-0.3333333333333335,-0.15264797507788175,-0.15654205607476646,0.0
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.02810591086745262,0.0005929087591739201,-0.08791440476973851,-0.10808375229438145,0.8855140186915887,0.8172511458396912,0.024511609847346943,3.8940809968847354e-05,3.8940809968847354e-05,0.0,0.000778816199376947,127.33333333333333,0.1040783142624423,0.0,0.0,,True,True,True,0.00035752852757771694,0.00019549019634723663,0.00018578333159287655,-0.00013967230916023254,0.005397150913874313,0.001157385607560485,0.0016303534309069362,0.00022779901822408966,-0.2250778816199377,-0.04439252336448596,-0.048286604361370666,0.10825545171339579
spot_delta_band,baseline,,,,,,3,-0.028291694199045498,0.00041626854954798624,-0.08743478109439214,-0.10971410572528839,0.8372274143302181,0.597874661286672,0.01690313530464967,0.0,0.0,0.0,0.0,,,,,0.03333333333333333,True,True,True,0.0001717451959848404,9.706864754360084e-06,0.0,-0.0003254556407531091,0.0037667974829673767,-0.00047296782334645127,0.0,-0.0014025544126828465,-0.17679127725856703,0.003894080996884708,0.0,0.15654205607476646
spot_delta,baseline,,,,,,3,-0.028301401063799858,0.0003991878429536919,-0.08732605973879497,-0.10924113790194194,0.8411214953271028,0.6312080025672913,0.024792630225419998,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0001620383312304803,0.0,-9.706864754360084e-06,-0.0003351625055074692,0.004239765306313828,0.0,0.00047296782334645127,-0.0009295865893363953,-0.18068535825545173,0.0,-0.003894080996884708,0.15264797507788175
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.02830762416124344,0.0006392559027076437,-0.08804248770078023,-0.10863231619199117,0.8683800623052959,0.9128878712654114,0.04707626005013784,5.8411214953271024e-05,5.8411214953271024e-05,0.0,0.001557632398753894,121.0,0.10396456749289236,3.9123630672926444e-05,0.000782472613458529,,True,True,True,0.00015581523378689968,-6.2230974435806274e-06,-1.592996219794071e-05,-0.0003413856029510498,0.004848587016264602,0.0006088217099507742,0.0010817895332972255,-0.00032076487938562104,-0.2079439252336448,-0.027258566978193066,-0.031152647975077774,0.12538940809968868
unhedged,baseline,,,,,,3,-0.02846343939503034,0.00025822705987950503,-0.09130656470855077,-0.11348090320825577,0.660436137071651,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,0.0,-0.0001620383312304803,-0.0001717451959848404,-0.0004972008367379495,0.0,-0.004239765306313828,-0.0037667974829673767,-0.005169351895650223,0.0,0.18068535825545173,0.17679127725856703,0.3333333333333335
