model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_vanilla
vanilla,vanilla,,,,,cvar,1,0.005633199587464333,,-0.15746412314474584,-0.20111188292503357,0.375,2.0,0.10000000149011612,0.675,0.275,0.4,1.0,0.03456602431833744,0.03593345731496811,0.0,-0.12784835696220398,-0.12277082353830338,0.0,0.5,0.625,0.0
proto_source=spot_delta_k=2_weighted=1_learnw=0,proto,spot_delta,2.0,True,False,cvar,1,-0.025934621691703796,,-0.056280695274472235,-0.058889564126729965,0.875,1.4774448871612549,0.043678730726242065,0.0,0.0,0.0,0.0,0.0029982030391693115,0.00436563603579998,-0.03156782127916813,0.014373961836099625,0.01945149526000023,0.1422223187983036,0.0,0.125,-0.5
unhedged,baseline,,,,,,1,-0.028932824730873108,,-0.06627659201622009,-0.07326352596282959,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013674329966306686,-0.03456602431833744,0.0,0.005077533423900604,0.12784835696220398,0.0,0.125,-0.5
spot_delta,baseline,,,,,,1,-0.030300257727503777,,-0.06849924977868796,-0.0783410593867302,1.0,0.9999880194664001,0.0270967036485672,0.0,0.0,0.0,0.0,-0.0013674329966306686,0.0,-0.03593345731496811,-0.005077533423900604,0.0,0.12277082353830338,-0.125,0.0,-0.625
