band,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound
0.05,-0.014572644606232643,0.01716889999806881,-0.06433994695544243,-0.05038898438215256,-0.060673974454402924,-0.009938338305801153,0.004240405512973666,0.8333333333333334,-0.015063119120895863,0.0005964593146927655,0.00010598507651593536,0.013237787410616875,0.5784639716148376,0.24671897292137146,0.5812079906463623,0.0,0.0,0.0,0.0
0.0,-0.014580566436052322,0.01734229177236557,-0.06711803562939167,-0.04892064072191715,-0.06095851957798004,-0.009890650399029255,0.004788096761330962,0.8356807511737089,-0.015063119120895863,0.0006826024036854506,0.00020004931138828397,0.024896936491131783,0.6284639835357666,0.25822827219963074,0.6312080025672913,0.0,0.0,0.0,0.0
0.01,-0.014587373472750187,0.01728580705821514,-0.0679988544434309,-0.04994032625108957,-0.060911599546670914,-0.010297051630914211,0.004833956714719534,0.8262910798122066,-0.015063119120895863,0.0006351496558636427,0.0001594044006196782,0.01985291577875614,0.6184639930725098,0.2578098475933075,0.6212080121040344,0.0,0.0,0.0,0.0
0.02,-0.014590137638151646,0.017236536368727684,-0.06723897531628609,-0.05009127128869295,-0.06085764244198799,-0.010070367716252804,0.004534411942586303,0.8333333333333334,-0.015063119120895863,0.0006091890390962362,0.00013620655226986855,0.016980456188321114,0.6084640026092529,0.256277471780777,0.6112080216407776,0.0,0.0,0.0,0.0
0.1,-0.0146131357178092,0.017087340354919434,-0.06521027535200119,-0.050843206234276295,-0.06064024940133095,-0.009796442463994026,0.003762511827517301,0.8380281690140845,-0.015063119120895863,0.0005414064507931471,9.142344788415357e-05,0.01142579410225153,0.5284639596939087,0.2233993411064148,0.5312079787254333,0.0,0.0,0.0,0.0
0.15,-0.014666805043816566,0.017048198729753494,-0.06607419438660145,-0.050221155397593975,-0.06061967462301254,-0.009993702173233032,0.00328461779281497,0.8474178403755869,-0.015063119120895863,0.0004773435939569026,8.102861465886235e-05,0.010126491077244282,0.4784639775753021,0.19850623607635498,0.4812079966068268,0.0,0.0,0.0,0.0
