analysis_label,paper_label,regime_type,regime,series,n_seeds,mean_avg,mean_std,p05_avg,p05_std,cvar05_avg,cvar05_std,shortfall_prob_avg,shortfall_prob_std
proto_mean,ProtoHedge (Mean frontier),drawdown_regime,deep_dd,proto_mean_gains,3,1.8173260588171305,0.0874902881105541,0.11519663631916051,0.06476815291981533,-0.046586415937377355,0.05820360573191871,0.031111111111111114,0.011758894715842624
proto_tail,ProtoHedge (Tail frontier),drawdown_regime,deep_dd,proto_tail_gains,3,1.794978770016244,0.0530873580819483,0.13803291122118633,0.03865498276301089,-0.0017805155625359888,0.058392372977302,0.01925925925925926,0.005132002392796674
spot_delta,Spot-Delta,drawdown_regime,deep_dd,spot_delta_gains,3,-0.029552006561964477,0.000658341005417952,-0.06730402608712514,0.004177686185219571,-0.07944762199703191,0.0004842461868255914,0.9718518518518519,0.014286890016285823
unhedged,Unhedged,drawdown_regime,deep_dd,unhedged_gains,3,-0.03125460960246899,0.0005654509613634053,-0.06982252597808837,0.0034086598741633967,-0.08284339971012539,0.0030272091622735534,0.9451851851851852,0.015608375930152227
vanilla,Vanilla DH,drawdown_regime,deep_dd,vanilla_gains,3,1.8197853732878275,0.08814783662051823,0.11072551657756169,0.050909671444199736,-0.015023866053929344,0.0596641325869145,0.02666666666666667,0.016024672335395507
proto_mean,ProtoHedge (Mean frontier),drawdown_regime,mid_dd,proto_mean_gains,3,1.6317700380487146,0.057545914753269055,0.15601090316971145,0.11159520862101545,-0.015097842913948827,0.08195338982562735,0.025297619047619044,0.009293151783330948
proto_tail,ProtoHedge (Tail frontier),drawdown_regime,mid_dd,proto_tail_gains,3,1.6505762088345364,0.042734284998141185,0.2153611211727063,0.09995659694006961,0.05197824506709973,0.08485406533940426,0.014880952380952382,0.006819309069874761
spot_delta,Spot-Delta,drawdown_regime,mid_dd,spot_delta_gains,3,-0.021785639413814176,0.002521983744415916,-0.06849798522889615,0.0059892314327520705,-0.09736704722874694,0.01141642479223655,0.8407738095238096,0.02013057925367365
unhedged,Unhedged,drawdown_regime,mid_dd,unhedged_gains,3,-0.022417624791463215,0.002373375963986121,-0.06884143948554992,0.004501230300352551,-0.10218955741988289,0.01272769808669735,0.7291666666666666,0.024587368514670013
vanilla,Vanilla DH,drawdown_regime,mid_dd,vanilla_gains,3,1.647749483309391,0.062487489498224656,0.19292201027274133,0.05115056783250919,0.019323138542757887,0.051163389161470806,0.022321428571428572,0.004464285714285715
