regime_type,regime,series,n,mean,p05,cvar05,shortfall_prob,seed,analysis_label,paper_label
return_regime,down,unhedged_gains,225,0.0,0.0,0.0,0.0,1234,unhedged,Unhedged
return_regime,down,spot_delta_gains,225,-0.002247418003777663,-0.02335561066865921,-0.03840051218867302,0.5511111111111111,1234,spot_delta,Spot-Delta
return_regime,down,vanilla_gains,225,1.5582972790549199,0.08994461894035341,-0.00377917584652702,0.03111111111111111,1234,vanilla,Vanilla DH
return_regime,down,proto_mean_gains,225,1.5320812930187417,0.02645485997200013,-0.10283939536505689,0.04,1234,proto_mean,ProtoHedge (Mean frontier)
return_regime,down,proto_tail_gains,225,1.5263140606486962,0.08960588723421099,-0.05484516806124399,0.03111111111111111,1234,proto_tail,ProtoHedge (Tail frontier)
return_regime,middle,unhedged_gains,224,-0.012543787381478719,-0.0250718355178833,-0.025405466556549072,0.9419642857142857,1234,unhedged,Unhedged
return_regime,middle,spot_delta_gains,224,-0.012694318891915048,-0.030144020169973373,-0.03766827968259653,0.8794642857142857,1234,spot_delta,Spot-Delta
return_regime,middle,vanilla_gains,224,1.7836648881618333,0.15091633200645446,-0.08347356334949534,0.03125,1234,vanilla,Vanilla DH
return_regime,middle,proto_mean_gains,224,1.7732072027616337,0.0803520455956459,-0.08550228411331773,0.03125,1234,proto_mean,ProtoHedge (Mean frontier)
return_regime,middle,proto_tail_gains,224,1.8239205217354797,0.14827038571238518,0.012823043701549372,0.017857142857142856,1234,proto_tail,ProtoHedge (Tail frontier)
return_regime,up,unhedged_gains,225,-0.048013892173767087,-0.08859310150146484,-0.12272303303082784,1.0,1234,unhedged,Unhedged
return_regime,up,spot_delta_gains,225,-0.0441205181967881,-0.08171040862798691,-0.10634510902067025,0.9955555555555555,1234,spot_delta,Spot-Delta
return_regime,up,vanilla_gains,225,1.5751322290115057,-0.00254642702639101,-0.22256833505040655,0.05333333333333334,1234,vanilla,Vanilla DH
return_regime,up,proto_mean_gains,225,1.5590715818272696,0.0007911894470453498,-0.14950002419451872,0.05333333333333334,1234,proto_mean,ProtoHedge (Mean frontier)
return_regime,up,proto_tail_gains,225,1.562689794657959,0.02472235038876536,-0.0998719761458536,0.044444444444444446,1234,proto_tail,ProtoHedge (Tail frontier)
vol_regime,low_vol,unhedged_gains,225,-0.02353753089904785,-0.06917104721069335,-0.07825194795926411,0.7733333333333333,1234,unhedged,Unhedged
vol_regime,low_vol,spot_delta_gains,225,-0.022742542679447475,-0.06647439897060393,-0.07573062678178151,0.8666666666666667,1234,spot_delta,Spot-Delta
vol_regime,low_vol,vanilla_gains,225,1.214045933040066,-0.03043252788484094,-0.16003426412741342,0.06666666666666667,1234,vanilla,Vanilla DH
vol_regime,low_vol,proto_mean_gains,225,1.222481576850017,-0.01930407304316757,-0.09606557137643297,0.057777777777777775,1234,proto_mean,ProtoHedge (Mean frontier)
vol_regime,low_vol,proto_tail_gains,225,1.2695673074966503,0.02770255357027058,-0.07487437319165717,0.04,1234,proto_tail,ProtoHedge (Tail frontier)
vol_regime,mid_vol,unhedged_gains,224,-0.01568885307226862,-0.05270804762840271,-0.06688552101453145,0.5669642857142857,1234,unhedged,Unhedged
vol_regime,mid_vol,spot_delta_gains,224,-0.015244806900032668,-0.050710346549749374,-0.061839226012428604,0.75,1234,spot_delta,Spot-Delta
vol_regime,mid_vol,vanilla_gains,224,1.699894562692082,0.1564509689807892,0.0045665402431041,0.022321428571428572,1234,vanilla,Vanilla DH
vol_regime,mid_vol,proto_mean_gains,224,1.6733460991256703,0.04468365069478751,-0.07166469504591078,0.04017857142857143,1234,proto_mean,ProtoHedge (Mean frontier)
vol_regime,mid_vol,proto_tail_gains,224,1.695054563710333,0.12775461524724963,0.002452870520452658,0.026785714285714284,1234,proto_tail,ProtoHedge (Tail frontier)
vol_regime,high_vol,unhedged_gains,225,-0.021345273653666178,-0.07698004245758057,-0.11791073282559712,0.6,1234,unhedged,Unhedged
vol_regime,high_vol,spot_delta_gains,225,-0.02108624101525897,-0.07810941189527512,-0.10557954385876656,0.8088888888888889,1234,spot_delta,Spot-Delta
vol_regime,high_vol,vanilla_gains,225,2.002781587938468,0.20049554109573367,-0.10698069942494233,0.02666666666666667,1234,vanilla,Vanilla DH
vol_regime,high_vol,proto_mean_gains,225,1.9680885745046868,0.12786411345005042,-0.13658629676016668,0.02666666666666667,1234,proto_mean,ProtoHedge (Mean frontier)
vol_regime,high_vol,proto_tail_gains,225,1.9477297682439287,0.1873316287994385,-0.0629072942926238,0.02666666666666667,1234,proto_tail,ProtoHedge (Tail frontier)
drawdown_regime,mild_dd,unhedged_gains,225,-0.00898551517062717,-0.05031652450561523,-0.08453328410784404,0.28888888888888886,1234,unhedged,Unhedged
drawdown_regime,mild_dd,spot_delta_gains,225,-0.010129028274807043,-0.055233240872621533,-0.074974968098104,0.6266666666666667,1234,spot_delta,Spot-Delta
drawdown_regime,mild_dd,vanilla_gains,225,1.493791065402329,0.0014722339808941488,-0.18050358591911694,0.05333333333333334,1234,vanilla,Vanilla DH
drawdown_regime,mild_dd,proto_mean_gains,225,1.4828176879986292,0.02003168165683748,-0.1896204601895685,0.044444444444444446,1234,proto_mean,ProtoHedge (Mean frontier)
drawdown_regime,mild_dd,proto_tail_gains,225,1.4869069859095745,0.024117293208837536,-0.14009087556041777,0.04888888888888889,1234,proto_tail,ProtoHedge (Tail frontier)
drawdown_regime,mid_dd,unhedged_gains,224,-0.020642189575093135,-0.06429194211959839,-0.09586445490519206,0.7053571428571429,1234,unhedged,Unhedged
drawdown_regime,mid_dd,spot_delta_gains,224,-0.019532542960340443,-0.06228018142282963,-0.09291491595407327,0.8214285714285714,1234,spot_delta,Spot-Delta
drawdown_regime,mid_dd,vanilla_gains,224,1.701392737865847,0.19335314109921456,-0.033473265978197254,0.022321428571428572,1234,vanilla,Vanilla DH
drawdown_regime,mid_dd,proto_mean_gains,224,1.664715628646913,0.027353676408529287,-0.10944675607606769,0.03571428571428571,1234,proto_mean,ProtoHedge (Mean frontier)
drawdown_regime,mid_dd,proto_tail_gains,224,1.6906592822321858,0.10096897445619106,-0.044415453410086535,0.022321428571428572,1234,proto_tail,ProtoHedge (Tail frontier)
drawdown_regime,deep_dd,unhedged_gains,225,-0.030965967708163792,-0.0732569694519043,-0.08583291371663411,0.9466666666666667,1234,unhedged,Unhedged
drawdown_regime,deep_dd,spot_delta_gains,225,-0.029431075964304103,-0.07003950029611587,-0.07957929869492848,0.9777777777777777,1234,spot_delta,Spot-Delta
drawdown_regime,deep_dd,vanilla_gains,225,1.7215449389587674,0.051942221820354476,-0.07895188076266398,0.04,1234,vanilla,Vanilla DH
drawdown_regime,deep_dd,proto_mean_gains,225,1.7163445761882596,0.040661513805389446,-0.04920658081149062,0.044444444444444446,1234,proto_mean,ProtoHedge (Mean frontier)
drawdown_regime,deep_dd,proto_tail_gains,225,1.7347658367248044,0.17987369894981384,0.0534269647517552,0.022222222222222223,1234,proto_tail,ProtoHedge (Tail frontier)
return_regime,down,unhedged_gains,225,0.0,0.0,0.0,0.0,2345,unhedged,Unhedged
return_regime,down,spot_delta_gains,225,-0.0028979269641503276,-0.025930563732981683,-0.037382561868677534,0.5822222222222222,2345,spot_delta,Spot-Delta
return_regime,down,vanilla_gains,225,1.5616282357441054,0.26336569190025333,0.009679405018687248,0.022222222222222223,2345,vanilla,Vanilla DH
return_regime,down,proto_mean_gains,225,1.538327811325176,0.14827624857425692,-0.019326274011594553,0.017777777777777778,2345,proto_mean,ProtoHedge (Mean frontier)
return_regime,down,proto_tail_gains,225,1.4910559340980318,0.1405741512775421,-0.014864696810642878,0.022222222222222223,2345,proto_tail,ProtoHedge (Tail frontier)
return_regime,middle,unhedged_gains,224,-0.014319109597376414,-0.026117432117462158,-0.026638487974802654,0.9598214285714286,2345,unhedged,Unhedged
return_regime,middle,spot_delta_gains,224,-0.015178103898246522,-0.03558548334985971,-0.04232522503783306,0.9151785714285714,2345,spot_delta,Spot-Delta
return_regime,middle,vanilla_gains,224,1.6686522007803433,0.16977303698658944,0.027494017810871203,0.022321428571428572,2345,vanilla,Vanilla DH
return_regime,middle,proto_mean_gains,224,1.6769915037023435,0.16743114218115807,-0.09350335566947858,0.026785714285714284,2345,proto_mean,ProtoHedge (Mean frontier)
return_regime,middle,proto_tail_gains,224,1.6335661739077685,0.14983343034982682,-0.10301963643481334,0.026785714285714284,2345,proto_tail,ProtoHedge (Tail frontier)
return_regime,up,unhedged_gains,225,-0.050563470522562666,-0.09722683429718018,-0.12958071629206339,1.0,2345,unhedged,Unhedged
return_regime,up,spot_delta_gains,225,-0.04704252940913042,-0.09491188377141951,-0.1240353627751271,1.0,2345,spot_delta,Spot-Delta
return_regime,up,vanilla_gains,225,1.8513820608658715,0.15814696848392487,0.006782963008542235,0.02666666666666667,2345,vanilla,Vanilla DH
return_regime,up,proto_mean_gains,225,1.860358290606075,0.20226663053035737,0.04419078057010969,0.013333333333333334,2345,proto_mean,ProtoHedge (Mean frontier)
return_regime,up,proto_tail_gains,225,1.8288629137807422,0.1406261205673218,0.062134565164645515,0.013333333333333334,2345,proto_tail,ProtoHedge (Tail frontier)
vol_regime,low_vol,unhedged_gains,225,-0.022229089736938476,-0.06224014759063721,-0.07610838611920674,0.7377777777777778,2345,unhedged,Unhedged
vol_regime,low_vol,spot_delta_gains,225,-0.022045601151573162,-0.05878917202353477,-0.07341522350907326,0.8488888888888889,2345,spot_delta,Spot-Delta
vol_regime,low_vol,vanilla_gains,225,1.369828177230536,0.1396837592124939,0.0066909877641592175,0.022222222222222223,2345,vanilla,Vanilla DH
vol_regime,low_vol,proto_mean_gains,225,1.407727574110031,0.15770488679409028,-0.01478176936507225,0.008888888888888889,2345,proto_mean,ProtoHedge (Mean frontier)
vol_regime,low_vol,proto_tail_gains,225,1.3825250097943678,0.13953841030597686,0.05179397047807773,0.017777777777777778,2345,proto_tail,ProtoHedge (Tail frontier)
