model,split,seed,model_family,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound,selected_band,baseline_selection_metric
unhedged,train,1234,baseline,-0.021570250391960144,0.026809582486748695,-0.1028887152671814,-0.07347028255462647,-0.09390556812286377,-0.011295080184936523,-0.0,0.6128120584079133,-0.021570250391960144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
spot_delta,train,1234,baseline,-0.02173204906284809,0.028148159384727478,-0.09969115063548088,-0.06930656135082244,-0.09402557462453842,-0.014436855912208557,0.006969283474609253,0.8290155440414507,-0.021570250391960144,3.173109143972397e-05,0.00019352843810338527,0.024074390530586243,0.6422320008277893,0.2587827444076538,0.6422320008277893,0.0,0.0,0.0,0.0,,
spot_delta_band,train,1234,baseline,-0.02161126770079136,0.027043238282203674,-0.10050821959972382,-0.06993215307593345,-0.09294449537992477,-0.013544748537242413,0.004991883737966404,0.8346679227508244,-0.021570250391960144,5.000581222702749e-05,9.102429612539709e-05,0.011371316388249397,0.5422319769859314,0.22293518483638763,0.5422319769859314,0.0,0.0,0.0,0.0,0.1,gains_mean
unhedged,val,1234,baseline,-0.02067558281123638,0.027088379487395287,-0.10630359292030335,-0.07258362174034119,-0.09418319910764694,-0.007644593715667725,0.0,0.5859030837004405,-0.02067558281123638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
spot_delta,val,1234,baseline,-0.020616896450519562,0.02558295615017414,-0.09060071855783462,-0.07309938855469227,-0.08694945275783539,-0.011477389838546515,0.006956514157354824,0.8215859030837004,-0.02067558281123638,0.00025690137408673763,0.00019821322348434478,0.024655617773532867,0.624904990196228,0.2586418688297272,0.6422320008277893,0.0,0.0,0.0,0.0,,
spot_delta_band,val,1234,baseline,-0.020446080714464188,0.02554575353860855,-0.08915703348815442,-0.0721846554428339,-0.08754131942987442,-0.010701495222747326,0.005619920114986593,0.8259911894273128,-0.02067558281123638,0.0003209271817468107,9.142085036728531e-05,0.011418267153203487,0.5249049663543701,0.22347618639469147,0.5422319769859314,0.0,0.0,0.0,0.0,0.1,gains_mean
unhedged,test,1234,baseline,-0.020650118589401245,0.025125831365585327,-0.08521239757537842,-0.06906220316886902,-0.08085200935602188,-0.007743418216705322,0.0,0.5592105263157895,-0.020650118589401245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
spot_delta,test,1234,baseline,-0.019955947995185852,0.02334560640156269,-0.0826631985604763,-0.06515378691256046,-0.07582466304302216,-0.01366997929289937,0.007107024313881993,0.8048245614035088,-0.020650118589401245,0.0008920204127207398,0.00019784925098065287,0.024645715951919556,0.6269159913063049,0.25942397117614746,0.6422320008277893,0.0,0.0,0.0,0.0,,
spot_delta_band,test,1234,baseline,-0.020069560036063194,0.02317788265645504,-0.08309233002364635,-0.06532995030283928,-0.0754835233092308,-0.012073139660060406,0.005516198463737965,0.8157894736842105,-0.020650118589401245,0.0006718745571561158,9.131508704740554e-05,0.011409723199903965,0.526915967464447,0.2238941192626953,0.5422319769859314,0.0,0.0,0.0,0.0,0.1,gains_mean
