selection,model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_vanilla
best_mean,vanilla,vanilla,,,,,cvar,1,4.8494086265563965,,-0.06588082015514374,-0.6252660751342773,0.06528189910979229,2.000000238418579,1.304312825202942,0.8059347181008902,0.537833827893175,0.26810089020771516,1.0,4.869605857878923,4.869106421247125,0.0,-0.5332072377204895,-0.5406742915511131,0.0,0.5816023738872403,0.7433234421364985,0.0
best_cvar05,spot_delta,baseline,,,,,,1,-0.019697794690728188,,-0.06411130726337433,-0.08459178358316422,0.8086053412462908,0.9999939799308777,0.027559904381632805,0.0,0.0,0.0,0.0,0.0004994366317987442,0.0,-4.869106421247125,0.007467053830623627,0.0,0.5406742915511131,-0.16172106824925814,0.0,-0.7433234421364985
best_shortfall,proto_source=vanilla_k=100_weighted=0_learnw=0,proto,vanilla,100.0,False,False,cvar,1,4.148735046386719,,0.04306594282388687,-0.34457457065582275,0.04747774480712166,2.000000238418579,0.8248488903045654,0.32106824925816024,0.17856083086053412,0.14250741839762612,1.0,4.168932277709246,4.168432841077447,-0.7006735801696777,-0.2525157332420349,-0.25998278707265854,0.2806915044784546,0.599406528189911,0.7611275964391692,0.017804154302670627
best_proto_mean,proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,1,4.680333137512207,,-0.07659567892551422,-1.0048460960388184,0.05341246290801187,2.000000238418579,0.939662754535675,0.4620919881305638,0.21224035608308606,0.24985163204747773,1.0,4.700530368834734,4.700030932202935,-0.16907548904418945,-0.9127872586250305,-0.9202543124556541,-0.379580020904541,0.5934718100890208,0.755192878338279,0.011869436201780423
best_proto_cvar05,proto_source=vanilla_k=100_weighted=0_learnw=0,proto,vanilla,100.0,False,False,cvar,1,4.148735046386719,,0.04306594282388687,-0.34457457065582275,0.04747774480712166,2.000000238418579,0.8248488903045654,0.32106824925816024,0.17856083086053412,0.14250741839762612,1.0,4.168932277709246,4.168432841077447,-0.7006735801696777,-0.2525157332420349,-0.25998278707265854,0.2806915044784546,0.599406528189911,0.7611275964391692,0.017804154302670627
best_proto_shortfall,proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,1,4.398403167724609,,0.03591052442789078,-0.558434009552002,0.04747774480712166,2.000000238418579,0.9443705677986145,0.4258160237388724,0.2168026706231454,0.209013353115727,1.0,4.418600399047136,4.418100962415338,-0.4510054588317871,-0.4663751721382141,-0.47384222596883774,0.06683206558227539,0.599406528189911,0.7611275964391692,0.017804154302670627
