model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,gains_mean_avg_minus_unhedged,gains_mean_avg_minus_spot_delta,gains_mean_avg_minus_vanilla,gains_cvar05_avg_minus_unhedged,gains_cvar05_avg_minus_spot_delta,gains_cvar05_avg_minus_vanilla,shortfall_prob_avg_minus_unhedged,shortfall_prob_avg_minus_spot_delta,shortfall_prob_avg_minus_vanilla
vanilla,vanilla,,,,,cvar,1,4.8494086265563965,,-0.06588082015514374,-0.6252660751342773,0.06528189910979229,2.000000238418579,1.304312825202942,0.8059347181008902,0.537833827893175,0.26810089020771516,1.0,4.869605857878923,4.869106421247125,0.0,-0.5332072377204895,-0.5406742915511131,0.0,0.5816023738872403,0.7433234421364985,0.0
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,1,4.680333137512207,,-0.07659567892551422,-1.0048460960388184,0.05341246290801187,2.000000238418579,0.939662754535675,0.4620919881305638,0.21224035608308606,0.24985163204747773,1.0,4.700530368834734,4.700030932202935,-0.16907548904418945,-0.9127872586250305,-0.9202543124556541,-0.379580020904541,0.5934718100890208,0.755192878338279,0.011869436201780423
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,vanilla,50.0,False,False,cvar,1,4.576726913452148,,-0.13658884167671204,-0.5608640313148499,0.06824925816023739,2.000000238418579,0.8817034363746643,0.4451780415430267,0.23957715133531157,0.20560089020771513,1.0,4.596924144774675,4.596424708142877,-0.27268171310424805,-0.468805193901062,-0.47627224773168564,0.06440204381942749,0.5786350148367952,0.7403560830860534,-0.0029673590504450953
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,1,4.566194534301758,,-0.3141508400440216,-1.0259863138198853,0.06676557863501484,2.0,0.9905866980552673,0.5589391691394658,0.2228486646884273,0.33609050445103855,1.0,4.586391765624285,4.585892328992486,-0.28321409225463867,-0.9339274764060974,-0.941394530236721,-0.4007202386856079,0.5801186943620178,0.7418397626112759,-0.0014836795252225476
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,1,4.459631443023682,,-0.31064316630363464,-1.1748262643814087,0.07418397626112759,2.000000238418579,0.9176331758499146,0.4456973293768546,0.21120178041543028,0.23449554896142433,1.0,4.479828674346209,4.47932923771441,-0.38977718353271484,-1.0827674269676208,-1.0902344807982445,-0.5495601892471313,0.5727002967359051,0.7344213649851632,-0.0089020771513353
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,1,4.437219619750977,,-0.05747827887535095,-0.8297603726387024,0.05489614243323442,2.000000476837158,0.8831974864006042,0.35237388724035607,0.20934718100890207,0.143026706231454,1.0,4.4574168510735035,4.456917414441705,-0.4121890068054199,-0.7377015352249146,-0.7451685890555382,-0.20449429750442505,0.5919881305637983,0.7537091988130564,0.010385756676557868
proto_source=vanilla_k=100_weighted=1_learnw=0,proto,vanilla,100.0,True,False,cvar,1,4.398403167724609,,0.03591052442789078,-0.558434009552002,0.04747774480712166,2.000000238418579,0.9443705677986145,0.4258160237388724,0.2168026706231454,0.209013353115727,1.0,4.418600399047136,4.418100962415338,-0.4510054588317871,-0.4663751721382141,-0.47384222596883774,0.06683206558227539,0.599406528189911,0.7611275964391692,0.017804154302670627
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,1,4.395511150360107,,-0.39256614446640015,-1.607862114906311,0.07418397626112759,2.000000238418579,0.9255732297897339,0.5335682492581603,0.19851632047477744,0.3350519287833828,1.0,4.415708381682634,4.415208945050836,-0.45389747619628906,-1.5158032774925232,-1.5232703313231468,-0.9825960397720337,0.5727002967359051,0.7344213649851632,-0.0089020771513353
proto_source=vanilla_k=25_weighted=0_learnw=0,proto,vanilla,25.0,False,False,cvar,1,4.362687110900879,,-0.07823819667100906,-0.7080019116401672,0.06676557863501484,2.000000238418579,0.9685620069503784,0.4462166172106825,0.270066765578635,0.17614985163204747,1.0,4.382884342223406,4.382384905591607,-0.4867215156555176,-0.6159430742263794,-0.623410128057003,-0.08273583650588989,0.5801186943620178,0.7418397626112759,-0.0014836795252225476
proto_source=vanilla_k=25_weighted=1_learnw=0,proto,vanilla,25.0,True,False,cvar,1,4.35805082321167,,-0.07629574090242386,-0.6733105778694153,0.06824925816023739,2.000000238418579,0.8980007767677307,0.45649109792284864,0.2876854599406528,0.16880563798219583,1.0,4.378248054534197,4.377748617902398,-0.49135780334472656,-0.5812517404556274,-0.5887187942862511,-0.04804450273513794,0.5786350148367952,0.7403560830860534,-0.0029673590504450953
