band,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound
0.01,-0.02001230977475643,0.02726474031805992,-0.08807772599160671,-0.06121319774538279,-0.09351248294115067,-0.013065848033875227,0.00328368553891778,0.8042452830188679,-0.02060861326754093,0.0007348039653152227,0.00013849844981450588,0.017275415360927582,0.583158016204834,0.2569981813430786,0.5976089835166931,0.0,0.0,0.0,0.0
0.02,-0.020027467980980873,0.02728305384516716,-0.08797413915395737,-0.06130305454134941,-0.09357910603284836,-0.01301818760111928,0.0035003126249648618,0.8066037735849056,-0.02060861326754093,0.0006989929242990911,0.00011784757225541398,0.014711128547787666,0.5731580257415771,0.25571778416633606,0.5876089930534363,0.0,0.0,0.0,0.0
0.0,-0.020040493458509445,0.02718588337302208,-0.08852791540324688,-0.06165168434381485,-0.09331408143043518,-0.012886932585388422,0.00371102486969902,0.7995283018867925,-0.02060861326754093,0.0007473683799616992,0.0001792490656953305,0.022341186180710793,0.5931580066680908,0.25734761357307434,0.60760897397995,0.0,0.0,0.0,0.0
0.05,-0.020043862983584404,0.02738111838698387,-0.08900929555296898,-0.06148431356996298,-0.09392703324556351,-0.012642848771065474,0.0032779920264147193,0.8018867924528302,-0.02060861326754093,0.0006648119888268411,0.00010006134834839031,0.012504959478974342,0.5431579947471619,0.24458350241184235,0.557608962059021,0.0,0.0,0.0,0.0
0.1,-0.020101940259337425,0.0275877695530653,-0.0907345512509346,-0.06215536631643772,-0.09469436854124069,-0.012301702983677387,0.002880509279202669,0.8018867924528302,-0.02060861326754093,0.0005962935974821448,8.961965795606375e-05,0.011200418695807457,0.4931580126285553,0.21973557770252228,0.507608950138092,0.0,0.0,0.0,0.0
0.15,-0.020162254571914673,0.027803219854831696,-0.09245980523526669,-0.0618602043017745,-0.09546169638633728,-0.012273112311959267,0.0025215298170223814,0.8018867924528302,-0.02060861326754093,0.0005259779863990843,7.961965457070619e-05,0.009950417093932629,0.44315800070762634,0.1947355717420578,0.4576089680194855,0.0,0.0,0.0,0.0
