band,gains_mean,gains_std,gains_p01,gains_p05,gains_cvar05,gains_p50,gains_p95,shortfall_prob,payoff_mean,pnl_mean,cost_mean,action_abs_mean,action_abs_max,delta_abs_mean,delta_abs_max,pct_at_any_position_bound,pct_at_upper_position_bound,pct_at_lower_position_bound,pct_paths_touch_any_position_bound
0.15,-0.02587183378636837,0.04241931810975075,-0.19224339738488197,-0.10930884405970573,-0.1590622067451477,-0.0068348972126841545,0.004871527478098867,0.7770833333333333,-0.025646889582276344,-0.0001460900530219078,7.885163358878344e-05,0.009859895333647728,0.41725000739097595,0.1937509924173355,0.4413039982318878,0.0,0.0,0.0,0.0
0.1,-0.02589905634522438,0.042367931455373764,-0.19149432137608527,-0.10968039482831954,-0.1588234305381775,-0.007487882860004902,0.0054929581237956856,0.7770833333333333,-0.025646889582276344,-0.00016331505321431905,8.8851636974141e-05,0.011109895072877407,0.4672500193119049,0.2187509983778,0.4913040101528168,0.0,0.0,0.0,0.0
0.05,-0.025928085669875145,0.042331237345933914,-0.1907452453672886,-0.11051988415420054,-0.15858463943004608,-0.008243256248533726,0.006137580424547193,0.775,-0.025646889582276344,-0.00018194279982708395,9.925508493324742e-05,0.012409520335495472,0.5172500014305115,0.24358782172203064,0.5413039922714233,0.0,0.0,0.0,0.0
0.02,-0.025946058332920074,0.042338043451309204,-0.1904013481736183,-0.11058340519666672,-0.1583976447582245,-0.008271798957139254,0.006697494396939872,0.7729166666666667,-0.025646889582276344,-0.00018509685469325632,0.00011407253623474389,0.01425761729478836,0.5472500324249268,0.25546225905418396,0.5713040232658386,0.0,0.0,0.0,0.0
0.01,-0.02599349059164524,0.04242271929979324,-0.190677869617939,-0.11060111708939076,-0.15858307480812073,-0.008290580939501524,0.006503484304994335,0.7729166666666667,-0.025646889582276344,-0.00021387809829320759,0.0001327243953710422,0.016588617116212845,0.5572500228881836,0.25670334696769714,0.5813040137290955,0.0,0.0,0.0,0.0
0.0,-0.026059508323669434,0.04239354655146599,-0.19087910279631615,-0.11084528341889381,-0.15834754705429077,-0.008915509562939405,0.007215254171751434,0.76875,-0.025646889582276344,-0.000239828324993141,0.00017279101302847266,0.021601980552077293,0.5672500133514404,0.25696486234664917,0.5913040041923523,0.0,0.0,0.0,0.0
