analysis_label,paper_label,reason,artifact_dir,model_name,model_family,seed,risk_measure,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,best_epoch,best_score,paper_order,target_mean,representative_seed
proto_mean,ProtoHedge (Mean frontier),best_screened_mean,/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_3456/risk_cvar/proto_source_spot_delta_k_10_weighted_0_learnw_0,proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,3456,cvar,spot_delta,10.0,False,False,799,-0.7552475959843113,1,1.6465935309727986,3456
proto_tail,ProtoHedge (Tail frontier),best_screened_cvar05,/Users/yaniszaim/deephedging/.deephedging_real_runs/real_data_sweep_paper_800_step_robust/model_artifacts/seed_1234/risk_cvar/proto_source_spot_delta_k_25_weighted_0_learnw_0,proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,1234,cvar,spot_delta,25.0,False,False,655,-0.7393627254026277,2,1.6382937828699748,1234
