analysis_label,paper_label,model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen,reason,mean_gap_vs_vanilla,mean_gap_vs_vanilla_pct,cvar_gap_vs_vanilla,shortfall_gap_vs_vanilla,bound_occupancy_gap_vs_vanilla,paper_order
baseline_unhedged,Unhedged,unhedged,baseline,,,,,,3,-0.0212289405365784,0.0008998022084839,-0.0678236087163289,-0.0952078898747762,0.6513353115727003,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,-1.681109856814146,-101.27894358736205,-0.0503045322887677,-0.6241345202769536,0.6029673590504451,0
baseline_spot_delta,Spot-Delta,spot_delta,baseline,,,,,,3,-0.020929766818881,0.0010803966882109,-0.0665460551778475,-0.0904371018211046,0.8184965380811078,0.9999939799308776,0.0275993148485819,0.0117705242334322,0.0117705242334322,0.0,0.3328387734915924,,,,,,True,True,True,,-1.6808106830964487,-101.2609197812707,-0.04553374423509611,-0.7912957467853611,0.5911968348170129,1
baseline_spot_delta_band,Spot-Delta Band,spot_delta_band,baseline,,,,,,3,-0.0208979131033023,0.0010631971255084,-0.0664427454272906,-0.0903889959057172,0.8184965380811078,0.9733273188273112,0.0246234697600205,0.0,0.0,0.0,0.0,,,,,0.0266666666666666,True,True,True,,-1.6807788293808699,-101.2590007450756,-0.0454856383197087,-0.7912957467853611,0.6029673590504451,2
vanilla,Vanilla DH,vanilla,vanilla,,,,,cvar,3,1.6598809162775676,0.0297586736903629,0.1248370930552482,-0.0449033575860085,0.0272007912957467,1.0,0.4279899994532267,0.6029673590504451,0.3283259149357072,0.2746414441147378,1.0,778.0,-0.7036905105956017,0.5880084325396825,1.0,,False,True,False,,0.0,0.0,0.0,0.0,0.0,3
proto_mean,ProtoHedge (Mean frontier),proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,1.6465935309727986,0.0393424389560199,0.1159689420213301,-0.0565444684276978,0.0276953511374876,1.0000000794728596,0.3678241868813832,0.3170994065281899,0.0913452027695351,0.2257542037586548,1.0,747.0,-0.7497988589297212,0.2970858134920635,0.9990079365079364,,True,True,True,best_screened_mean,-0.013287385304769028,-0.8005023236586867,-0.011641110841689305,-0.0004945598417409013,0.28586795252225516,4
proto_tail,ProtoHedge (Tail frontier),proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,1.6382937828699748,0.0124557133993131,0.1360322758555412,-0.0293516907840967,0.0222551928783382,1.00000003973643,0.3783482710520426,0.3551063303659743,0.1047972304648862,0.250309099901088,1.0,527.3333333333334,-0.7453684917163281,0.3508928571428571,1.0,,True,True,True,best_screened_cvar05,-0.021587133407592773,-1.3005230192057309,0.015551666801911796,0.004945598417408499,0.2478610286844708,5
