comparison,lhs,rhs,n_paths,mean_gap,median_gap,p05_gap,win_rate,tie_rate,lhs_mean,rhs_mean,lhs_cvar05,rhs_cvar05,lhs_shortfall,rhs_shortfall,cvar05_gap,shortfall_gap,seed
proto_mean_minus_vanilla,proto_mean,vanilla,674,-0.017588669434189796,-0.016853297129273415,-0.526134729385376,0.4688427299703264,0.0,1.6212283372879028,1.6388167142868042,-0.12459968030452728,-0.12391063570976257,0.04154302670623145,0.03857566765578635,-0.0006890445947647095,-0.0029673590504451022,1234
proto_mean_minus_spot_delta_band,proto_mean,spot_delta_band,674,1.640913724899292,1.4107189178466797,0.04813766852021217,0.9673590504451038,0.0,1.6212283372879028,-0.019685441628098488,-0.12459968030452728,-0.08466040343046188,0.04154302670623145,0.8071216617210683,-0.0399392768740654,0.7655786350148368,1234
proto_tail_minus_vanilla,proto_tail,vanilla,674,-0.0014517909148707986,0.0017943978309631348,-0.6549860835075378,0.5029673590504451,0.0,1.6373649835586548,1.6388167142868042,-0.06094151362776756,-0.12391063570976257,0.03115727002967359,0.03857566765578635,0.06296912208199501,0.007418397626112759,1234
proto_tail_minus_spot_delta_band,proto_tail,spot_delta_band,674,1.6570504903793335,1.3693797588348389,0.11473074555397034,0.9747774480712166,0.0,1.6373649835586548,-0.019685441628098488,-0.06094151362776756,-0.08466040343046188,0.03115727002967359,0.8071216617210683,0.02371888980269432,0.7759643916913946,1234
proto_mean_minus_vanilla,proto_mean,vanilla,674,-0.0020102958660572767,0.01153552532196045,-0.6600496768951416,0.5222551928783383,0.0,1.6919147968292236,1.6939247846603394,-0.03508194535970688,0.0001366210781270638,0.019287833827893175,0.02373887240356083,-0.03521856643783394,0.004451038575667657,2345
proto_mean_minus_spot_delta_band,proto_mean,spot_delta_band,674,1.713585615158081,1.4571001529693604,0.18243536353111267,0.9807121661721068,0.0,1.6919147968292236,-0.021670950576663017,-0.03508194535970688,-0.0929805263876915,0.019287833827893175,0.827893175074184,0.05789858102798462,0.8086053412462908,2345
proto_tail_minus_vanilla,proto_tail,vanilla,674,-0.04273715615272522,-0.005428880453109741,-0.8474307060241699,0.486646884272997,0.0,1.6511878967285156,1.6939247846603394,-0.028432419523596764,0.0001366210781270638,0.020771513353115726,0.02373887240356083,-0.028569040601723827,0.0029673590504451057,2345
proto_tail_minus_spot_delta_band,proto_tail,spot_delta_band,674,1.6728588342666626,1.3855000734329224,0.16369187831878662,0.9821958456973294,0.0,1.6511878967285156,-0.021670950576663017,-0.028432419523596764,-0.0929805263876915,0.020771513353115726,0.827893175074184,0.06454810686409473,0.8071216617210683,2345
proto_mean_minus_vanilla,proto_mean,vanilla,674,-0.02026357874274254,-0.004665940999984741,-0.6181091070175171,0.4910979228486647,0.0,1.6266374588012695,1.646901249885559,-0.009951779618859291,-0.01093605812638998,0.02225519287833828,0.019287833827893175,0.0009842785075306892,-0.0029673590504451057,3456
proto_mean_minus_spot_delta_band,proto_mean,spot_delta_band,674,1.647974967956543,1.4383654594421387,0.17911460995674133,0.9821958456973294,0.0,1.6266374588012695,-0.021337347105145454,-0.009951779618859291,-0.09352605789899826,0.02225519287833828,0.8204747774480712,0.08357427828013897,0.7982195845697329,3456
proto_tail_minus_vanilla,proto_tail,vanilla,674,-0.020572597160935402,-0.0024583935737609863,-0.7141643166542053,0.4910979228486647,0.0,1.626328468322754,1.646901249885559,0.001318860799074173,-0.01093605812638998,0.01483679525222552,0.019287833827893175,0.012254918925464153,0.004451038575667655,3456
proto_tail_minus_spot_delta_band,proto_tail,spot_delta_band,674,1.6476659774780273,1.4209001064300537,0.18707725405693054,0.9851632047477745,0.0,1.626328468322754,-0.021337347105145454,0.001318860799074173,-0.09352605789899826,0.01483679525222552,0.8204747774480712,0.09484491869807243,0.8056379821958457,3456
