prototype_index,usage_mean,top1_frequency,delta_0,delta_1,price_0,price_1,time_left,proto_action_0,proto_action_1
23,0.43604153394699097,0.43694362017804156,1.1482296002895964e-08,0.0,1.0,0.7981149554252625,0.3999999761581421,-0.45301854610443115,-1.126819372177124
5,0.3766785264015198,0.38887240356083086,0.9977380037307739,0.0,0.9026412963867188,0.4553660750389099,0.11999999731779099,0.33065980672836304,0.9998766183853149
3,0.0714658573269844,0.07722551928783383,1.1482296002895964e-08,0.0,1.0,0.4995671808719635,0.3999999761581421,-0.718988299369812,-0.7843793630599976
19,0.03876892849802971,0.034718100890207715,1.1482296002895964e-08,0.0,1.0,0.20465339720249176,0.3999999761581421,-0.540671706199646,0.9976720809936523
20,0.03785117343068123,0.04406528189910979,0.9999809861183167,0.0,0.9513460397720337,0.23869433999061584,0.09999999403953552,0.02943408489227295,0.7621623873710632
22,0.020577391609549522,0.013056379821958458,0.9976450204849243,0.0,0.9624220728874207,0.5759994983673096,0.07999999821186066,0.223280668258667,-0.10246050357818604
1,0.008730760775506496,0.0001483679525222552,0.9952679872512817,0.0,0.9973517060279846,0.7849575877189636,0.09999999403953552,-0.7001818418502808,-0.6122750043869019
9,0.006315251346677542,0.0026706231454005935,0.9921749830245972,0.0,0.9605900049209595,0.5917409062385559,0.25999999046325684,-0.25761914253234863,0.22188407182693481
17,0.0023536127991974354,0.0022997032640949557,0.9496750235557556,0.0,0.7836465835571289,0.38940438628196716,0.09999999403953552,0.13171523809432983,0.32683926820755005
15,0.0005636843270622194,0.0,0.9885129928588867,0.0,0.9735367894172668,0.23784849047660828,0.25999999046325684,-0.29259490966796875,0.5876051187515259
7,0.00046919973101466894,0.0,0.9989780187606812,0.0,1.0013329982757568,0.8348746299743652,0.29999998211860657,-0.4451717138290405,-0.556429386138916
6,0.000155272166011855,0.0,0.9999319911003113,0.0,0.9909182786941528,0.22004541754722595,0.07999999821186066,-0.4624216556549072,0.3240162134170532
8,2.0789271729881875e-05,0.0,0.9988160133361816,0.0,1.0082334280014038,0.1678544282913208,0.19999998807907104,-0.40170109272003174,0.2044423222541809
21,2.9077020826662192e-06,0.0,0.9911220073699951,0.0,1.023349642753601,0.17731256783008575,0.07999999821186066,-0.25865769386291504,0.13072794675827026
18,2.336313627893105e-06,0.0,0.9896609783172607,0.0,1.0050554275512695,0.1692008674144745,0.3400000035762787,-0.14228761196136475,0.04904657602310181
14,1.928357050928753e-06,0.0,0.9998340010643005,0.0,1.0370230674743652,0.8852440714836121,0.11999999731779099,-0.18292057514190674,-0.5916244983673096
11,2.1871800370831807e-08,0.0,0.9968019723892212,0.0,0.9987777471542358,0.5034245848655701,0.19999998807907104,-0.14699840545654297,0.05940282344818115
16,3.912499213498677e-09,0.0,0.9978700280189514,0.0,1.0127074718475342,0.4777767062187195,0.07999999821186066,-0.2459348440170288,0.13030248880386353
13,1.7419873321600221e-09,0.0,0.9960809946060181,0.0,1.0003650188446045,0.562883198261261,0.3400000035762787,-0.12636256217956543,-0.1413332223892212
0,4.0018951694142935e-12,0.0,0.9962360262870789,0.0,1.0044652223587036,0.36620858311653137,0.3199999928474426,-0.060559868812561035,-0.07116127014160156
2,8.483298698930275e-13,0.0,0.9974719882011414,0.0,1.058173656463623,0.25789883732795715,0.07999999821186066,-0.17377138137817383,0.01468580961227417
24,1.2942217555902275e-13,0.0,0.9922969937324524,0.0,1.035435438156128,0.282282292842865,0.2199999988079071,-0.07993364334106445,-0.062462806701660156
4,5.845908338571876e-14,0.0,0.9992510080337524,0.0,1.027541995048523,0.5849950313568115,0.23999999463558197,-0.1047903299331665,-0.08421897888183594
10,3.622796761339848e-15,0.0,0.9998040199279785,0.0,1.044576644897461,0.5728645920753479,0.07999999821186066,-0.05200958251953125,-0.056829214096069336
12,1.0515035390631276e-39,0.0,0.9858450293540955,0.0,1.1365444660186768,0.6947856545448303,0.11999999731779099,-0.07527828216552734,-0.0928570032119751
